state,seat,code,ballot_order,name,party,votes
Selangor,KOTA DAMANSARA,10739,2,RADZLAN JALALUDIN,PERIKATAN NASIONAL (PN),"28,934"
Selangor,KOTA DAMANSARA,10739,3,SIVARAJAN,PARTI SOSIALIS MALAYSIA (BARU) (PSM),895
Selangor,KOTA ANGGERIK,10840,1,SUKRI OMAR,PERIKATAN NASIONAL (PN),"27,636"
Selangor,KOTA ANGGERIK,10840,2,NAJWAN HALIMI,PAKATAN HARAPAN (PH),"38,470"
Selangor,KOTA ANGGERIK,10840,3,AZAD AKBAR,IKATAN DEMOKRATIK MALAYSIA (MUDA),"2,631"
Selangor,BATU TIGA,10841,1,CHEDA RAZAK,IKATAN DEMOKRATIK MALAYSIA (MUDA),"1,908"
Selangor,BATU TIGA,10841,2,DANIAL AL-RASHID,PAKATAN HARAPAN (PH),"29,064"
Selangor,BATU TIGA,10841,3,RINA HARUN,PERIKATAN NASIONAL (PN),"25,682"
Selangor,MERU,10942,1,HASNIZAM ADHAM,PERIKATAN NASIONAL (PN),"23,558"
Selangor,MERU,10942,2,SIVARANJANI,PARTI SOSIALIS MALAYSIA (BARU) (PSM),899
Selangor,MERU,10942,3,MARIAM ABDUL RASHID,PAKATAN HARAPAN (PH),"26,980"
Selangor,SEMENTA,10943,1,AFRISHAH AZIZI,PAKATAN HARAPAN (PH),"22,261"
Selangor,SEMENTA,10943,2,USTAZ NAJHAN SALLEH,PERIKATAN NASIONAL (PN),"32,300"
Selangor,SELAT KLANG,10944,1,DATUK ABDUL RASHID BIN ASARI,PERIKATAN NASIONAL (PN),"25,143"
Selangor,SELAT KLANG,10944,2,DATUK HJ MOHD ROSLEE BIN ABD HAMID,BARISAN NASIONAL OF MALAYSIA (BN),"16,818"
Selangor,SELAT KLANG,10944,3,DATUK EZAM MOHD NOR,PARTI RAKYAT MALAYSIA (PRM),742
Selangor,BANDAR BARU KLANG,11045,1,DR. QUAH,PAKATAN HARAPAN (PH),"53,658"
Selangor,BANDAR BARU KLANG,11045,2,TAN SENG HUAT,PERIKATAN NASIONAL (PN),"7,986"
Selangor,PELABUHAN KLANG,11046,1,WAN HASRINA WAN HASSAN,PERIKATAN NASIONAL (PN),"16,658"
Selangor,PELABUHAN KLANG,11046,2,SYED AHMAD PUTRA,PARTI RAKYAT MALAYSIA (PRM),269
Selangor,PELABUHAN KLANG,11046,3,AZMIZAM ZAMAN HURI,PAKATAN HARAPAN (PH),"21,889"
Selangor,PANDAMARAN,11047,1,TONY LEONG TUCK CHEE,PAKATAN HARAPAN (PH),"46,999"
Selangor,PANDAMARAN,11047,2,B.GUNALAN,PERIKATAN NASIONAL (PN),"6,701"
Selangor,PANDAMARAN,11047,3,TAN KANG YAP,PARTI RAKYAT MALAYSIA (PRM),479
Selangor,SENTOSA,11148,1,GUNARAJ G,PAKATAN HARAPAN (PH),"54,601"
Selangor,SENTOSA,11148,2,PARAMESWARAN A/L GANASON,PERIKATAN NASIONAL (PN),"8,252"
Selangor,SENTOSA,11148,3,TEACHER THANUSHA,IKATAN DEMOKRATIK MALAYSIA (MUDA),"2,357"
Selangor,SENTOSA,11148,4,JEICHANDRAN A/L WADIVELU,PARTI RAKYAT MALAYSIA (PRM),156
Selangor,SUNGAI KANDIS,11149,1,USTAZ ZAWAWI MUGHNI,PAKATAN HARAPAN (PH),"28,759"
Selangor,SUNGAI KANDIS,11149,2,WAN DZAHANURIN AHMAD,PERIKATAN NASIONAL (PN),"28,926"
Selangor,SUNGAI KANDIS,11149,3,AFRIENA SHAQIRA,IKATAN DEMOKRATIK MALAYSIA (MUDA),"1,341"
Selangor,KOTA KEMUNING,11150,1,PREAKAS SAMPUNATHAN,PAKATAN HARAPAN (PH),"41,254"
Selangor,KOTA KEMUNING,11150,2,JIMMY CHEW JYH GANG,PERIKATAN NASIONAL (PN),"16,966"
Selangor,KOTA KEMUNING,11150,3,CIKGU SEKAR,PARTI RAKYAT MALAYSIA (PRM),651
Selangor,SIJANGKANG,11251,1,DR AHMAD YUNUS,PERIKATAN NASIONAL (PN),"30,422"
Selangor,SIJANGKANG,11251,2,AL-HAFIZI,BARISAN NASIONAL OF MALAYSIA (BN),"19,114"
Selangor,BANTING,11252,1,ANG WEI YANG,BEBAS (BEBAS),"1,439"
Selangor,BANTING,11252,2,SARAVANAN A/L MUTTO KRISHNAN,PERIKATAN NASIONAL (PN),"5,121"
Selangor,BANTING,11252,3,PAPPARAIDU VERAMAN,PAKATAN HARAPAN (PH),"27,223"
Selangor,MORIB,11253,1,ROSNIZAN BIN AHMAD,PERIKATAN NASIONAL (PN),"18,936"
Selangor,MORIB,11253,2,HJ HASNUL BAHARUDDIN,PAKATAN HARAPAN (PH),"15,093"
Selangor,TANJONG SEPAT,11354,1,SABIRIN BIN MARSONO,PERIKATAN NASIONAL (PN),"11,336"
Selangor,TANJONG SEPAT,11354,2,BORHAN BIN AMAN SHAH,PAKATAN HARAPAN (PH),"13,860"
Selangor,DENGKIL,11355,1,PROF DARREN ONG,PARTI SOSIALIS MALAYSIA (BARU) (PSM),"1,782"
Selangor,DENGKIL,11355,2,NOORAZLI BIN SAID,BARISAN NASIONAL OF MALAYSIA (BN),"33,184"
Selangor,DENGKIL,11355,3,MOHD DAUD LEONG,PARTI UTAMA RAKYAT (PUR),668
Selangor,DENGKIL,11355,4,DATUK SERI JAMIL SALLEH,PERIKATAN NASIONAL (PN),"33,565"
Selangor,SUNGAI PELEK,11356,1,DATO SUHAIMI GHAZALI,PERIKATAN NASIONAL (PN),"16,526"
Selangor,SUNGAI PELEK,11356,2,LWI KIAN KEONG,PAKATAN HARAPAN (PH),"17,984"
Selangor,SUNGAI PELEK,11356,3,NAGESWARAN RAVI,BEBAS (BEBAS),230
