slug,center_lat,center_lon,zoom
n06-permaisuri-terengganu,5.597484,102.794851,9.50425223283072
n07-langkap-terengganu,5.359946,102.83355,9.757837306949428
n08-batu-rakit-terengganu,5.594828,103.051114,9.38120976077115
n09-tepuh-terengganu,5.342775,103.002167,10.40884320073096
n10-buluh-gading-terengganu,5.286578,103.04054,11.189596054082651
n11-seberang-takir-terengganu,5.37813,103.114951,11.888322504967041
n12-bukit-tunggal-terengganu,5.340516,103.110636,12.749008683816783
n13-wakaf-mempelam-terengganu,5.300092,103.11144,12.470525748304528
n14-bandar-terengganu,5.323161,103.132048,12.962095704727854
n15-ladang-terengganu,5.306102,103.140896,12.246072208465222
n16-batu-buruk-terengganu,5.289122,103.161776,11.86598189748347
n17-alur-limbat-terengganu,5.22661,103.084176,11.306700021203259
n18-bukit-payung-terengganu,5.244984,103.125468,12.018120621184368
n19-ru-rendang-terengganu,5.166926,103.210399,10.543938925765131
n20-pengkalan-berangan-terengganu,5.034791,103.220066,9.659724296991929
n21-telemung-terengganu,5.076397,102.725425,8.529199544267371
n22-manir-terengganu,5.27229,103.049979,11.683530326958005
n23-kuala-berang-terengganu,5.122787,103.026489,10.624291850839162
n24-ajil-terengganu,4.95778,103.046873,9.946025446260801
n25-bukit-besi-terengganu,4.680498,103.068424,9.093000168940934
n26-rantau-abang-terengganu,4.797506,103.45124,10.289926209649328
n27-sura-terengganu,4.737664,103.438133,11.716682844578274
n28-paka-terengganu,4.664872,103.358303,10.393179142142122
n29-kemasik-terengganu,4.48637,103.381681,10.402632663896258
n30-kijal-terengganu,4.365435,103.323994,10.170283295962555
n31-cukai-terengganu,4.216064,103.386592,11.927572883132
n32-air-putih-terengganu,4.161241,103.155482,9.056279971101487
n01-penaga-pulau-pinang,5.553896,100.387519,12.226811855432349
n02-bertam-pulau-pinang,5.515592,100.412698,12.768841573967135
n03-pinang-tunggal-pulau-pinang,5.527192,100.479789,11.77137778999118
n04-permatang-berangan-pulau-pinang,5.468628,100.48085,11.847185347673584
n05-sungai-dua-pulau-pinang,5.466536,100.433071,11.894607414470522
n06-telok-ayer-tawar-pulau-pinang,5.47475,100.398,12.201087110269222
n07-sungai-puyu-pulau-pinang,5.437474,100.393955,12.944285605717116
n08-bagan-jermal-pulau-pinang,5.420509,100.387546,13.288385794377602
n09-bagan-dalam-pulau-pinang,5.399567,100.378186,13.26917315391424
n10-seberang-jaya-pulau-pinang,5.387857,100.418161,12.51703835669735
n11-permatang-pasir-pulau-pinang,5.401562,100.432721,12.021775467884881
n12-penanti-pulau-pinang,5.410093,100.481146,11.76394971466617
n13-berapit-pulau-pinang,5.358087,100.47122,12.391608483526896
n14-machang-bubuk-pulau-pinang,5.336598,100.489007,11.505401675162794
n15-padang-lalang-pulau-pinang,5.350864,100.45198,13.032433229147134
n16-perai-pulau-pinang,5.375905,100.38594,12.742271118612566
n17-bukit-tengah-pulau-pinang,5.326209,100.433684,11.546022489266193
n18-bukit-tambun-pulau-pinang,5.25222,100.451279,11.817791681790515
n19-jawi-pulau-pinang,5.189761,100.461272,11.788695682556112
n20-sungai-bakap-pulau-pinang,5.218361,100.514178,10.861590783085736
n21-sungai-acheh-pulau-pinang,5.148463,100.450565,12.514278618313966
n22-tanjong-bunga-pulau-pinang,5.460663,100.276298,12.75824121967319
n23-air-putih-pulau-pinang,5.417636,100.266718,11.892814155392733
n24-kebun-bunga-pulau-pinang,5.433917,100.290092,12.507794332423776
n25-pulau-tikus-pulau-pinang,5.433227,100.3095,12.879109200206061
n26-padang-kota-pulau-pinang,5.421873,100.331741,14.177928379692677
n27-pengkalan-kota-pulau-pinang,5.409404,100.335238,14.24310842889973
n28-komtar-pulau-pinang,5.412634,100.32739,14.2269732216918
n29-datok-keramat-pulau-pinang,5.412269,100.312764,13.883099859689676
n30-sungai-pinang-pulau-pinang,5.39515,100.320418,13.222691609601055
n31-batu-lancang-pulau-pinang,5.39215,100.310828,13.620804331568648
n32-seri-delima-pulau-pinang,5.379285,100.303234,12.735335308454593
n33-air-itam-pulau-pinang,5.401544,100.288432,14.21892693736077
n34-paya-terubong-pulau-pinang,5.36625,100.276084,12.070130081574353
n35-batu-uban-pulau-pinang,5.354876,100.298212,12.669943733745034
n36-pantai-jerejak-pulau-pinang,5.324541,100.302676,12.639891346148172
n37-batu-maung-pulau-pinang,5.294548,100.27652,11.973054519605018
n38-bayan-lepas-pulau-pinang,5.310114,100.227163,11.752505445071534
n39-pulau-betong-pulau-pinang,5.343484,100.221936,11.484471563858058
n40-telok-bahang-pulau-pinang,5.411665,100.211576,11.131693368266673
n01-pengkalan-hulu-perak,5.641468,101.079552,10.023331085390282
n02-temengor-perak,5.474872,101.390214,8.349047063552014
n03-kenering-perak,5.288914,101.08182,9.368248343175894
n04-kota-tampan-perak,5.060152,100.983824,10.649105596867617
n05-selama-perak,5.289076,100.80645,10.053584094666423
n06-kubu-gajah-perak,5.098966,100.778363,10.442175494048016
n07-batu-kurau-perak,4.943326,100.794548,10.798178006937137
n08-titi-serong-perak,5.104225,100.439973,11.885153906587506
n09-kuala-kurau-perak,5.047334,100.421494,11.412246834694734
n10-alor-pongsu-perak,5.027355,100.530862,10.34377855406773
n11-gunong-semanggol-perak,5.02752,100.63279,10.468548341886363
n12-selinsing-perak,4.931698,100.583627,10.68684004289103
n13-kuala-sepetang-perak,4.836462,100.639553,10.531379344565135
n14-changkat-jering-perak,4.78861,100.75081,11.616977772681107
n15-trong-perak,4.646954,100.692985,10.256523061981492
n16-kamunting-perak,4.893598,100.762104,11.810777743258708
n17-pokok-assam-perak,4.836959,100.768196,11.901931640489982
n18-aulong-perak,4.844803,100.71673,12.085493195667032
n19-chenderoh-perak,4.883697,100.904531,10.529977920288667
n20-lubok-merbau-perak,4.772496,100.863416,10.72164413020432
n21-lintang-perak,4.979295,101.200137,9.555081375647132
n22-jalong-perak,4.796286,101.21522,10.311923247574894
n23-manjoi-perak,4.679368,101.083702,11.043434180971303
n24-hulu-kinta-perak,4.669856,101.214508,10.358451603414863
n25-canning-perak,4.602084,101.113504,12.548987770214575
n26-tebing-tinggi-perak,4.5468,101.060932,11.434661544658896
n27-pasir-pinji-perak,4.573094,101.08793,12.888559518957512
n28-bercham-perak,4.638296,101.112596,13.14244795832422
n29-kepayang-perak,4.616491,101.08985,12.411775083083054
n30-buntong-perak,4.599755,101.059323,12.759041050624175
n31-jelapang-perak,4.579716,101.018346,10.868560056249654
n32-menglembu-perak,4.544208,101.043564,11.784160103884865
n33-tronoh-perak,4.43269,100.993467,10.911820329875255
n34-bukit-chandan-perak,4.680019,100.96925,10.233153280759776
n35-manong-perak,4.660407,100.840297,10.109103959478524
n36-pengkalan-baharu-perak,4.424882,100.73969,10.170704498141026
n37-pantai-remis-perak,4.354056,100.694642,10.332182580535278
n38-astaka-perak,4.21185,100.719805,11.39744729174105
n39-belanja-perak,4.469308,100.898052,10.595716745137247
n40-bota-perak,4.314208,100.906745,10.904833049162297
n41-malim-nawar-perak,4.302901,101.07804,11.389000961559963
n42-keranji-perak,4.318939,101.178328,11.79147161985321
n43-tualang-sekah-perak,4.398763,101.158144,10.740517582332606
n44-sungai-rapat-perak,4.516376,101.072344,11.146508502185535
n45-simpang-pulai-perak,4.572996,101.220157,11.165845984273256
n46-teja-perak,4.48632,101.24025,10.71100482752599
n47-chenderiang-perak,4.28201,101.31506,10.072867442854218
n48-ayer-kuning-perak,4.152914,101.185053,10.243796323201172
n49-sungai-manik-perak,4.092146,101.123472,10.671793925984645
n50-kampong-gajah-perak,4.115044,100.930726,9.759345269402653
n51-pasir-panjang-perak,4.173358,100.723567,9.749203185990448
n52-pangkor-perak,4.240492,100.600307,10.638848160475217
n53-rungkup-perak,3.927922,100.778862,10.361099313365306
n54-hutan-melintang-perak,3.869465,100.946559,10.543838416041062
n55-pasir-bedamar-perak,4.048132,101.003849,11.321921939401653
n56-changkat-jong-perak,3.890377,101.095706,9.670578489951327
n57-sungkai-perak,4.097856,101.337162,10.241395948059964
n58-slim-perak,3.837277,101.336712,9.791949006006437
n59-behrang-perak,3.953291,101.463321,9.091380745283693
n01-tanah-rata-pahang,4.470357,101.469271,9.98713956094826
n02-jelai-pahang,4.395288,101.699959,8.671227248550649
n03-padang-tengku-pahang,4.438768,102.052577,8.846279805973438
n04-cheka-pahang,4.139606,102.119222,10.381155245329623
n05-benta-pahang,4.023942,102.04124,10.541349445763323
n06-batu-talam-pahang,3.931135,101.759836,9.653335957572137
n07-tras-pahang,3.734389,101.813364,10.24850378321232
n08-dong-pahang,3.769984,101.965056,9.43011615440439
n09-tahan-pahang,4.340385,102.618262,8.413010481895935
n10-damak-pahang,3.921064,102.253034,10.285465929681997
n11-pulau-tawar-pahang,3.933459,102.583281,9.45181524663049
n12-beserah-pahang,4.005406,103.372823,9.635267951899202
n13-semambu-pahang,3.845095,103.289288,11.318478986285877
n14-teruntum-pahang,3.81343,103.346352,13.051924060076429
n15-tanjung-lumpur-pahang,3.760182,103.308387,11.619290644470533
n16-inderapura-pahang,3.690846,103.332978,10.652507469932942
n17-sungai-lembing-pahang,3.959415,103.079658,9.795974703439917
n18-lepar-pahang,3.792488,102.95614,9.758120450410056
n19-panching-pahang,3.851624,103.195562,10.744967321819813
n20-pulau-manis-pahang,3.61959,103.100882,9.767248223279006
n21-peramu-jaya-pahang,3.489876,103.410997,10.320636018894369
n22-bebar-pahang,3.25883,103.258913,8.9354976507873
n23-chini-pahang,3.384027,102.95746,10.296243442710006
n24-luit-pahang,3.560132,102.800242,9.584870171193053
n25-kuala-sentul-pahang,3.718808,102.672088,10.1316879732091
n26-chenor-pahang,3.48559,102.612562,9.771222297501314
n27-jenderak-pahang,3.69488,102.259168,9.735478781682376
n28-kerdau-pahang,3.633934,102.409363,10.271233888421856
n29-jengka-pahang,3.686541,102.525772,10.183890260874486
n30-mentakab-pahang,3.490504,102.366502,11.513195878085172
n31-lanchang-pahang,3.54283,102.227092,9.517369598400487
n32-kuala-semantan-pahang,3.459735,102.435505,10.608348638677763
n33-bilut-pahang,3.586513,101.868391,10.401565475829656
n34-ketari-pahang,3.40731,101.908174,9.986417398540306
n35-sabai-pahang,3.419536,102.02498,9.990858560831683
n36-pelangai-pahang,3.265546,102.156828,10.209239170170756
n37-guai-pahang,3.367757,102.504151,10.606180655455944
n38-triang-pahang,3.22213,102.372496,10.69034012307286
n39-kemayan-pahang,3.069227,102.5659,9.147484517477848
n40-bukit-ibam-pahang,2.989532,102.916113,8.580693828122493
n41-muadzam-shah-pahang,2.819255,103.19633,8.960504077320653
n42-tioman-pahang,2.688214,103.683913,9.119781812544101
n01-sungai-air-tawar-selangor,3.791662,100.892898,10.898402559257029
n02-sabak-selangor,3.73724,101.011597,11.054468523467541
n03-sungai-panjang-selangor,3.663099,101.15576,10.528187217634924
n04-sekinchan-selangor,3.565792,101.208924,10.89448840477435
n05-hulu-bernam-selangor,3.675313,101.492426,10.20717977793235
n06-kuala-kubu-baharu-selangor,3.577078,101.612299,9.975666853822286
