date,parlimen,dun,seat,ballot_order,name,party,votes
12 Aug 2023,036,03600,PRK PARLIMEN P.036  KUALA TERENGGANU (2023),1,DATUK HJ AMZAD HASHIM,PARTI ISLAM SE MALAYSIA (PAS),"68,369"
12 Aug 2023,036,03600,PRK PARLIMEN P.036  KUALA TERENGGANU (2023),2,AZAN ISMAIL,PAKATAN HARAPAN (PH),"21,103"
07 Dec 2022,017,01700,PRU KE - 15 P.017  PADANG SERAI (2022),1,DATO' CIKGU AZMAN,PERIKATAN NASIONAL (PN),"51,637"
07 Dec 2022,017,01700,PRU KE - 15 P.017  PADANG SERAI (2022),2,DATO SIVARAJ CHANDRAN,BARISAN NASIONAL OF MALAYSIA (BN),"2,983"
07 Dec 2022,017,01700,PRU KE - 15 P.017  PADANG SERAI (2022),3,HAMZAH ABD RAHMAN,PARTI PEJUANG TANAHAIR (PEJUANG),424
07 Dec 2022,017,01700,PRU KE - 15 P.017  PADANG SERAI (2022),4,DR. SOFEE RAZAK,PAKATAN HARAPAN (PH),"35,377"
07 Dec 2022,017,01700,PRU KE - 15 P.017  PADANG SERAI (2022),5,ANANDA AK,BEBAS (BEBAS),846
07 Dec 2022,017,01700,PRU KE - 15 P.017  PADANG SERAI (2022),6,MOHD BAKHRI BIN HAJI HASHIM,PARTI WARISAN SABAH (WARISAN),149
07 Dec 2022,091,09142,PRU KE - 15 N.42 TIOMAN (2022),1,IDAYU HASHIM,PERIKATAN NASIONAL (PN),"7,507"
07 Dec 2022,091,09142,PRU KE - 15 N.42 TIOMAN (2022),2,CIKGU OSMAN BAKAR,PARTI PEJUANG TANAHAIR (PEJUANG),79
07 Dec 2022,091,09142,PRU KE - 15 N.42 TIOMAN (2022),3,MOHD FADZLI BIN MOHD RAMLY,PAKATAN HARAPAN (PH),784
07 Dec 2022,091,09142,PRU KE - 15 N.42 TIOMAN (2022),4,DATO' SRI HAJI MOHD JOHARI BIN HAJI HUSSAIN,BARISAN NASIONAL OF MALAYSIA (BN),"8,080"
07 Dec 2022,091,09142,PRU KE - 15 N.42 TIOMAN (2022),5,SULAIMAN BIN BAKAR,BEBAS (BEBAS),58
