date,parlimen,dun,seat,ballot_order,name,party,votes
08 Sep 2018,105,10532,"PRK DUN N.32 SERI SETIA, SELANGOR (2018)",1,HALIMEY BIN ABU BAKAR,PAKATAN HARAPAN (PH),"13,725"
08 Sep 2018,105,10532,"PRK DUN N.32 SERI SETIA, SELANGOR (2018)",2,DR HALIMAH ALI,PARTI ISLAM SE MALAYSIA (PAS),"9,698"
08 Sep 2018,102,10227,"PRK DUN N.27 BALAKONG, SELANGOR (2018)",1,TAN CHEE TEONG,MALAYSIAN CHINESE ASSOCIATION (MCA),"3,975"
08 Sep 2018,102,10227,"PRK DUN N.27 BALAKONG, SELANGOR (2018)",2,WONG SIEW KI,PAKATAN HARAPAN (PH),"22,508"
04 Aug 2018,111,11149,"PRK DUN N.49 SUNGAI KANDIS, SELANGOR (2018)",1,DATO' LOKMAN NOOR BIN ADAM,BARISAN NASIONAL (BN),"9,585"
04 Aug 2018,111,11149,"PRK DUN N.49 SUNGAI KANDIS, SELANGOR (2018)",2,K.MURTHY PJK,BEBAS (BEBAS),97
04 Aug 2018,111,11149,"PRK DUN N.49 SUNGAI KANDIS, SELANGOR (2018)",3,MOHD ZAWAWI BIN AHMAD MUGHNI,PARTI KEADILAN RAKYAT (PKR),"15,427"
18 Feb 2017,193,19303,"PRK DUN N.03 TANJONG DATU, SARAWAK (2017)",1,JAMILAH ANU,BARISAN NASIONAL (BN),"6,573"
18 Feb 2017,193,19303,"PRK DUN N.03 TANJONG DATU, SARAWAK (2017)",2,JOHNNY BOB AK APUT,PARTI REFORMASI NEGERI SARAWAK (STAR),108
18 Feb 2017,193,19303,"PRK DUN N.03 TANJONG DATU, SARAWAK (2017)",3,RAPELSON RICHARD HAMIT,PARTI BANSA DAYAK SARAWAK BARU (PBDSB),130
18 Jun 2016,067,06700,"PRK PARLIMEN P.067 KUALA KANGSAR, PERAK (2016)",1,IZAT BUKHARY,BEBAS (BEBAS),54
18 Jun 2016,067,06700,"PRK PARLIMEN P.067 KUALA KANGSAR, PERAK (2016)",2,DR. NAJIHATUSSALEHAH AHMAD,PARTI ISLAM SE MALAYSIA (PAS),"5,684"
18 Jun 2016,067,06700,"PRK PARLIMEN P.067 KUALA KANGSAR, PERAK (2016)",3,DATIN MASTURA YAZID,BARISAN NASIONAL (BN),"12,653"
18 Jun 2016,067,06700,"PRK PARLIMEN P.067 KUALA KANGSAR, PERAK (2016)",4,DR AHMAD TERMIZI RAMLI,PARTI AMANAH NEGARA (AMANAH),"4,883"
18 Jun 2016,093,09300,"PRK PARLIMEN P.093 SUNGAI BESAR, SELANGOR (2016)",1,DR. RANI,PARTI ISLAM SE MALAYSIA (PAS),"6,902"
18 Jun 2016,093,09300,"PRK PARLIMEN P.093 SUNGAI BESAR, SELANGOR (2016)",2,BUDIMAN BIN MOHD ZOHDI,BARISAN NASIONAL (BN),"16,800"
18 Jun 2016,093,09300,"PRK PARLIMEN P.093 SUNGAI BESAR, SELANGOR (2016)",3,USTAZ AZHAR,PARTI AMANAH NEGARA (AMANAH),"7,609"
07 May 2015,044,04400,"PRK PARLIMEN P.044 PERMATANG PAUH, PULAU PINANG (2015)",1,SUHAIMI BIN SABUDIN,BARISAN NASIONAL (BN),"21,475"
07 May 2015,044,04400,"PRK PARLIMEN P.044 PERMATANG PAUH, PULAU PINANG (2015)",2,SALLEH BIN ISAHAK,BEBAS (BEBAS),367
07 May 2015,044,04400,"PRK PARLIMEN P.044 PERMATANG PAUH, PULAU PINANG (2015)",3,DR WAN AZIZAH WAN ISMAIL,PARTI KEADILAN RAKYAT (PKR),"30,316"
07 May 2015,044,04400,"PRK PARLIMEN P.044 PERMATANG PAUH, PULAU PINANG (2015)",4,AZMAN SHAH,PARTI RAKYAT MALAYSIA (PRM),101
05 May 2015,091,09100,"PRK PARLIMEN P.091 ROMPIN, PAHANG (2015)",1,USTAZ NAZRI BIN HAJI AHMAD,PARTI ISLAM SE MALAYSIA (PAS),"14,901"
05 May 2015,091,09100,"PRK PARLIMEN P.091 ROMPIN, PAHANG (2015)",2,DATO' HASAN BIN ARIFIN,BARISAN NASIONAL (BN),"23,796"
22 Mar 2015,020,02006,"PRK DUN N.06 CHEMPAKA, KELANTAN (2015)",1,KAK LAH,BEBAS (BEBAS),89
22 Mar 2015,020,02006,"PRK DUN N.06 CHEMPAKA, KELANTAN (2015)",2,USTAZ FATHAN,PARTI ISLAM SE MALAYSIA (PAS),"10,899"
22 Mar 2015,020,02006,"PRK DUN N.06 CHEMPAKA, KELANTAN (2015)",3,IZAT BUKHARY,BEBAS (BEBAS),51
22 Mar 2015,020,02006,"PRK DUN N.06 CHEMPAKA, KELANTAN (2015)",4,ASLAH BIN MAMAT,BEBAS (BEBAS),27
22 Mar 2015,020,02006,"PRK DUN N.06 CHEMPAKA, KELANTAN (2015)",5,HJ. SHARIF,BEBAS (BEBAS),807
25 Sep 2014,019,01901,"PRK DUN N.01 PENGKALAN KUBOR, KELANTAN (2014)",1,IZAT BUKHARY,BEBAS (BEBAS),38
25 Sep 2014,019,01901,"PRK DUN N.01 PENGKALAN KUBOR, KELANTAN (2014)",2,WAN ROSDI,PARTI ISLAM SE MALAYSIA (PAS),"7,326"
25 Sep 2014,019,01901,"PRK DUN N.01 PENGKALAN KUBOR, KELANTAN (2014)",3,USTAZ MAT RAZI,BARISAN NASIONAL (BN),"9,961"
31 May 2014,076,07600,"PRK PARLIMEN P.076 TELOK INTAN, PERAK (2014)",1,MAH SIEW KEONG,BARISAN NASIONAL (BN),"20,157"
31 May 2014,076,07600,"PRK PARLIMEN P.076 TELOK INTAN, PERAK (2014)",2,DYANA SOFYA BINTI MOHD DAUD,PARTI TINDAKAN DEMOKRATIK (DAP),"19,919"
25 May 2014,051,05100,"PRK PARLIMEN P.051 BUKIT GELUGOR, PULAU PINANG (2014)",1,HUAN CHENG GUAN,PARTI CINTA MALAYSIA (PCM),"3,583"
25 May 2014,051,05100,"PRK PARLIMEN P.051 BUKIT GELUGOR, PULAU PINANG (2014)",2,MOHAMED NABI,BEBAS (BEBAS),799
25 May 2014,051,05100,"PRK PARLIMEN P.051 BUKIT GELUGOR, PULAU PINANG (2014)",3,RAMKARPAL SINGH,PARTI TINDAKAN DEMOKRATIK (DAP),"41,242"
25 May 2014,051,05100,"PRK PARLIMEN P.051 BUKIT GELUGOR, PULAU PINANG (2014)",4,ABU BACKER SIDEK,BEBAS (BEBAS),225
29 Mar 2014,213,21358,"PRK DUN N.51 BALINGIAN, SARAWAK (2014)",1,YUSSIBNOSH BALO,BARISAN NASIONAL (BN),"8,194"
29 Mar 2014,213,21358,"PRK DUN N.51 BALINGIAN, SARAWAK (2014)",2,ABDUL JALIL BIN BUJANG,PARTI KEADILAN RAKYAT (PKR),"1,283"
23 Mar 2014,102,10225,"PRK DUN N.25 KAJANG, SELANGOR (2014)",1,CHEW MEI FUN,BARISAN NASIONAL (BN),"11,362"
23 Mar 2014,102,10225,"PRK DUN N.25 KAJANG, SELANGOR (2014)",2,WAN AZIZAH WAN ISMAIL,PARTI KEADILAN RAKYAT (PKR),"16,741"
04 Nov 2013,012,01220,"PRK DUN N.20 SUNGAI LIMAU, KEDAH (2013)",1,DR HAJI SOHAIMI LAZIM,BARISAN NASIONAL (BN),"10,985"
04 Nov 2013,012,01220,"PRK DUN N.20 SUNGAI LIMAU, KEDAH (2013)",2,USTAZ MOHD AZAM BIN ABD SAMAT,PARTI ISLAM SE MALAYSIA (PAS),"12,069"
24 Jul 2013,033,03301,"PRK DUN N.01 KUALA BESUT, TERENGGANU (2013)",1,TENGKU ZAIHAN BIN CHE KU ABD RAHMAN,BARISAN NASIONAL (BN),"8,288"
