state,seat,year,lineage
Johor,N.01 Buloh Kasap,2003,N.01 Buloh Kasap
Johor,N.01 Buloh Kasap,1994,N.01 Sepinang
Johor,N.01 Buloh Kasap,1984,N.01 Sepinang
Johor,N.01 Buloh Kasap,1974,N.01 Buloh Kasap
Johor,N.01 Buloh Kasap,1959,N.29 Batu Anam
Johor,N.02 Jementah,2003,N.02 Jementah
Johor,N.02 Jementah,1994,N.02 Jementah
Johor,N.02 Jementah,1984,N.02 Jementah
Johor,N.02 Jementah,1974,N.01 Buloh Kasap
Johor,N.02 Jementah,1959,N.29 Batu Anam
Johor,N.03 Pemanis,2003,N.03 Pemanis
Johor,N.03 Pemanis,1994,N.01 Sepinang
Johor,N.03 Pemanis,1984,N.01 Sepinang
Johor,N.03 Pemanis,1974,N.01 Buloh Kasap
Johor,N.03 Pemanis,1959,N.29 Batu Anam
Johor,N.04 Kemelah,2003,N.04 Kemelah
Johor,N.04 Kemelah,1994,N.07 Tenang
Johor,N.04 Kemelah,1984,N.07 Tenang
Johor,N.04 Kemelah,1974,N.02 Ayer Panas
Johor,N.04 Kemelah,1959,N.03 Labis
Johor,N.05 Tenang,2003,N.05 Tenang
Johor,N.05 Tenang,1994,N.07 Tenang
Johor,N.05 Tenang,1984,N.07 Tenang
Johor,N.05 Tenang,1974,N.02 Ayer Panas
Johor,N.05 Tenang,1959,N.03 Labis
Johor,N.06 Bekok,2003,N.06 Bekok
Johor,N.06 Bekok,1994,N.08 Bekok
Johor,N.06 Bekok,1984,N.08 Bekok
Johor,N.06 Bekok,1974,N.05 Bekok
Johor,N.06 Bekok,1959,N.04 Bekok
Johor,N.07 Bukit Kepong,2003,N.07 Bukit Serampang
Johor,N.07 Bukit Kepong,1994,N.05 Bukit Serampang
Johor,N.07 Bukit Kepong,1984,N.05 Bukit Serampang
Johor,N.07 Bukit Kepong,1974,N.04 Bukit Serampang
Johor,N.07 Bukit Kepong,1959,N.01 Bukit Serampang
Johor,N.08 Bukit Pasir,2003,N.08 Jorak
Johor,N.08 Bukit Pasir,1994,N.06 Jorak
Johor,N.08 Bukit Pasir,1984,N.06 Jorak
Johor,N.08 Bukit Pasir,1974,N.11 Jorak
Johor,N.08 Bukit Pasir,1959,N.01 Bukit Serampang
Johor,N.09 Gambir,2003,N.09 Gambir
Johor,N.09 Gambir,1994,N.03 Tangkak
Johor,N.09 Gambir,1984,N.03 Tangkak
Johor,N.09 Gambir,1974,N.09 Tangkak
Johor,N.09 Gambir,1959,N.31 Tangkak
Johor,N.10 Tangkak,2003,N.10 Tangkak
Johor,N.10 Tangkak,1994,N.03 Tangkak
Johor,N.10 Tangkak,1984,N.03 Tangkak
Johor,N.10 Tangkak,1974,N.09 Tangkak
Johor,N.10 Tangkak,1959,N.31 Tangkak
Johor,N.11 Serom,2003,N.11 Serom
Johor,N.11 Serom,1994,N.04 Serom
Johor,N.11 Serom,1984,N.04 Serom
Johor,N.11 Serom,1974,N.10 Serom
Johor,N.11 Serom,1959,N.32 Serom
Johor,N.12 Bentayan,2003,N.12 Bentayan
Johor,N.12 Bentayan,1994,N.16 Maharani
Johor,N.12 Bentayan,1984,N.16 Maharani
Johor,N.12 Bentayan,1974,N.12 Kesang
Johor,N.12 Bentayan,1959,N.02 Jorak
Johor,N.13 Simpang Jeram,2003,N.13 Sungai Abong
Johor,N.13 Simpang Jeram,1994,N.15 Bukit Naning
Johor,N.13 Simpang Jeram,1984,N.15 Bukit Naning
Johor,N.13 Simpang Jeram,1974,N.16 Parit Jawa
Johor,N.13 Simpang Jeram,1959,N.08 Simpang Kiri
Johor,N.14 Bukit Naning,2003,N.14 Bukit Naning
Johor,N.14 Bukit Naning,1994,N.15 Bukit Naning
Johor,N.14 Bukit Naning,1984,N.15 Bukit Naning
Johor,N.14 Bukit Naning,1974,N.16 Parit Jawa
Johor,N.14 Bukit Naning,1959,N.08 Simpang Kiri
Johor,N.15 Maharani,2003,N.15 Maharani
Johor,N.15 Maharani,1994,N.17 Parit Bakar
Johor,N.15 Maharani,1984,N.17 Parit Bakar
Johor,N.15 Maharani,1974,N.16 Parit Jawa
Johor,N.15 Maharani,1959,N.08 Simpang Kiri
Johor,N.16 Sungai Balang,2003,N.16 Sungai Balang
Johor,N.16 Sungai Balang,1994,N.18 Sungai Balang
Johor,N.16 Sungai Balang,1984,N.18 Parit Jawa
Johor,N.16 Sungai Balang,1974,N.23 Sri Menanti
Johor,N.16 Sungai Balang,1959,N.07 Parit Jawa
Johor,N.17 Semerah,2003,N.17 Semerah
Johor,N.17 Semerah,1994,N.14 Semerah
Johor,N.17 Semerah,1984,N.14 Semerah
Johor,N.17 Semerah,1974,N.24 Peserai
Johor,N.17 Semerah,1959,N.08 Simpang Kiri
Johor,N.18 Sri Medan,2003,N.18 Sri Medan
Johor,N.18 Sri Medan,1994,N.13 Sri Medan
Johor,N.18 Sri Medan,1984,N.13 Sri Medan
Johor,N.18 Sri Medan,1974,N.14 Sri Medan
Johor,N.18 Sri Medan,1959,N.11 Tanjong Sembrong
Johor,N.19 Yong Peng,2003,N.19 Yong Peng
Johor,N.19 Yong Peng,1994,N.13 Sri Medan
Johor,N.19 Yong Peng,1984,N.13 Sri Medan
Johor,N.19 Yong Peng,1974,N.14 Sri Medan
Johor,N.19 Yong Peng,1959,N.11 Tanjong Sembrong
Johor,N.20 Semarang,2003,N.20 Semarang
Johor,N.20 Semarang,1994,N.19 Parit Yaani
Johor,N.20 Semarang,1984,N.19 Parit Yaani
Johor,N.20 Semarang,1974,N.13 Sri Lalang
Johor,N.20 Semarang,1959,N.11 Tanjong Sembrong
Johor,N.21 Parit Yaani,2003,N.21 Parit Yaani
Johor,N.21 Parit Yaani,1994,N.19 Parit Yaani
Johor,N.21 Parit Yaani,1984,N.19 Parit Yaani
Johor,N.21 Parit Yaani,1974,N.13 Sri Lalang
Johor,N.21 Parit Yaani,1959,N.11 Tanjong Sembrong
Johor,N.22 Parit Raja,2003,N.22 Parit Raja
Johor,N.22 Parit Raja,1994,N.20 Parit Raja
Johor,N.22 Parit Raja,1984,N.20 Parit Raja
Johor,N.22 Parit Raja,1974,N.25 Bandar Penggaram
Johor,N.22 Parit Raja,1959,N.12 Ayer Hitam
Johor,N.23 Penggaram,2003,N.23 Penggaram
Johor,N.23 Penggaram,1994,N.21 Penggaram
Johor,N.23 Penggaram,1984,N.21 Penggaram
Johor,N.23 Penggaram,1974,N.25 Bandar Penggaram
Johor,N.23 Penggaram,1959,N.12 Ayer Hitam
Johor,N.24 Senggarang,2003,N.24 Senggarang
Johor,N.24 Senggarang,1994,N.21 Penggaram
Johor,N.24 Senggarang,1984,N.21 Penggaram
Johor,N.24 Senggarang,1974,N.25 Bandar Penggaram
Johor,N.24 Senggarang,1959,N.12 Ayer Hitam
Johor,N.25 Rengit,2003,N.25 Rengit
Johor,N.25 Rengit,1994,N.22 Rengit
Johor,N.25 Rengit,1984,N.22 Rengit
Johor,N.25 Rengit,1974,N.26 Rengit
Johor,N.25 Rengit,1959,N.17 Rengit
Johor,N.26 Machap,2003,N.26 Machap
Johor,N.26 Machap,1994,N.25 Simpang Renggam
Johor,N.26 Machap,1984,N.23 Simpang Renggam
Johor,N.26 Machap,1974,N.22 Simpang Renggam
Johor,N.26 Machap,1959,N.21 Rengam
Johor,N.27 Layang-Layang,2003,N.27 Layang-Layang
Johor,N.27 Layang-Layang,1994,N.25 Simpang Renggam
Johor,N.27 Layang-Layang,1984,N.23 Simpang Renggam
Johor,N.27 Layang-Layang,1974,N.22 Simpang Renggam
Johor,N.27 Layang-Layang,1959,N.21 Rengam
Johor,N.28 Mengkibol,2003,N.28 Mengkibol
Johor,N.28 Mengkibol,1994,N.12 Mengkibol
Johor,N.28 Mengkibol,1984,N.11 Paloh
Johor,N.28 Mengkibol,1974,N.05 Bekok
Johor,N.28 Mengkibol,1959,N.04 Bekok
Johor,N.29 Mahkota,2003,N.29 Mahkota
Johor,N.29 Mahkota,1994,N.12 Mengkibol
Johor,N.29 Mahkota,1984,N.11 Paloh
Johor,N.29 Mahkota,1974,N.05 Bekok
Johor,N.29 Mahkota,1959,N.04 Bekok
Johor,N.30 Paloh,2003,N.30 Paloh
Johor,N.30 Paloh,1994,N.11 Paloh
Johor,N.30 Paloh,1984,N.11 Paloh
Johor,N.30 Paloh,1974,N.05 Bekok
Johor,N.30 Paloh,1959,N.04 Bekok
Johor,N.31 Kahang,2003,N.31 Kahang
Johor,N.31 Kahang,1994,N.10 Tenggaroh
Johor,N.31 Kahang,1984,N.10 Tenggaroh
Johor,N.31 Kahang,1974,N.08 Mersing
Johor,N.31 Kahang,1959,N.28 Mersing
Johor,N.32 Endau,2003,N.32 Endau
Johor,N.32 Endau,1994,N.10 Tenggaroh
Johor,N.32 Endau,1984,N.10 Tenggaroh
Johor,N.32 Endau,1974,N.08 Mersing
Johor,N.32 Endau,1959,N.28 Mersing
Johor,N.33 Tenggaroh,2003,N.33 Tenggaroh
Johor,N.33 Tenggaroh,1994,N.10 Tenggaroh
Johor,N.33 Tenggaroh,1984,N.10 Tenggaroh
Johor,N.33 Tenggaroh,1974,N.08 Mersing
Johor,N.33 Tenggaroh,1959,N.28 Mersing
Johor,N.34 Panti,2003,N.34 Panti
Johor,N.34 Panti,1994,N.24 Gunung Lambak
Johor,N.34 Panti,1984,N.26 Bandar Tenggara
Johor,N.34 Panti,1974,N.19 Kota Tinggi
Johor,N.34 Panti,1959,N.15 Kota Tinggi
Johor,N.35 Pasir Raja,2003,N.35 Pasir Raja
Johor,N.35 Pasir Raja,1994,N.28 Bukit Permai
Johor,N.35 Pasir Raja,1984,N.26 Bandar Tenggara
Johor,N.35 Pasir Raja,1974,N.19 Kota Tinggi
Johor,N.35 Pasir Raja,1959,N.15 Kota Tinggi
Johor,N.36 Sedili,2003,N.36 Sedili
Johor,N.36 Sedili,1994,N.29 Sedili
Johor,N.36 Sedili,1984,N.27 Sedili
Johor,N.36 Sedili,1974,N.20 Johor Lama
Johor,N.36 Sedili,1959,N.16 Johore Lama
Johor,N.37 Johor Lama,2003,N.37 Johor Lama
Johor,N.37 Johor Lama,1994,N.29 Sedili
Johor,N.37 Johor Lama,1984,N.27 Sedili
Johor,N.37 Johor Lama,1974,N.20 Johor Lama
Johor,N.37 Johor Lama,1959,N.16 Johore Lama
Johor,N.38 Penawar,2003,N.38 Penawar
Johor,N.38 Penawar,1994,N.30 Pengerang
Johor,N.38 Penawar,1984,N.28 Pengerang
Johor,N.38 Penawar,1974,N.20 Johor Lama
Johor,N.38 Penawar,1959,N.16 Johore Lama
Johor,N.39 Tanjung Surat,2003,N.39 Tanjong Surat
Johor,N.39 Tanjung Surat,1994,N.30 Pengerang
Johor,N.39 Tanjung Surat,1984,N.28 Pengerang
Johor,N.39 Tanjung Surat,1974,N.20 Johor Lama
Johor,N.39 Tanjung Surat,1959,N.16 Johore Lama
Johor,N.40 Tiram,2003,N.40 Tiram
Johor,N.40 Tiram,1994,N.32 Pasir Gudang
Johor,N.40 Tiram,1984,N.30 Pasir Gudang
Johor,N.40 Tiram,1974,N.31 Tiram
Johor,N.40 Tiram,1959,N.23 Plentong
Johor,N.41 Puteri Wangsa,2003,N.41 Puteri Wangsa
Johor,N.41 Puteri Wangsa,1994,N.31 Tiram
Johor,N.41 Puteri Wangsa,1984,N.29 Tiram
Johor,N.41 Puteri Wangsa,1974,N.31 Tiram
Johor,N.41 Puteri Wangsa,1959,N.23 Plentong
Johor,N.42 Johor Jaya,2003,N.42 Johor Jaya
Johor,N.42 Johor Jaya,1994,N.32 Pasir Gudang
Johor,N.42 Johor Jaya,1984,N.30 Pasir Gudang
Johor,N.42 Johor Jaya,1974,N.31 Tiram
Johor,N.42 Johor Jaya,1959,N.23 Plentong
Johor,N.43 Permas,2003,N.43 Permas
Johor,N.43 Permas,1994,N.32 Pasir Gudang
Johor,N.43 Permas,1984,N.30 Pasir Gudang
Johor,N.43 Permas,1974,N.31 Tiram
Johor,N.43 Permas,1959,N.23 Plentong
Johor,N.44 Larkin,2003,N.44 Tanjong Puteri
Johor,N.44 Larkin,1994,N.36 Kempas
Johor,N.44 Larkin,1984,N.33 Tambatan
Johor,N.44 Larkin,1974,N.30 Skudai
Johor,N.44 Larkin,1959,N.25 Gelang Patah
Johor,N.45 Stulang,2003,N.45 Stulang
Johor,N.45 Stulang,1994,N.34 Stulang
Johor,N.45 Stulang,1984,N.30 Pasir Gudang
Johor,N.45 Stulang,1974,N.31 Tiram
Johor,N.45 Stulang,1959,N.23 Plentong
Johor,N.46 Perling,2003,N.46 Pengkalan Rinting
Johor,N.46 Perling,1994,N.37 Tanjong Kupang
Johor,N.46 Perling,1984,N.34 Gelang Patah
Johor,N.46 Perling,1974,N.29 Gelang Patah
Johor,N.46 Perling,1959,N.19 Pontian Dalam
Johor,N.47 Kempas,2003,N.47 Kempas
Johor,N.47 Kempas,1994,N.36 Kempas
Johor,N.47 Kempas,1984,N.33 Tambatan
Johor,N.47 Kempas,1974,N.30 Skudai
Johor,N.47 Kempas,1959,N.25 Gelang Patah
Johor,N.48 Skudai,2003,N.48 Skudai
Johor,N.48 Skudai,1994,N.38 Skudai
Johor,N.48 Skudai,1984,N.25 Kulai
Johor,N.48 Skudai,1974,N.18 Kulai
Johor,N.48 Skudai,1959,N.25 Gelang Patah
Johor,N.49 Kota Iskandar,2003,N.49 Nusa Jaya
Johor,N.49 Kota Iskandar,1994,N.37 Tanjong Kupang
Johor,N.49 Kota Iskandar,1984,N.34 Gelang Patah
Johor,N.49 Kota Iskandar,1974,N.29 Gelang Patah
Johor,N.49 Kota Iskandar,1959,N.19 Pontian Dalam
Johor,N.50 Bukit Permai,2003,N.50 Bukit Permai
Johor,N.50 Bukit Permai,1994,N.28 Bukit Permai
Johor,N.50 Bukit Permai,1984,N.26 Bandar Tenggara
Johor,N.50 Bukit Permai,1974,N.19 Kota Tinggi
Johor,N.50 Bukit Permai,1959,N.15 Kota Tinggi
Johor,N.51 Bukit Batu,2003,N.51 Bukit Batu
Johor,N.51 Bukit Batu,1994,N.27 Kulai
Johor,N.51 Bukit Batu,1984,N.26 Bandar Tenggara
Johor,N.51 Bukit Batu,1974,N.19 Kota Tinggi
Johor,N.51 Bukit Batu,1959,N.15 Kota Tinggi
Johor,N.52 Senai,2003,N.52 Senai
Johor,N.52 Senai,1994,N.28 Bukit Permai
Johor,N.52 Senai,1984,N.26 Bandar Tenggara
Johor,N.52 Senai,1974,N.19 Kota Tinggi
Johor,N.52 Senai,1959,N.15 Kota Tinggi
Johor,N.53 Benut,2003,N.53 Benut
Johor,N.53 Benut,1994,N.26 Benut
Johor,N.53 Benut,1984,N.24 Benut
Johor,N.53 Benut,1974,N.27 Benut
Johor,N.53 Benut,1959,N.18 Benut
Johor,N.54 Pulai Sebatang,2003,N.54 Pulai Sebatang
Johor,N.54 Pulai Sebatang,1994,N.39 Pulai Sebatang
Johor,N.54 Pulai Sebatang,1984,N.35 Pulai Sebatang
Johor,N.54 Pulai Sebatang,1974,N.29 Gelang Patah
Johor,N.54 Pulai Sebatang,1959,N.19 Pontian Dalam
Johor,N.55 Pekan Nanas,2003,N.55 Pekan Nenas
Johor,N.55 Pekan Nanas,1994,N.39 Pulai Sebatang
Johor,N.55 Pekan Nanas,1984,N.35 Pulai Sebatang
Johor,N.55 Pekan Nanas,1974,N.29 Gelang Patah
Johor,N.55 Pekan Nanas,1959,N.19 Pontian Dalam
Johor,N.56 Kukup,2003,N.56 Kukup
Johor,N.56 Kukup,1994,N.40 Kukup
Johor,N.56 Kukup,1984,N.36 Kukup
Johor,N.56 Kukup,1974,N.29 Gelang Patah
Johor,N.56 Kukup,1959,N.19 Pontian Dalam
Kedah,N.01 Ayer Hangat,2003,N.01 Ayer Hangat
Kedah,N.01 Ayer Hangat,1994,N.01 Padang Matsirat
Kedah,N.01 Ayer Hangat,1984,N.01 Langkawi
Kedah,N.01 Ayer Hangat,1974,N.01 Langkawi
Kedah,N.01 Ayer Hangat,1959,N.09 Langkawi
Kedah,N.02 Kuah,2003,N.02 Kuah
Kedah,N.02 Kuah,1994,N.02 Kuah
Kedah,N.02 Kuah,1984,N.01 Langkawi
Kedah,N.02 Kuah,1974,N.01 Langkawi
Kedah,N.02 Kuah,1959,N.09 Langkawi
Kedah,N.03 Kota Siputeh,2003,N.03 Kota Siputeh
Kedah,N.03 Kota Siputeh,1994,N.04 Kota Siputeh
Kedah,N.03 Kota Siputeh,1984,N.03 Tunjang
Kedah,N.03 Kota Siputeh,1974,N.03 Tunjang
Kedah,N.03 Kota Siputeh,1959,N.01 Jitra
Kedah,N.04 Ayer Hitam,2003,N.04 Ayer Hitam
Kedah,N.04 Ayer Hitam,1994,N.04 Kota Siputeh
Kedah,N.04 Ayer Hitam,1984,N.03 Tunjang
Kedah,N.04 Ayer Hitam,1974,N.03 Tunjang
Kedah,N.04 Ayer Hitam,1959,N.01 Jitra
Kedah,N.05 Bukit Kayu Hitam,2003,N.05 Bukit Kayu Hitam
Kedah,N.05 Bukit Kayu Hitam,1994,N.05 Tunjang
Kedah,N.05 Bukit Kayu Hitam,1984,N.03 Tunjang
Kedah,N.05 Bukit Kayu Hitam,1974,N.03 Tunjang
Kedah,N.05 Bukit Kayu Hitam,1959,N.01 Jitra
Kedah,N.06 Jitra,2003,N.06 Jitra
Kedah,N.06 Jitra,1994,N.06 Jitra
Kedah,N.06 Jitra,1984,N.04 Jitra
Kedah,N.06 Jitra,1974,N.04 Jitra
Kedah,N.06 Jitra,1959,N.01 Jitra
Kedah,N.07 Kuala Nerang,2003,N.07 Kuala Nerang
Kedah,N.07 Kuala Nerang,1994,N.07 Kuala Nerang
Kedah,N.07 Kuala Nerang,1984,N.05 Kuala Nerang
Kedah,N.07 Kuala Nerang,1974,N.05 Kuala Nerang
Kedah,N.07 Kuala Nerang,1959,N.02 Padang Terap
Kedah,N.08 Pedu,2003,N.08 Pedu
Kedah,N.08 Pedu,1994,N.08 Pedu
Kedah,N.08 Pedu,1984,N.05 Kuala Nerang
Kedah,N.08 Pedu,1974,N.05 Kuala Nerang
Kedah,N.08 Pedu,1959,N.02 Padang Terap
Kedah,N.09 Bukit Lada,2003,N.09 Bukit Lada
Kedah,N.09 Bukit Lada,1994,N.09 Bukit Lada
Kedah,N.09 Bukit Lada,1984,N.06 Pokok Sena
Kedah,N.09 Bukit Lada,1974,N.06 Pokok Sena
Kedah,N.09 Bukit Lada,1959,N.06 Pokok Sena
Kedah,N.10 Bukit Pinang,2003,N.10 Bukit Pinang
Kedah,N.10 Bukit Pinang,1994,N.10 Langgar
Kedah,N.10 Bukit Pinang,1984,N.07 Langgar
Kedah,N.10 Bukit Pinang,1974,N.11 Langgar-Limbong
Kedah,N.10 Bukit Pinang,1959,N.05 Langgar-Limbong
Kedah,N.11 Derga,2003,N.11 Derga
Kedah,N.11 Derga,1994,N.11 Tanjong Seri
Kedah,N.11 Derga,1984,N.07 Langgar
Kedah,N.11 Derga,1974,N.11 Langgar-Limbong
Kedah,N.11 Derga,1959,N.05 Langgar-Limbong
Kedah,N.12 Suka Menanti,2003,N.12 Bakar Bata
Kedah,N.12 Suka Menanti,1994,N.14 Alor Merah
Kedah,N.12 Suka Menanti,1984,N.09 Alor Merah
Kedah,N.12 Suka Menanti,1974,N.09 Alor Merah
Kedah,N.12 Suka Menanti,1959,N.08 Alor Star Luar
Kedah,N.13 Kota Darul Aman,2003,N.13 Kota Darul Aman
Kedah,N.13 Kota Darul Aman,1994,N.13 Kota Darul Aman
Kedah,N.13 Kota Darul Aman,1984,N.10 Kota Darulaman
Kedah,N.13 Kota Darul Aman,1974,N.10 Bandar Alor Setar
Kedah,N.13 Kota Darul Aman,1959,N.07 Alor Star Pekan
Kedah,N.14 Alor Mengkudu,2003,N.14 Alor Mengkudu
Kedah,N.14 Alor Mengkudu,1994,N.11 Tanjong Seri
Kedah,N.14 Alor Mengkudu,1984,N.07 Langgar
Kedah,N.14 Alor Mengkudu,1974,N.11 Langgar-Limbong
Kedah,N.14 Alor Mengkudu,1959,N.05 Langgar-Limbong
Kedah,N.15 Anak Bukit,2003,N.15 Anak Bukit
Kedah,N.15 Anak Bukit,1994,N.15 Anak Bukit
Kedah,N.15 Anak Bukit,1984,N.11 Alor Janggus
Kedah,N.15 Anak Bukit,1974,N.07 Anak Bukit
Kedah,N.15 Anak Bukit,1959,N.10 Kota Star Barat
Kedah,N.16 Kubang Rotan,2003,N.16 Kubang Rotan
Kedah,N.16 Kubang Rotan,1994,N.16 Kubang Rotan
Kedah,N.16 Kubang Rotan,1984,N.11 Alor Janggus
Kedah,N.16 Kubang Rotan,1974,N.07 Anak Bukit
Kedah,N.16 Kubang Rotan,1959,N.10 Kota Star Barat
Kedah,N.17 Pengkalan Kundor,2003,N.17 Pengkalan Kundor
Kedah,N.17 Pengkalan Kundor,1994,N.17 Pengkalan Kundor
Kedah,N.17 Pengkalan Kundor,1984,N.12 Pengkalan Kundor
Kedah,N.17 Pengkalan Kundor,1974,N.08 Pengkalan Kundor
Kedah,N.17 Pengkalan Kundor,1959,N.10 Kota Star Barat
Kedah,N.18 Tokai,2003,N.18 Tokai
Kedah,N.18 Tokai,1994,N.18 Bukit Raya
Kedah,N.18 Tokai,1984,N.13 Bukit Raya
Kedah,N.18 Tokai,1974,N.12 Bukit Raya
Kedah,N.18 Tokai,1959,N.11 Kangkong-Bukit Raya
Kedah,N.19 Sungai Tiang,2003,N.19 Sungai Tiang
Kedah,N.19 Sungai Tiang,1994,N.19 Sungai Tiang
Kedah,N.19 Sungai Tiang,1984,N.14 Ayer Puteh
Kedah,N.19 Sungai Tiang,1974,N.14 Pendang
Kedah,N.19 Sungai Tiang,1959,N.12 Padang
Kedah,N.20 Sungai Limau,2003,N.20 Sungai Limau
Kedah,N.20 Sungai Limau,1994,N.20 Sala
Kedah,N.20 Sungai Limau,1984,N.15 Sala
Kedah,N.20 Sungai Limau,1974,N.17 Sala
Kedah,N.20 Sungai Limau,1959,N.15 Sala
Kedah,N.21 Guar Chempedak,2003,N.21 Guar Chempedak
Kedah,N.21 Guar Chempedak,1994,N.21 Guar Chempedak
Kedah,N.21 Guar Chempedak,1984,N.16 Yan
Kedah,N.21 Guar Chempedak,1974,N.18 Yan
Kedah,N.21 Guar Chempedak,1959,N.16 Yan-Merbok
Kedah,N.22 Gurun,2003,N.22 Gurun
Kedah,N.22 Gurun,1994,N.25 Gurun
Kedah,N.22 Gurun,1984,N.17 Gurun
Kedah,N.22 Gurun,1974,N.20 Merbok
Kedah,N.22 Gurun,1959,N.14 Kota
Kedah,N.23 Belantek,2003,N.23 Belantek
Kedah,N.23 Belantek,1994,N.22 Belantek
Kedah,N.23 Belantek,1984,N.19 Jeneri
Kedah,N.23 Belantek,1974,N.13 Sik
Kedah,N.23 Belantek,1959,N.13 Sik-Gurun
Kedah,N.24 Jeneri,2003,N.24 Jeneri
Kedah,N.24 Jeneri,1994,N.23 Jeneri
Kedah,N.24 Jeneri,1984,N.19 Jeneri
Kedah,N.24 Jeneri,1974,N.13 Sik
Kedah,N.24 Jeneri,1959,N.13 Sik-Gurun
Kedah,N.25 Bukit Selambau,2003,N.25 Bukit Selambau
Kedah,N.25 Bukit Selambau,1994,N.24 Bukit Selambau
Kedah,N.25 Bukit Selambau,1984,N.20 Bukit Selambau
Kedah,N.25 Bukit Selambau,1974,N.19 Jeniang
Kedah,N.25 Bukit Selambau,1959,N.13 Sik-Gurun
Kedah,N.26 Tanjong Dawai,2003,N.26 Tanjong Dawai
Kedah,N.26 Tanjong Dawai,1994,N.26 Tanjong Dawai
Kedah,N.26 Tanjong Dawai,1984,N.17 Gurun
Kedah,N.26 Tanjong Dawai,1974,N.20 Merbok
Kedah,N.26 Tanjong Dawai,1959,N.14 Kota
Kedah,N.27 Pantai Merdeka,2003,N.27 Pantai Merdeka
Kedah,N.27 Pantai Merdeka,1994,N.27 Pantai Merdeka
Kedah,N.27 Pantai Merdeka,1984,N.23 Pantai Merdeka
Kedah,N.27 Pantai Merdeka,1974,N.21 Tikam Batu
Kedah,N.27 Pantai Merdeka,1959,N.20 Sungei Patani Luar
Kedah,N.28 Bakar Arang,2003,N.28 Bakar Arang
Kedah,N.28 Bakar Arang,1994,N.28 Bakar Arang
Kedah,N.28 Bakar Arang,1984,N.23 Pantai Merdeka
Kedah,N.28 Bakar Arang,1974,N.21 Tikam Batu
Kedah,N.28 Bakar Arang,1959,N.20 Sungei Patani Luar
Kedah,N.29 Sidam,2003,N.29 Sidam
Kedah,N.29 Sidam,1994,N.29 Sidam
Kedah,N.29 Sidam,1984,N.24 Tikam Batu
Kedah,N.29 Sidam,1974,N.22 Kuala Ketil
Kedah,N.29 Sidam,1959,N.21 Sidam
Kedah,N.30 Bayu,2003,N.30 Bayu
Kedah,N.30 Bayu,1994,N.30 Bayu
Kedah,N.30 Bayu,1984,N.21 Bayu
Kedah,N.30 Bayu,1974,N.15 Bayu
Kedah,N.30 Bayu,1959,N.17 Baling Timor
Kedah,N.31 Kupang,2003,N.31 Kupang
Kedah,N.31 Kupang,1994,N.32 Kuala Ketil
Kedah,N.31 Kupang,1984,N.26 Merbau Pulas
Kedah,N.31 Kupang,1974,N.24 Merbau Pulas
Kedah,N.31 Kupang,1959,N.22 Lunas
Kedah,N.32 Kuala Ketil,2003,N.32 Kuala Ketil
Kedah,N.32 Kuala Ketil,1994,N.32 Kuala Ketil
Kedah,N.32 Kuala Ketil,1984,N.26 Merbau Pulas
Kedah,N.32 Kuala Ketil,1974,N.24 Merbau Pulas
Kedah,N.32 Kuala Ketil,1959,N.22 Lunas
Kedah,N.33 Merbau Pulas,2003,N.33 Merbau Pulas
Kedah,N.33 Merbau Pulas,1994,N.33 Merbau Pulas
Kedah,N.33 Merbau Pulas,1984,N.25 Lunas
Kedah,N.33 Merbau Pulas,1974,N.23 Lunas
Kedah,N.33 Merbau Pulas,1959,N.22 Lunas
Kedah,N.34 Lunas,2003,N.34 Lunas
Kedah,N.34 Lunas,1994,N.34 Lunas
Kedah,N.34 Lunas,1984,N.25 Lunas
Kedah,N.34 Lunas,1974,N.23 Lunas
Kedah,N.34 Lunas,1959,N.22 Lunas
Kedah,N.35 Kulim,2003,N.35 Kulim
Kedah,N.35 Kulim,1994,N.35 Kulim
Kedah,N.35 Kulim,1984,N.27 Kulim
Kedah,N.35 Kulim,1974,N.25 Kulim
Kedah,N.35 Kulim,1959,N.23 Kulim
Kedah,N.36 Bandar Baharu,2003,N.36 Bandar Baharu
Kedah,N.36 Bandar Baharu,1994,N.36 Bandar Baharu
Kedah,N.36 Bandar Baharu,1984,N.28 Bandar Baharu
Kedah,N.36 Bandar Baharu,1974,N.26 Serdang
Kedah,N.36 Bandar Baharu,1959,N.24 Bandar Bahru
Kelantan,N.01 Pengkalan Kubor,2003,N.01 Pengkalan Kubor
Kelantan,N.01 Pengkalan Kubor,1994,N.01 Pengkalan Kubor
Kelantan,N.01 Pengkalan Kubor,1984,N.01 Geting
Kelantan,N.01 Pengkalan Kubor,1974,N.01 Simpangan
Kelantan,N.01 Pengkalan Kubor,1959,N.01 Tumpat Barat
Kelantan,N.02 Kelaboran,2003,N.02 Kelaboran
Kelantan,N.02 Kelaboran,1994,N.02 Kelaboran
Kelantan,N.02 Kelaboran,1984,N.01 Geting
Kelantan,N.02 Kelaboran,1974,N.01 Simpangan
Kelantan,N.02 Kelaboran,1959,N.01 Tumpat Barat
Kelantan,N.03 Pasir Pekan,2003,N.03 Pasir Pekan
Kelantan,N.03 Pasir Pekan,1994,N.03 Pasir Pekan
Kelantan,N.03 Pasir Pekan,1984,N.02 Sungai Pinang
Kelantan,N.03 Pasir Pekan,1974,N.02 Sungei Pinang
Kelantan,N.03 Pasir Pekan,1959,N.04 Kuala Kelantan
