state,parlimen,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Perlis,P.001 Kangar,45082,32590,0,730
Perlis,P.002 Arau,40312,30077,0,830
Kedah,P.003 Jerlun-Langkawi,42597,32021,0,698
Kedah,P.004 Kubang Pasu,49059,36409,0,803
Kedah,P.005 Padang Terap,40884,32188,0,683
Kedah,P.006 Kota Setar,39775,28726,0,644
Kedah,P.007 Alor Setar,54803,35843,0,710
Kedah,P.008 Kuala Kedah,42665,30775,0,748
Kedah,P.009 Pendang,42930,33452,0,580
Kedah,P.010 Jerai,34741,24907,0,535
Kedah,P.011 Merbok,40636,28495,0,816
Kedah,P.012 Sik,40806,30874,0,823
Kedah,P.013 Baling,40008,30455,0,754
Kedah,P.014 Sungai Petani,48478,34875,0,840
Kedah,P.015 Padang Serai,39128,28581,0,1015
Kedah,P.016 Kulim-Bandar Baharu,42084,29359,0,887
Kelantan,P.017 Tumpat,44661,32711,0,901
Kelantan,P.018 Pengkalan Chepa,42785,31514,0,687
Kelantan,P.019 Kota Baharu,52613,36282,0,695
Kelantan,P.020 Pasir Mas,38423,28375,0,761
Kelantan,P.021 Rantau Panjang,34604,25603,0,623
Kelantan,P.022 Nilam Puri,33990,25999,0,729
Kelantan,P.023 Bachok,41992,33627,0,663
Kelantan,P.024 Pasir Puteh,32842,25348,0,669
Kelantan,P.025 Kok Lanas,32990,25546,0,472
Kelantan,P.026 Tanah Merah,33837,26990,0,599
Kelantan,P.027 Machang,27430,21306,0,483
Kelantan,P.028 Kuala Kerai,29684,23127,0,557
Kelantan,P.029 Gua Musang,23977,18250,0,493
Terengganu,P.030 Besut,32749,26074,0,547
Terengganu,P.031 Setiu,29793,24162,0,606
Terengganu,P.032 Kuala Nerus,31682,25076,0,726
Terengganu,P.033 Kuala Terengganu,48621,35932,0,978
Terengganu,P.034 Marang,33206,27433,0,764
Terengganu,P.035 Hulu Terengganu,28941,24330,0,784
Terengganu,P.036 Dungun,35422,27391,0,771
Terengganu,P.037 Kemaman,32931,24623,0,691
Pulau Pinang,P.038 Kepala Batas,30209,22900,0,596
Pulau Pinang,P.039 Tasek Gelugor,31021,23269,0,562
Pulau Pinang,P.040 Bagan,55105,39844,0,927
Pulau Pinang,P.041 Permatang Pauh,34879,26098,0,619
Pulau Pinang,P.042 Bukit Mertajam,51437,39091,0,1100
Pulau Pinang,P.043 Nibong Tebal,40216,29913,0,806
Pulau Pinang,P.044 Bukit Bendera,54711,39343,0,859
Pulau Pinang,P.045 Tanjong,60640,44463,0,931
Pulau Pinang,P.046 Jelutong,59890,42723,0,958
Pulau Pinang,P.047 Bayan Baru,58545,41117,0,1084
Pulau Pinang,P.048 Balik Pulau,45541,32355,0,1061
