state,parlimen,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Perlis,P.001 Kangar,29256,23290,0,895
Perlis,P.002 Arau,29465,22465,0,1512
Kedah,P.003 Jerlun-Langkawi,30952,0,0,0
Kedah,P.004 Kubang Pasu,33806,0,0,0
Kedah,P.005 Padang Terap,29047,0,0,0
Kedah,P.006 Kuala Kedah,35288,23797,0,1070
Kedah,P.007 Alor Setar,37178,23939,0,1069
Kedah,P.008 Kota Setar,28285,20035,0,959
Kedah,P.009 Ulu Muda,25254,0,0,0
Kedah,P.010 Baling,33331,0,0,0
Kedah,P.011 Jerai,29265,0,0,0
Kedah,P.012 Kuala Muda,28719,0,0,0
Kedah,P.013 Sungai Petani,37126,27771,0,1489
Kedah,P.014 Padang Serai,24236,0,0,0
Kedah,P.015 Kulim-Bandar Bahru,27798,20063,0,975
Kelantan,P.016 Tumpat,33719,24450,0,1036
Kelantan,P.017 Pengkalan Chepa,27239,19278,0,1353
Kelantan,P.018 Pasir Mas,29627,20721,0,1047
Kelantan,P.019 Kota Bharu,35954,0,0,0
Kelantan,P.020 Bachok,28221,0,0,0
Kelantan,P.021 Rantau Panjang,22014,15888,0,721
Kelantan,P.022 Nilam Puri,28525,21261,0,1116
Kelantan,P.023 Tanah Merah,20002,0,0,0
Kelantan,P.024 Machang,26413,19156,0,796
Kelantan,P.025 Pasir Puteh,28084,21189,0,688
Kelantan,P.026 Kuala Kerai,17332,13689,0,807
Kelantan,P.027 Ulu Kelantan,17478,0,0,0
Terengganu,P.028 Besut,27944,0,0,0
Terengganu,P.029 Ulu Nerus,23891,18051,0,996
Terengganu,P.030 Ulu Trengganu,22429,18144,0,940
Terengganu,P.031 Kuala Nerus,25535,19424,0,1027
Terengganu,P.032 Kuala Trengganu,32391,22446,0,1585
Terengganu,P.033 Dungun,25202,17475,0,1346
Terengganu,P.034 Kemaman,26212,18775,0,1168
Pulau Pinang,P.035 Kepala Batas,22918,0,0,0
Pulau Pinang,P.036 Mata Kuching,31988,26354,0,869
Pulau Pinang,P.037 Permatang Pauh,22663,18096,0,659
Pulau Pinang,P.038 Bukit Mertajam,30021,24159,0,1027
Pulau Pinang,P.039 Nibong Tebal,25332,22181,0,2623
Pulau Pinang,P.040 Balik Pulau,31110,25052,0,1069
Pulau Pinang,P.041 Bukit Bendera,40895,32652,0,785
Pulau Pinang,P.042 Tanjong,41409,34312,0,804
Pulau Pinang,P.043 Jelutong,42804,35560,0,874
Perak,P.044 Gerik,17280,0,0,0
Perak,P.045 Larut,21014,15739,0,767
Perak,P.046 Parit Buntar,32776,23972,0,1413
Perak,P.047 Bagan Serai,31117,0,0,0
Perak,P.048 Sungai Siput,24336,18924,0,498
Perak,P.049 Taiping,36319,27516,0,725
Perak,P.050 Matang,26893,19230,0,784
Perak,P.051 Padang Rengas,22695,0,0,0
Perak,P.052 Kuala Kangsar,21456,14938,0,532
Perak,P.053 Kinta,46663,35797,0,1156
Perak,P.054 Ipoh,48062,38247,0,1125
Perak,P.055 Menglembu,49038,36997,0,1004
Perak,P.056 Beruas,23050,16192,0,918
Perak,P.057 Parit,29520,22728,0,720
Perak,P.058 Batu Gajah,36441,28806,0,850
Perak,P.059 Batang Padang,22501,17557,0,1125
Perak,P.060 Lumut,28129,21189,0,908
Perak,P.061 Hilir Perak,27173,19319,0,1317
Perak,P.062 Telok Anson,27165,19618,0,596
Perak,P.063 Tanjong Malim,26671,20099,0,788
Perak,P.064 Bagan Datok,28271,19697,0,1708
Pahang,P.065 Lipis,25957,0,0,0
Pahang,P.066 Jerantut,24840,0,0,0
Pahang,P.067 Kuantan,27800,20685,0,998
Pahang,P.068 Raub,22638,17803,0,771
Pahang,P.069 Maran,22569,16668,0,732
Pahang,P.070 Bentong,26220,20437,0,1108
Pahang,P.071 Pekan,21970,0,0,0
Pahang,P.072 Temerloh,27484,20300,0,1440
Selangor,P.073 Sabak Bernam,23343,15888,0,1145
Selangor,P.074 Tanjong Karang,24657,0,0,0
Selangor,P.075 Ulu Selangor,26882,21680,0,1287
Selangor,P.076 Kuala Selangor,27297,20474,0,1615
Selangor,P.077 Selayang,40863,29596,0,1095
Selangor,P.078 Ulu Langat,27927,21872,0,985
Selangor,P.079 Pelabohan Kelang,33459,25467,0,1261
Selangor,P.080 Shah Alam,41231,30480,0,1508
Selangor,P.081 Petaling,47929,35830,0,925
Selangor,P.082 Kuala Langat,22432,0,0,0
Selangor,P.083 Sepang,22393,18126,0,1151
W.P. Kuala Lumpur,P.084 Kepong,33282,24379,0,442
W.P. Kuala Lumpur,P.085 Setapak,34792,21077,0,177
W.P. Kuala Lumpur,P.086 Damansara,33062,19571,0,511
W.P. Kuala Lumpur,P.087 Kuala Lumpur Bandar,32321,23443,0,301
W.P. Kuala Lumpur,P.088 Sungai Besi,40489,27299,0,488
Negeri Sembilan,P.089 Jelebu,25512,20924,0,1596
Negeri Sembilan,P.090 Mantin,27870,20044,0,1052
Negeri Sembilan,P.091 Seremban,40731,30972,0,1751
Negeri Sembilan,P.092 Kuala Pilah,26019,0,0,0
Negeri Sembilan,P.093 Telok Kemang,26984,20939,0,689
Negeri Sembilan,P.094 Tampin,31601,0,0,0
Melaka,P.095 Alor Gajah,35688,27750,0,1269
Melaka,P.096 Jasin,33727,26266,0,1124
Melaka,P.097 Batu Berendam,37914,29637,0,1434
Melaka,P.098 Kota Melaka,44370,34738,0,723
Johor,P.099 Labis,25469,0,0,0
Johor,P.100 Segamat,30152,24298,0,958
Johor,P.101 Kluang,34765,25275,0,805
Johor,P.102 Tenggaroh,17379,0,0,0
Johor,P.103 Ledang,25850,0,0,0
Johor,P.104 Pagoh,24280,0,0,0
Johor,P.105 Ayer Hitam,26040,0,0,0
Johor,P.106 Muar,41522,29841,0,1229
Johor,P.107 Rengam,35599,28042,0,1535
Johor,P.108 Panti,23561,0,0,0
Johor,P.109 Sri Gading,26645,0,0,0
Johor,P.110 Semerah,28871,21404,0,1000
Johor,P.111 Batu Pahat,33715,25521,0,1003
Johor,P.112 Pontian,35665,0,0,0
Johor,P.113 Pulai,34345,26346,0,1496
Johor,P.114 Johor Bahru,51534,37352,0,1328
Sabah,P.115 Marudu,14273,0,0,0
Sabah,P.116 Bandau,12127,0,0,0
Sabah,P.117 Kota Belud,15025,0,0,0
Sabah,P.118 Labuk Sugut,10144,0,0,0
Sabah,P.119 Tuaran,14419,11069,0,439
Sabah,P.120 Kinabalu,13141,0,0,0
Sabah,P.121 Gaya,22144,0,0,0
Sabah,P.122 Penampang,16425,0,0,0
Sabah,P.123 Sandakan,19750,0,0,0
Sabah,P.124 Kinabatangan,10201,0,0,0
Sabah,P.125 Kimanis,13976,0,0,0
Sabah,P.126 Hilir Padas,15620,0,0,0
Sabah,P.127 Keningau,13289,0,0,0
Sabah,P.128 Silam,14533,0,0,0
Sabah,P.129 Ulu Padas,11203,0,0,0
Sabah,P.130 Tawau,14199,0,0,0
Sarawak,P.131 Bau-Lundu,17500,14339,0,624
Sarawak,P.132 Bandar Kuching,28175,21480,0,638
Sarawak,P.133 Santubong,20149,15494,0,605
Sarawak,P.134 Samarahan,13588,10715,0,349
Sarawak,P.135 Padawan,15318,12715,0,611
Sarawak,P.136 Serian,18905,15346,0,1235
Sarawak,P.137 Simunjan,13126,10768,0,587
Sarawak,P.138 Batang Lupar,18518,13925,0,658
Sarawak,P.139 Lubok Antu,9703,6737,0,594
Sarawak,P.140 Betong,14348,11475,0,666
Sarawak,P.141 Saratok,13163,10669,0,526
Sarawak,P.142 Sarikei,12496,9834,0,440
Sarawak,P.143 Payang,16837,12901,0,480
Sarawak,P.144 Bandar Sibu,19601,13155,0,564
Sarawak,P.145 Rajang,14667,10468,0,494
Sarawak,P.146 Mukah,18148,11864,0,553
Sarawak,P.147 Julau,9190,6475,0,378
Sarawak,P.148 Kanowit,10825,7557,0,440
Sarawak,P.149 Kapit,12262,8199,0,690
Sarawak,P.150 Ulu Rajang,10903,7739,0,962
Sarawak,P.151 Bintulu,15636,11442,0,689
Sarawak,P.152 Miri-Subis,24058,17105,0,822
Sarawak,P.153 Baram,15218,10867,0,590
Sarawak,P.154 Limbang-Lawas,13548,11170,0,462
