state,parlimen,ballot_order,name,candidate_uid,party,party_uid,votes
Perlis,P.001 Kangar,1,Mohd. Radzi Bin Tan Sri Sheikh Ahmad,1368,BN,25,22251
Perlis,P.001 Kangar,2,Musa Bin Haji Mohd. Yatim,620,PAS,3,8866
Perlis,P.002 Arau,1,Hj. Mahamood Bin Haji Mohamad Noor,1369,PAS,3,9994
Perlis,P.002 Arau,2,Dr Abdul Hamid Bin Pawan Teh,1370,BN,25,17464
Kedah,P.003 Jerlun-Langkawi,1,Halim Bin Arshat,1098,PAS,3,11097
Kedah,P.003 Jerlun-Langkawi,2,Dato' Sanusi Bin Junid,1371,BN,25,18593
Kedah,P.004 Kubang Pasu,1,Doktor Mahatir Bin Mohamad,375,BN,25,24524
Kedah,P.004 Kubang Pasu,2,Haji Yusof Rawa Bin Haji Abdullah,1372,PAS,3,8763
Kedah,P.005 Padang Terap,1,Tan Sri Syed Ahmad Bin Syed Mahmud Shahabudin,98,BN,25,18637
Kedah,P.005 Padang Terap,2,Dato' Sudin Bin Wahab,1373,PAS,3,12329
Kedah,P.006 Kuala Kedah,1,Wong Kok Wah,1374,DAP,18,1905
Kedah,P.006 Kuala Kedah,2,Dato' Haji Mohammad Abu Bakar Bin Rautin Ibrahim,1375,BN,25,18624
Kedah,P.006 Kuala Kedah,3,Ahmad Bin Din,1376,PAS,3,13160
Kedah,P.007 Alor Setar,1,Oo Gin Sun,847,BN,25,21908
Kedah,P.007 Alor Setar,2,George John A/L K. M. George,1377,DAP,18,9376
Kedah,P.007 Alor Setar,3,Haji Ahmad Bin Awang,1378,PAS,3,9647
Kedah,P.008 Kota Setar,1,Dato' Haji Abu Bakar Bin Omar,1379,PAS,3,15442
Kedah,P.008 Kota Setar,2,Haji Mustapha Ahmad,1380,BN,25,14039
Kedah,P.009 Ulu Muda,1,Ali Alias Fadzil Bin Md. Noor,1381,PAS,3,11711
Kedah,P.009 Ulu Muda,2,Haji Hashim Bin Endut,1382,BN,25,15271
Kedah,P.010 Baling,1,Haji Seroji Bin Haji Neron,1383,BN,25,18743
Kedah,P.010 Baling,2,Mohd. Napi @ Nakhaie Haji Ahmad,1109,PAS,3,12394
Kedah,P.011 Jerai,1,Ismail Bin Arshad,1112,BN,25,17001
Kedah,P.011 Jerai,2,Ustaz Ahmad Yusof,1384,PAS,3,10715
Kedah,P.012 Kuala Muda,1,Ghazali Bin Hj. Din,1114,PAS,3,7724
Kedah,P.012 Kuala Muda,2,Che' Abdul Daim Bin Haji Zainuddin,1385,BN,25,21782
Kedah,P.013 Sungai Petani,1,Wan Zainab Bt. M. A. Bakar,853,BN,25,24554
Kedah,P.013 Sungai Petani,2,Chong Ah Lek,1386,DAP,18,8497
Kedah,P.013 Sungai Petani,3,Osman Bin Darus,1387,PAS,3,7864
Kedah,P.013 Sungai Petani,4,Ismail Bin Man,1388,BEBAS,1,365
Kedah,P.014 Padang Serai,1,Ramley Bin Ismail,1389,BEBAS,1,906
Kedah,P.014 Padang Serai,2,Khatib Shorbaini Bin Hj. Hassan,588,PAS,3,6183
Kedah,P.014 Padang Serai,3,Tan Kok Hooi,1390,BN,25,18043
Kedah,P.015 Kulim-Bandar Bahru,1,Mohd. Salleh Bin Haji Mohamad,1391,PAS,3,4843
Kedah,P.015 Kulim-Bandar Bahru,2,Lee Chuan Sam,1392,DAP,18,4576
Kedah,P.015 Kulim-Bandar Bahru,3,Abdul Kadir Bin Haji Sheikh Fadzil,1117,BN,25,17097
Kelantan,P.016 Tumpat,1,Ismail Awang,1393,PAS,3,13962
Kelantan,P.016 Tumpat,2,Dusuki Bin Haji Ahmad,598,BN,25,16087
Kelantan,P.017 Pengkalan Chepa,1,Nik Abdul Aziz Bin Nik Mat,859,PAS,3,16759
Kelantan,P.017 Pengkalan Chepa,2,Hassan Harun,1124,BN,25,11417
Kelantan,P.018 Pasir Mas,1,Abdul Rahman Bin Daud,1394,BN,25,13610
Kelantan,P.018 Pasir Mas,2,Wan Ibrahim Bin Wan Abdullah,1395,PAS,3,14574
Kelantan,P.019 Kota Bharu,1,Kang Sam Chuan,1396,DAP,18,1896
Kelantan,P.019 Kota Bharu,2,Tengku Ahmad Ritahudeen Bin Tengku Ismail,592,BN,25,21424
Kelantan,P.019 Kota Bharu,3,Salahuddin Bin Abdullah,412,PAS,3,13454
Kelantan,P.020 Bachok,1,Ustaz Ghazali Bin Awang Ibrahim,1397,BN,25,14651
Kelantan,P.020 Bachok,2,Mohd. Zain Abdullah,594,PAS,3,15925
Kelantan,P.021 Rantau Panjang,1,Hussein Ahmad,1398,BN,25,10728
Kelantan,P.021 Rantau Panjang,2,Hassan Bin Haji Mohamed,398,PAS,3,11145
Kelantan,P.022 Nilam Puri,1,Datuk Hj. Mohd. Asri Bin Hj. Muda,1399,PAS,3,13890
Kelantan,P.022 Nilam Puri,2,Mohamed Haji Ali,1400,BN,25,15029
