state,parlimen,area_name,ballot_order,name,candidate_uid,party,party_uid,votes
Perlis,P.001 Perlis Utara,Perlis Utara,1,Ismail Bin Mohamad,365,PAS,3,6119
Perlis,P.001 Perlis Utara,Perlis Utara,2,Othman Bin Abdullah,55,PERIKATAN,2,12521
Perlis,P.002 Perlis Selatan,Perlis Selatan,1,Haji Mohktar Bin Haji Ismail,318,PERIKATAN,2,10486
Perlis,P.002 Perlis Selatan,Perlis Selatan,2,Haji Yusof Bin Hj. Abdullah,247,PAS,3,7250
Kedah,P.003 Jitra-Padang Terap,Jitra-Padang Terap,1,L. Isa Bin Hj Mahamad,366,PAS,3,6105
Kedah,P.003 Jitra-Padang Terap,Jitra-Padang Terap,2,Datin Fatimah Binti Haji Hashim,367,PERIKATAN,2,15835
Kedah,P.004 Kubang Pasu Barat,Kubang Pasu Barat,1,Haji Bakar Bin H. Hanafiah,368,PAS,3,6566
Kedah,P.004 Kubang Pasu Barat,Kubang Pasu Barat,2,Senu Bin Abdul Rahman,369,PERIKATAN,2,9942
Kedah,P.005 Kota Star Utara,Kota Star Utara,1,Abu Bakar Bin Umar,370,PAS,3,6922
Kedah,P.005 Kota Star Utara,Kota Star Utara,2,Haji Abdul Khalid,168,PERIKATAN,2,11847
Kedah,P.006 Alor Star,Alor Star,1,Teoh Ah Thow,165,BEBAS,1,1747
Kedah,P.006 Alor Star,Alor Star,2,Lim Pee Hung,371,PERIKATAN,2,14749
Kedah,P.006 Alor Star,Alor Star,3,Syed Salim Bin Syed Hamid Al-Idrus,372,PAS,3,3608
Kedah,P.006 Alor Star,Alor Star,4,Geh Teng Kheng,373,PDB,13,2695
Kedah,P.007 Kuala Kedah,Kuala Kedah,1,Mustaffa Bin Mohd. Said,374,PAS,3,5462
Kedah,P.007 Kuala Kedah,Kuala Kedah,2,Tunku Abdul Rahman Putra Al-Haj,103,PERIKATAN,2,17109
Kedah,P.008 Kota Star Selatan,Kota Star Selatan,1,Dr Mahathir Bin Mohamad,375,PERIKATAN,2,12406
Kedah,P.008 Kota Star Selatan,Kota Star Selatan,2,Mohd Shaari Bin Haji Abd Shukor,376,PAS,3,8196
Kedah,P.009 Kedah Tengah,Kedah Tengah,1,Khir Johari,377,PERIKATAN,2,16042
Kedah,P.009 Kedah Tengah,Kedah Tengah,2,Haji Hussin Che' Dol,378,PAS,3,5362
Kedah,P.010 Perai,Perai,1,Hanafiah Hussain,379,PERIKATAN,2,14002
Kedah,P.010 Perai,Perai,2,Haji Othman Bin Hj. Yunus,380,PAS,3,7085
Kedah,P.011 Baling,Baling,1,Yaacob Bin Hj. Shafie,381,PAS,3,5208
Kedah,P.011 Baling,Baling,2,Abdullah Bin Mohamed Hashim,382,BEBAS,1,1782
Kedah,P.011 Baling,Baling,3,Harun Bin Abdullah,183,PERIKATAN,2,14970
Kedah,P.012 Sungei Patani,Sungei Patani,1,Mohamed Zahir Bin Haji Ismail,383,PERIKATAN,2,14177
Kedah,P.012 Sungei Patani,Sungei Patani,2,Said Jan Aljeffri,384,PAS,3,1176
Kedah,P.012 Sungei Patani,Sungei Patani,3,Teh Pek Choon,385,BEBAS,1,3680
Kedah,P.012 Sungei Patani,Sungei Patani,4,Ong Boon Seong,386,PDB,13,1154
Kedah,P.013 Kulim Utara,Kulim Utara,1,Khatib Shorbaini,387,PAS,3,3910
Kedah,P.013 Kulim Utara,Kulim Utara,2,Hanafi Bin Mohd. Yunus,185,PERIKATAN,2,12839
Kedah,P.014 Kulim-Bandar Baharu,Kulim-Bandar Baharu,1,Tai Kuan Yang,388,PERIKATAN,2,15077
Kedah,P.014 Kulim-Bandar Baharu,Kulim-Bandar Baharu,2,Mohamad Amin Bin Che' Mat,389,PAS,3,2261
Kedah,P.014 Kulim-Bandar Baharu,Kulim-Bandar Baharu,3,A. K. Veeman S/O Kanusamy,390,BEBAS,1,4584
Kelantan,P.015 Tumpat,Tumpat,1,Wan Hassan Bin Wan Daud,391,PAS,3,10248
Kelantan,P.015 Tumpat,Tumpat,2,Che' Lat Bin Kassim,392,PERIKATAN,2,10056
Kelantan,P.016 Kelantan Hilir,Kelantan Hilir,1,Haji Ahmad Bin Abdullah,393,PAS,3,12721
Kelantan,P.016 Kelantan Hilir,Kelantan Hilir,2,Tengku Abdullah Bin Tengku Ahmad,394,PERIKATAN,2,6496
Kelantan,P.017 Pasir Mas Hilir,Pasir Mas Hilir,1,Muhammad Fakhruddin Bin Haji Abdullah,395,PAS,3,13476
Kelantan,P.017 Pasir Mas Hilir,Pasir Mas Hilir,2,Haji Mokhtar Bin Haji Ahmed,115,PERIKATAN,2,5261
Kelantan,P.018 Kota Bharu Hilir,Kota Bharu Hilir,1,Wan Mustapha Bin Haji Ali,396,PAS,3,10929
Kelantan,P.018 Kota Bharu Hilir,Kota Bharu Hilir,2,Dato' Nik Ahmed Kamil,397,PERIKATAN,2,11585
Kelantan,P.019 Bachok,Bachok,1,Hassan Haji Mohamed,398,PERIKATAN,2,8278
Kelantan,P.019 Bachok,Bachok,2,Zulkiflee Bin Muhammad,196,PAS,3,12659
Kelantan,P.020 Kota Bharu Hulu,Kota Bharu Hulu,1,Haji Husain Rahimi Bin Haji Saman,399,PAS,3,15656
Kelantan,P.020 Kota Bharu Hulu,Kota Bharu Hulu,2,Hj. Ibrahim Bin Hj. Mat,400,PERIKATAN,2,7915
Kelantan,P.021 Pasir Mas Hulu,Pasir Mas Hulu,1,Husein Bin Ahmad,401,PERIKATAN,2,5496
Kelantan,P.021 Pasir Mas Hulu,Pasir Mas Hulu,2,Abdul Samad Bin Gul Ahmad Mianji,402,PAS,3,9857
