state,parlimen,ballot_order,name,candidate_uid,party,party_uid,votes
Perlis,P.001 Padang Besar,1,Rushdan Bin Rusmi,4409,PN,12,24267
Perlis,P.001 Padang Besar,2,Ko Chu Liang,4410,WARISAN,74,244
Perlis,P.001 Padang Besar,3,Zahidi Bin Zainul Abidin,3630,BEBAS,1,1939
Perlis,P.001 Padang Besar,4,Zahida Binti Zarik Khan,4411,BN,25,11753
Perlis,P.001 Padang Besar,5,Kapt (B) Hj Mohamad Yahaya,4412,PH,73,7085
Perlis,P.002 Kangar,1,Cikgu Zakri,4413,PN,12,24562
Perlis,P.002 Kangar,2,Dr Fathul Bari,4414,BN,25,15370
Perlis,P.002 Kangar,3,Prof. Dr. Rohimi Shapiee,4415,WARISAN,74,417
Perlis,P.002 Kangar,4,Amin Ahmad,3986,PH,73,15143
Perlis,P.002 Kangar,5,Ustaz Nur Sulaiman,4416,PEJUANG,93,708
Perlis,P.003 Arau,1,Fathin Amelina,4417,PH,73,7089
Perlis,P.003 Arau,2,Shahidan Bin Kassim,1665,PN,12,31458
Perlis,P.003 Arau,3,Rozabil @ Tok Ben,4418,BN,25,8242
Kedah,P.004 Langkawi,1,Dato Paduka Abd Kadir,4419,BEBAS,1,89
Kedah,P.004 Langkawi,2,Mohd Suhaimi Bin Abdullah,4420,PN,12,25463
Kedah,P.004 Langkawi,3,Mahathir Bin Mohamad,375,PEJUANG,93,4566
Kedah,P.004 Langkawi,4,Dato' Armishah Siraj (Das),4421,BN,25,11945
Kedah,P.004 Langkawi,5,Zabidi Yahya,4422,PH,73,5417
Kedah,P.005 Jerlun,1,Dr. Abd Ghani Ahmad,4423,PN,12,31685
Kedah,P.005 Jerlun,2,Dato' Seri Utama Mukhriz Mahathir,3288,PEJUANG,93,3144
Kedah,P.005 Jerlun,3,Dr. Mohamed Fadzil Mohd Ali,4424,PH,73,6149
Kedah,P.005 Jerlun,4,Othman Bin Aziz,3638,BN,25,11229
Kedah,P.006 Kubang Pasu,1,Dato' Wira Dr Ku Abd Rahman Bin Ku Ismail,4425,PN,12,47584
Kedah,P.006 Kubang Pasu,2,Aizuddin Ariffin,4426,PH,73,16000
Kedah,P.006 Kubang Pasu,3,Amiruddin Hamzah (Tok Met),4427,PEJUANG,93,5329
Kedah,P.006 Kubang Pasu,4,Hasmuni Bin Hassan (Tok Muni),4428,BN,25,14489
Kedah,P.007 Padang Terap,1,Razali Bin Lebai Salleh,4429,PEJUANG,93,452
Kedah,P.007 Padang Terap,2,Mahdzir Bin Khalid,3641,BN,25,17258
Kedah,P.007 Padang Terap,3,Muaz Abdullah,4431,PH,73,2702
Kedah,P.007 Padang Terap,4,Ustaz Nurul Amin,4432,PN,12,28217
Kedah,P.008 Pokok Sena,1,Noraini Binti Md Salleh,4433,WARISAN,74,622
Kedah,P.008 Pokok Sena,2,Dato' Ahmad Yahaya,4434,PN,12,52275
Kedah,P.008 Pokok Sena,3,Noran Zamini Bin Jamaluddin,4435,BN,25,14523
Kedah,P.008 Pokok Sena,4,Dato' Wira Hj Mahfuz Omar,4436,PH,73,20524
Kedah,P.009 Alor Setar,1,Nuhairi Rahmat,4437,PEJUANG,93,2383
Kedah,P.009 Alor Setar,2,Afnan Hamimi Bin Dato' Haji Taib Azamudden,4438,PN,12,37486
Kedah,P.009 Alor Setar,3,Fadzil Bin Hanafi,4439,WARISAN,74,366
Kedah,P.009 Alor Setar,4,Simon Ooi Tze Min,4440,PH,73,27555
Kedah,P.009 Alor Setar,5,Dato' Dr Nordin Yunus,4441,BEBAS,1,115
Kedah,P.009 Alor Setar,6,Sofan Feroza,4442,BEBAS,1,151
Kedah,P.009 Alor Setar,7,Tan Chee Hiong,4443,BN,25,8930
Kedah,P.010 Kuala Kedah,1,Dr Azman Ismail,4444,PH,73,28237
Kedah,P.010 Kuala Kedah,2,Pak Tuan Al Idrus,4445,WARISAN,74,256
Kedah,P.010 Kuala Kedah,3,Ulya Husamudin,4446,PEJUANG,93,1805
Kedah,P.010 Kuala Kedah,4,Dr. Ahmad Fakhruddin,4447,PN,12,56298
Kedah,P.010 Kuala Kedah,5,Dato Dr Mashitah Binti Ibrahim,4448,BN,25,13879
Kedah,P.011 Pendang,1,Datuk Haji Awang Solahudin,4449,PN,12,49008
Kedah,P.011 Pendang,2,Dato Zul,4450,PH,73,8058
Kedah,P.011 Pendang,3,Rashid Yob,4451,PEJUANG,93,809
Kedah,P.011 Pendang,4,Suraya Binti Yaacob,4452,BN,25,17719
Kedah,P.012 Jerai,1,Zulhazmi Bin Shariff,4453,PH,73,15590
Kedah,P.012 Jerai,2,Dato Seri Dr. Jamil Khir Baharom,4454,BN,25,16269
Kedah,P.012 Jerai,3,Ustaz Sabri Bin Azit,4455,PN,12,49461
Kedah,P.012 Jerai,4,Datuk Nizam Mahshar,4456,PEJUANG,93,973
Kedah,P.013 Sik,1,Maiza,4457,BN,25,12819
Kedah,P.013 Sik,2,Dato' Latifah,4458,PH,73,3736
Kedah,P.013 Sik,3,Ahmad Tarmizi Sulaiman,4459,PN,12,34606
Kedah,P.014 Merbok,1,Khairul Anuar,3412,WARISAN,74,525
Kedah,P.014 Merbok,2,Dato' Shaiful Hazizy,4460,BN,25,16691
Kedah,P.014 Merbok,3,Nurin Aina,3649,PH,73,31554
Kedah,P.014 Merbok,4,Mohd Nazri,4461,PN,12,52573
Kedah,P.014 Merbok,5,Datuk Mosin Razak,4462,PEJUANG,93,1201
Kedah,P.015 Sungai Petani,1,Dr. Taufiq Bin Dato' Johari,4463,PH,73,50580
Kedah,P.015 Sungai Petani,2,Tan Joon Long @ Tan Chow Kang,4464,PRM,57,226
Kedah,P.015 Sungai Petani,3,Hj. Marzuki Yahya,4465,PEJUANG,93,2342
Kedah,P.015 Sungai Petani,4,Dr. Robert Ling,4466,PN,12,49465
Kedah,P.015 Sungai Petani,5,Dato' Shahanim Binti Mohamad Yusoff,4012,BN,25,27391
Kedah,P.016 Baling,1,Cikgu Johari Abdullah,4467,PH,73,8636
Kedah,P.016 Baling,2,Lt Kol (B) Basir,4468,PEJUANG,93,579
Kedah,P.016 Baling,3,Datuk Azeez Rahim,4469,BN,25,35356
Kedah,P.016 Baling,4,Ustaz Hassan,4470,PN,12,64493
Kedah,P.017 Padang Serai,1,Dato' Cikgu Azman,4471,PN,12,51637
Kedah,P.017 Padang Serai,2,Dato Sivaraj Chandran,4472,BN,25,2983
Kedah,P.017 Padang Serai,3,Hamzah Abd Rahman,4473,PEJUANG,93,424
Kedah,P.017 Padang Serai,4,Dr. Sofee Razak,4474,PH,73,35377
Kedah,P.017 Padang Serai,5,Ananda Ak,4475,BEBAS,1,846
Kedah,P.017 Padang Serai,6,Mohd Bakhri Bin Haji Hashim,4476,WARISAN,74,149
Kedah,P.018 Kulim-Bandar Baharu,1,Datuk Seri Saifuddin Nasution Ismail,4477,PH,73,21408
Kedah,P.018 Kulim-Bandar Baharu,2,Cikgu Roslan Hashim,4478,PN,12,34469
Kedah,P.018 Kulim-Bandar Baharu,3,Rizal,4506,PEJUANG,93,591
Kedah,P.018 Kulim-Bandar Baharu,4,Datuk Muhar Bin Hussain,4480,BN,25,13872
Kelantan,P.019 Tumpat,1,Khairul Azuan,4481,WARISAN,74,245
Kelantan,P.019 Tumpat,2,Dato' Kak Taz,4482,PAS,3,65426
Kelantan,P.019 Tumpat,3,Asri Ali,4483,PUTRA,91,593
Kelantan,P.019 Tumpat,4,Haji Wan Jo,4484,PH,73,7762
Kelantan,P.019 Tumpat,5,Dato' Che Lah (Dcl),4485,BN,25,30633
Kelantan,P.020 Pengkalan Chepa,1,Abe Wae - Redzuan,4486,BEBAS,1,451
Kelantan,P.020 Pengkalan Chepa,2,Kak Jah,4487,PH,73,7356
Kelantan,P.020 Pengkalan Chepa,3,Wan Ahmad Nasri,4488,PEJUANG,93,358
Kelantan,P.020 Pengkalan Chepa,4,Datuk Marzuk,4489,PAS,3,53933
Kelantan,P.020 Pengkalan Chepa,5,Dr. Hafiz,4490,BN,25,15663
Kelantan,P.021 Kota Bharu,1,Datuk Seri Takiyuddin,4491,PAS,3,41869
Kelantan,P.021 Kota Bharu,2,Dr Hafidzah,4492,PH,73,19256
Kelantan,P.021 Kota Bharu,3,Hj. Rosmadi Ismail,4493,BN,25,16168
Kelantan,P.021 Kota Bharu,4,Andy Tan @ Awang,4494,PRM,57,107
Kelantan,P.021 Kota Bharu,5,Prof. Dato Dr Che Musa Che Omar,4495,PUTRA,91,528
Kelantan,P.021 Kota Bharu,6,Izat Bukhary,4496,BEBAS,1,91
Kelantan,P.022 Pasir Mas,1,Datuk Husam,4497,PH,73,6439
Kelantan,P.022 Pasir Mas,2,Ustaz Fadhli Shaari,4498,PAS,3,44444
Kelantan,P.022 Pasir Mas,3,Dato Ghani,4499,BN,25,13727
Kelantan,P.022 Pasir Mas,4,Nasrul Ali Hasan,4500,PUTRA,91,543
Kelantan,P.023 Rantau Panjang,1,Dato' Dr. Ibrahim Ali,4501,PUTRA,91,1216
Kelantan,P.023 Rantau Panjang,2,Kak Lah,3318,PAS,3,37759
Kelantan,P.023 Rantau Panjang,3,Datuk Zain,4502,PRM,57,173
