state,parlimen,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Perlis,P.001 Kangar,41938,32396,0,1279
Perlis,P.002 Arau,37035,28462,0,1004
Kedah,P.003 Jerlun-Langkawi,38958,30425,0,735
Kedah,P.004 Kubang Pasu,43683,34340,0,1053
Kedah,P.005 Padang Terap,38831,32051,0,1085
Kedah,P.006 Kuala Kedah,46123,34543,0,854
Kedah,P.007 Alor Setar,58456,41749,0,818
Kedah,P.008 Kota Setar,37073,30061,0,580
Kedah,P.009 Ulu Muda,34203,27803,0,821
Kedah,P.010 Baling,41626,32315,0,1178
Kedah,P.011 Jerai,36957,28587,0,871
Kedah,P.012 Kuala Muda,39810,30560,0,1054
Kedah,P.013 Sungai Petani,56093,42321,0,1041
Kedah,P.014 Padang Serai,33812,26098,0,966
Kedah,P.015 Kulim-Bandar Bahru,36389,27388,0,872
Kelantan,P.016 Tumpat,40502,31141,0,1092
Kelantan,P.017 Pengkalan Chepa,36716,28907,0,731
Kelantan,P.018 Pasir Mas,37382,29340,0,1156
Kelantan,P.019 Kota Bharu,50238,37558,0,784
Kelantan,P.020 Bachok,37586,31343,0,767
Kelantan,P.021 Rantau Panjang,28493,22548,0,675
Kelantan,P.022 Nilam Puri,35958,29683,0,764
Kelantan,P.023 Tanah Merah,31047,26136,0,668
Kelantan,P.024 Machang,29441,24403,0,555
Kelantan,P.025 Pasir Puteh,34084,27389,0,474
Kelantan,P.026 Kuala Krai,24445,20262,0,562
Kelantan,P.027 Ulu Kelantan,32350,26100,0,717
Terengganu,P.028 Besut,36741,30619,0,1114
Terengganu,P.029 Ulu Nerus,31612,25312,0,1113
Terengganu,P.030 Ulu Terengganu,28983,24318,0,1218
Terengganu,P.031 Kuala Nerus,33269,27110,0,1109
Terengganu,P.032 Kuala Terengganu,43956,33938,0,1084
Terengganu,P.033 Dungun,31064,24789,0,833
Terengganu,P.034 Kemaman,36467,27772,0,1240
Pulau Pinang,P.035 Kepala Batas,31481,25277,0,814
Pulau Pinang,P.036 Mata Kuching,57635,44647,0,1187
Pulau Pinang,P.037 Permatang Pauh,32378,25885,0,714
Pulau Pinang,P.038 Bukit Mertajam,53324,40851,0,1119
Pulau Pinang,P.039 Nibong Tebal,35995,27914,0,1427
Pulau Pinang,P.040 Balik Pulau,52485,39016,0,1193
Pulau Pinang,P.041 Bukit Bendera,67261,51314,0,1225
Pulau Pinang,P.042 Tanjong,58735,45317,0,899
Pulau Pinang,P.043 Jelutong,71093,53870,0,1168
Perak,P.044 Gerik,25509,19298,0,741
Perak,P.045 Larut,25253,19026,0,558
Perak,P.046 Parit Buntar,38219,29223,0,973
Perak,P.047 Bagan Serai,36388,27007,0,1148
Perak,P.048 Sungai Siput,32360,23827,0,700
Perak,P.049 Taiping,54176,40154,0,1024
Perak,P.050 Matang,35162,26234,0,750
Perak,P.051 Padang Rengas,26613,19684,0,754
Perak,P.052 Kuala Kangsar,26535,19156,0,527
Perak,P.053 Kinta,69362,51852,0,1263
Perak,P.054 Ipoh,76613,55204,0,1185
Perak,P.055 Menglembu,72307,53425,0,1824
Perak,P.056 Beruas,31391,24196,0,540
Perak,P.057 Parit,36187,25909,0,1133
Perak,P.058 Batu Gajah,47717,36010,0,1168
Perak,P.059 Batang Padang,29255,22156,0,1012
Perak,P.060 Lumut,38699,29220,0,612
Perak,P.061 Hilir Perak,32925,24032,0,1392
Perak,P.062 Telok Anson,40382,28088,0,705
Perak,P.063 Tanjung Malim,38836,28667,0,901
Perak,P.064 Bagan Datok,35028,25556,0,1225
Pahang,P.065 Lipis,36337,25703,0,987
Pahang,P.066 Jerantut,40514,30955,0,1408
Pahang,P.067 Kuantan,47137,33717,0,856
Pahang,P.068 Raub,31428,24072,0,904
Pahang,P.069 Maran,45042,34534,0,1171
Pahang,P.070 Bentong,40222,30738,0,1301
Pahang,P.071 Pekan,38260,27342,0,1090
Pahang,P.072 Temerloh,46891,35396,0,1443
Selangor,P.073 Sabak Bernam,30227,20824,0,977
Selangor,P.074 Tanjong Karang,33304,22856,0,1123
Selangor,P.075 Ulu Selangor,40289,30088,0,1060
Selangor,P.076 Kuala Selangor,37579,28013,0,1050
Selangor,P.077 Selayang,113159,79008,0,2130
Selangor,P.078 Ulu Langat,46033,30621,0,1032
Selangor,P.079 Pelabohan Kelang,61113,46765,0,1212
Selangor,P.080 Shah Alam,101192,73033,0,1865
Selangor,P.081 Petaling,114704,81946,0,1800
Selangor,P.082 Kuala Langat,36255,28319,0,1322
Selangor,P.083 Sepang,33936,27043,0,604
W.P. Kuala Lumpur,P.084 Kepong,77285,59465,0,1321
W.P. Kuala Lumpur,P.085 Setapak,80266,49947,0,498
W.P. Kuala Lumpur,P.086 Damansara,86576,58772,0,449
W.P. Kuala Lumpur,P.087 Kuala Lumpur Bandar,59186,43211,0,334
W.P. Kuala Lumpur,P.088 Sungai Besi,103469,76969,0,637
Negeri Sembilan,P.089 Jelebu,38733,30285,0,854
Negeri Sembilan,P.090 Mantin,41244,31798,0,886
Negeri Sembilan,P.091 Seremban,60739,46903,0,1232
