state,parlimen,area_name,ballot_order,name,candidate_uid,party,party_uid,votes
Perlis,P.001 Kangar,Kangar,1,Shaari Bin Jusoh,838,BN,25,14250
Perlis,P.001 Kangar,Kangar,2,Raja Mukhtaruddin Bin Raja Mohd. Dain,839,BEBAS,1,5349
Perlis,P.001 Kangar,Kangar,3,Saad. Bin Man,840,PSRM,26,2796
Perlis,P.002 Arau,Arau,1,Syed Hassan Bin Syed Mohamad,841,BN,25,14789
Perlis,P.002 Arau,Arau,2,Idrus @ Darus Bin Omar,842,BEBAS,1,6164
Kedah,P.003 Jerlun-Langkawi,Jerlun-Langkawi,1,Dato' Syed Nahar Bin Tun Syed Sheh Shahabuddin,843,BN,25,0
Kedah,P.004 Kubang Pasu,Kubang Pasu,1,Dr Mahathir Bin Mohamad,375,BN,25,0
Kedah,P.005 Padang Terap,Padang Terap,1,Ahmad Shukri Bin Haji Abdul Shukur,844,BN,25,0
Kedah,P.006 Kuala Kedah,Kuala Kedah,1,Senu Bin Abdul Rahman,369,BN,25,15958
Kedah,P.006 Kuala Kedah,Kuala Kedah,2,Wan Khazim,845,PSRM,26,4099
Kedah,P.006 Kuala Kedah,Kuala Kedah,3,Bong Isa Bin Hussein,846,BEBAS,1,2670
Kedah,P.007 Alor Setar,Alor Setar,1,Oo Gin Sun,847,BN,25,13420
Kedah,P.007 Alor Setar,Alor Setar,2,Karpal Singh,848,DAP,18,9450
Kedah,P.008 Kota Setar,Kota Setar,1,Abu Bakar Umar,849,BN,25,16475
Kedah,P.008 Kota Setar,Kota Setar,2,Kassim Bin Ahmad,573,BEBAS,1,2094
Kedah,P.008 Kota Setar,Kota Setar,3,Zakaria Haji Ahmad,850,BEBAS,1,507
Kedah,P.009 Ulu Muda,Ulu Muda,1,Tuan Haji Yusof Bin Haji Abdullah,247,BN,25,0
Kedah,P.010 Baling,Baling,1,Shafie Bin Abdullah,582,BN,25,0
Kedah,P.011 Jerai,Jerai,1,Sanusi Bin Junid,851,BN,25,0
Kedah,P.012 Kuala Muda,Kuala Muda,1,Haji Mohamed Khir Bin Johari,852,BN,25,0
Kedah,P.013 Sungai Petani,Sungai Petani,1,Wan Zainab Bin M.A. Bakar,853,BN,25,22266
Kedah,P.013 Sungai Petani,Sungai Petani,2,Osman Bin Abu Bakar,854,KITA,29,4016
Kedah,P.014 Padang Serai,Padang Serai,1,Lim Ah Yang @ Kiam Hoon,855,BN,25,0
Kedah,P.015 Kulim-Bandar Baharu,Kulim-Bandar Baharu,1,Azahari Bin Md. Taib,584,BN,25,13888
Kedah,P.015 Kulim-Bandar Baharu,Kulim-Bandar Baharu,2,Abdul Aziz Bin H. Kassim,856,BEBAS,1,5200
