state,parlimen,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Perlis,P.001 Padang Besar,36613,29310,2,674
Perlis,P.002 Kangar,43591,34946,167,808
Perlis,P.003 Arau,39877,33276,88,586
Kedah,P.004 Langkawi,29567,23273,49,670
Kedah,P.005 Jerlun,45513,37297,55,599
Kedah,P.006 Kubang Pasu,53323,42353,127,928
Kedah,P.007 Padang Terap,35403,30445,38,770
Kedah,P.008 Pokok Sena,69631,55318,636,1039
Kedah,P.009 Alor Star,58957,43206,151,1757
Kedah,P.010 Kuala Kedah,83132,65750,5,1385
Kedah,P.011 Pendang,61346,51645,105,991
Kedah,P.012 Jerai,65739,51913,122,1070
Kedah,P.013 Sik,40339,33859,107,505
Kedah,P.014 Merbok,64443,49718,396,1338
Kedah,P.015 Sungai Petani,76284,59378,129,986
Kedah,P.016 Baling,78784,65764,75,1154
Kedah,P.017 Padang Serai,59218,47124,55,1259
Kedah,P.018 Kulim-Bandar Baharu,51995,40182,233,1022
Kelantan,P.019 Tumpat,80072,65254,171,1032
Kelantan,P.020 Pengkalan Chepa,52350,43049,270,564
Kelantan,P.021 Kota Bharu,68261,53710,131,609
Kelantan,P.022 Pasir Mas,59640,49344,125,864
Kelantan,P.023 Rantau Panjang,45384,35451,82,837
Kelantan,P.024 Kubang Kerian,53492,44474,120,638
Kelantan,P.025 Bachok,64810,55724,144,811
Kelantan,P.026 Ketereh,52238,44377,308,993
Kelantan,P.027 Tanah Merah,44348,36126,99,1064
Kelantan,P.028 Pasir Puteh,64389,53778,130,886
Kelantan,P.029 Machang,49157,41494,124,748
Kelantan,P.030 Jeli,36297,30555,181,474
Kelantan,P.031 Kuala Krai,52250,43013,117,756
Kelantan,P.032 Gua Musang,28987,24283,62,489
Terengganu,P.033 Besut,58353,49303,473,668
Terengganu,P.034 Setiu,54519,46821,0,833
Terengganu,P.035 Kuala Nerus,61212,52539,289,713
Terengganu,P.036 Kuala Terengganu,80328,66231,119,931
Terengganu,P.037 Marang,74816,65008,79,806
Terengganu,P.038 Hulu Terengganu,52514,45971,154,709
Terengganu,P.039 Dungun,64853,54464,0,930
Terengganu,P.040 Kemaman,75003,62868,76,1077
Pulau Pinang,P.041 Kepala Batas,43017,36328,50,634
Pulau Pinang,P.042 Tasek Gelugor,44467,37308,359,600
Pulau Pinang,P.043 Bagan,59387,46227,35,766
Pulau Pinang,P.044 Permatang Pauh,58448,47963,29,636
Pulau Pinang,P.045 Bukit Mertajam,64081,50823,25,931
Pulau Pinang,P.046 Batu Kawan,47378,37292,3,640
Pulau Pinang,P.047 Nibong Tebal,47542,38129,12,784
Pulau Pinang,P.048 Bukit Bendera,64545,47105,89,642
Pulau Pinang,P.049 Tanjong,53191,38734,96,631
Pulau Pinang,P.050 Jelutong,61181,46406,41,743
Pulau Pinang,P.051 Bukit Gelugor,65610,50553,581,707
Pulau Pinang,P.052 Bayan Baru,60716,46418,1556,655
Pulau Pinang,P.053 Balik Pulau,39765,31391,0,601
Perak,P.054 Gerik,26229,20493,365,649
Perak,P.055 Lenggong,23223,17436,60,311
Perak,P.056 Larut,39695,30589,57,687
Perak,P.057 Parit Buntar,45219,35592,83,618
Perak,P.058 Bagan Serai,47109,36237,578,1186
Perak,P.059 Bukit Gantang,55472,40301,114,851
Perak,P.060 Taiping,65887,47123,613,1612
Perak,P.061 Padang Rengas,24398,18350,77,362
Perak,P.062 Sungai Siput,47423,33154,194,1001
Perak,P.063 Tambun,68969,51844,419,927
Perak,P.064 Ipoh Timor,76641,53994,501,707
Perak,P.065 Ipoh Barat,69772,50641,194,829
Perak,P.066 Batu Gajah,77315,56270,142,911
Perak,P.067 Kuala Kangsar,28324,20773,388,373
Perak,P.068 Beruas,43275,30821,98,889
Perak,P.069 Parit,28860,22598,45,628
Perak,P.070 Kampar,59780,38953,350,1048
Perak,P.071 Gopeng,74341,53303,0,1279
Perak,P.072 Tapah,38235,26811,1,1662
Perak,P.073 Pasir Salak,42711,32119,1,950
Perak,P.074 Lumut,72759,55930,2948,1884
Perak,P.075 Bagan Datok,34669,24414,62,814
Perak,P.076 Telok Intan,52357,36739,84,1153
Perak,P.077 Tanjong Malim,53483,38107,153,1344
Pahang,P.078 Cameron Highlands,23461,16456,59,1186
Pahang,P.079 Lipis,28423,21758,112,561
Pahang,P.080 Raub,46453,34459,140,915
Pahang,P.081 Jerantut,48811,38078,109,829
Pahang,P.082 Indera Mahkota,51235,39677,390,668
Pahang,P.083 Kuantan,47746,35772,179,623
