state,parlimen,area_name,ballot_order,name,candidate_uid,party,party_uid,votes
Perlis,P.001 Padang Besar,Padang Besar,1,Zahidi Bin Zainul Abidin,3630,BN,25,21473
Perlis,P.001 Padang Besar,Padang Besar,2,Azamhari,3631,PAS,3,14047
Perlis,P.002 Kangar,Kangar,1,Baharuddin Ahmad,3632,PAS,3,19306
Perlis,P.002 Kangar,Kangar,2,Shaharuddin Bin Ismail,3633,BN,25,23343
Perlis,P.003 Arau,Arau,1,Shahidan Bin Kassim,1665,BN,25,19376
Perlis,P.003 Arau,Arau,2,Haron Din,3284,PAS,3,18005
Perlis,P.003 Arau,Arau,3,Zainudin Bin Yom,3634,BEBAS,1,406
Kedah,P.004 Langkawi,Langkawi,1,Nawawi Bin Ahmad,3635,BN,25,21407
Kedah,P.004 Langkawi,Langkawi,2,Ahmad Bin Abdullah,157,PKR,11,9546
Kedah,P.004 Langkawi,Langkawi,3,Marina Hussein,3636,BEBAS,1,180
Kedah,P.005 Jerlun,Jerlun,1,Ismail Bin Salleh,3637,PAS,3,20891
Kedah,P.005 Jerlun,Jerlun,2,Othman Bin Aziz,3638,BN,25,24161
Kedah,P.006 Kubang Pasu,Kubang Pasu,1,Jamal Nasir,3639,PAS,3,22890
Kedah,P.006 Kubang Pasu,Kubang Pasu,2,Mohd Johari Bin Baharum,3290,BN,25,33334
Kedah,P.007 Padang Terap,Padang Terap,1,Nasir Bin Zakaria,3292,PAS,3,16212
Kedah,P.007 Padang Terap,Padang Terap,2,Muhamad Bazli,3640,BEBAS,1,243
Kedah,P.007 Padang Terap,Padang Terap,3,Mahdzir Khalid,3641,BN,25,20654
Kedah,P.008 Pokok Sena,Pokok Sena,1,Mahfuz Omar,2928,PAS,3,36198
Kedah,P.008 Pokok Sena,Pokok Sena,2,Shahlan Bin Ismail,3642,BN,25,32263
Kedah,P.009 Alor Star,Alor Setar,1,Chor Chee Heung,1981,BN,25,25491
Kedah,P.009 Alor Star,Alor Setar,2,Gooi Hsiao Leung,3294,PKR,11,27364
Kedah,P.009 Alor Star,Alor Setar,3,Abdul Fisol Bin Mohd Isa,3643,BERJASA,34,3530
Kedah,P.009 Alor Star,Alor Setar,4,Jawahar Raja Bin Hj Abdul Wahid,3644,BERSAMA,70,257
Kedah,P.010 Kuala Kedah,Kuala Kedah,1,Azman Ismail,3409,PKR,11,42870
Kedah,P.010 Kuala Kedah,Kuala Kedah,2,Zaki Zamani Bin Abdul Rashid,3645,BN,25,37923
Kedah,P.011 Pendang,Pendang,1,Othman Bin Abdul,1676,BN,25,32165
Kedah,P.011 Pendang,Pendang,2,Mohamad Sabu,2932,PAS,3,29527
Kedah,P.012 Jerai,Jerai,1,Jamil Khir Bin Baharom,3646,BN,25,32429
Kedah,P.012 Jerai,Jerai,2,Mohd Firdaus Bin Jaafar,3298,PAS,3,31233
Kedah,P.013 Sik,Sik,1,Mansor Bin Abdul Rahman,3647,BN,25,22084
Kedah,P.013 Sik,Sik,2,Che Uda Bin Che Nik,3300,PAS,3,19277
Kedah,P.014 Merbok,Merbok,1,Ismail Bin Daut,3648,BN,25,38538
Kedah,P.014 Merbok,Merbok,2,Nurin Aina,3649,PKR,11,34416
Kedah,P.015 Sungai Petani,Sungai Petani,1,Syamsul Anuar Ismail,3650,BN,25,34646
Kedah,P.015 Sungai Petani,Sungai Petani,2,Ong Wei Sin,3651,BEBAS,1,772
Kedah,P.015 Sungai Petani,Sungai Petani,3,Suhaimi Bin Hashim,3652,KITA,29,200
Kedah,P.015 Sungai Petani,Sungai Petani,4,Johari Abdul,3304,PKR,11,44194
Kedah,P.016 Baling,Baling,1,Najmi Hj Ahmad,3653,PAS,3,38319
Kedah,P.016 Baling,Baling,2,Azeez Rahim,3305,BN,25,43504
Kedah,P.017 Padang Serai,Padang Serai,1,Hamidi Bin Abu Hassan,3654,BERJASA,34,2630
Kedah,P.017 Padang Serai,Padang Serai,2,Othman Bin Wawi,3655,BEBAS,1,279
Kedah,P.017 Padang Serai,Padang Serai,3,Gobalakrishnan A/L Nagapan,3308,BEBAS,1,390
Kedah,P.017 Padang Serai,Padang Serai,4,N Surendran,3656,PKR,11,34151
Kedah,P.017 Padang Serai,Padang Serai,5,Heng Seai Kie,3657,BN,25,25714
Kedah,P.018 Kulim-Bandar Baharu,Kulim-Bandar Baharu,1,Saifuddin Nasution Ismail,2615,PKR,11,24911
Kedah,P.018 Kulim-Bandar Baharu,Kulim-Bandar Baharu,2,Abdul Aziz Sheikh Fadzir,3310,BN,25,26782
Kelantan,P.019 Tumpat,Tumpat,1,Kamarudin Jaffar,3311,PAS,3,46191
Kelantan,P.019 Tumpat,Tumpat,2,Mansor,3658,BN,25,35487
Kelantan,P.020 Pengkalan Chepa,Pengkalan Chepa,1,Izani Bin Husin,3659,PAS,3,34617
Kelantan,P.020 Pengkalan Chepa,Pengkalan Chepa,2,Dali Bin Husin,3660,BN,25,19497
Kelantan,P.021 Kota Bharu,Kota Bharu,1,Mohamad Fatmi Bin Che Salleh,3316,BN,25,24650
Kelantan,P.021 Kota Bharu,Kota Bharu,2,Takiyuddin,3661,PAS,3,40620
Kelantan,P.021 Kota Bharu,Kota Bharu,3,Mohd Zakiman Bin Abu Bakar,3662,BEBAS,1,148
Kelantan,P.022 Pasir Mas,Pasir Mas,1,Ibrahim Bin Ali,1692,BEBAS,1,25384
Kelantan,P.022 Pasir Mas,Pasir Mas,2,Nik Abduh,3663,PAS,3,33431
Kelantan,P.023 Rantau Panjang,Rantau Panjang,1,Cik Gu Li,3664,BN,25,17405
Kelantan,P.023 Rantau Panjang,Rantau Panjang,2,Kak Lah,3318,PAS,3,23767
Kelantan,P.024 Kubang Kerian,Kubang Kerian,1,Baihaki,3665,PAS,3,35510
Kelantan,P.024 Kubang Kerian,Kubang Kerian,2,Anuar Safian,3666,BN,25,18769
Kelantan,P.025 Bachok,Bachok,1,Marzuk Shaary,3667,PAS,3,35419
Kelantan,P.025 Bachok,Bachok,2,Awang,3323,BN,25,35218
Kelantan,P.026 Ketereh,Ketereh,1,Annuar Musa,3324,BN,25,26912
Kelantan,P.026 Ketereh,Ketereh,2,Abdul Aziz,3325,PKR,11,25938
Kelantan,P.027 Tanah Merah,Tanah Merah,1,Nik Mahmood,3668,PKR,11,22278
Kelantan,P.027 Tanah Merah,Tanah Merah,2,Fizal Harun,3669,BEBAS,1,213
Kelantan,P.027 Tanah Merah,Tanah Merah,3,Ikmal Hisham Bin Abdul Aziz,3670,BN,25,26505
Kelantan,P.028 Pasir Puteh,Pasir Puteh,1,Mustaffa,3671,BN,25,31691
Kelantan,P.028 Pasir Puteh,Pasir Puteh,2,Nik Mazian,3672,PAS,3,33579
Kelantan,P.029 Machang,Machang,1,Jazlan,3673,BN,25,25660
Kelantan,P.029 Machang,Machang,2,Wan Zawawi,3674,PKR,11,24855
Kelantan,P.030 Jeli,Jeli,1,Mustapa Bin Mohamed,2333,BN,25,21345
Kelantan,P.030 Jeli,Jeli,2,Pendi,3332,PAS,3,16009
Kelantan,P.031 Kuala Krai,Kuala Krai,1,Aziz Mat,3675,BN,25,25876
Kelantan,P.031 Kuala Krai,Kuala Krai,2,Hatta Ramli,3333,PAS,3,27919
Kelantan,P.032 Gua Musang,Gua Musang,1,Tengku Razaleigh Hamzah,872,BN,25,21367
Kelantan,P.032 Gua Musang,Gua Musang,2,Wan Rahim,3315,PAS,3,12954
Terengganu,P.033 Besut,Besut,1,Idris Jusoh,3676,BN,25,35232
Terengganu,P.033 Besut,Besut,2,Riduan Mohamad Nor,3677,PAS,3,26890
Terengganu,P.034 Setiu,Setiu,1,Che Mohamad Zulkifly Bin Jusoh,3678,BN,25,33198
Terengganu,P.034 Setiu,Setiu,2,Omar Sidek,3679,PAS,3,25255
Terengganu,P.035 Kuala Nerus,Kuala Nerus,1,Mohd Nasir B. Tan Ibrahim Fikri,3340,BN,25,33251
Terengganu,P.035 Kuala Nerus,Kuala Nerus,2,Khairuddin Takiri,3680,PAS,3,33861
Terengganu,P.036 Kuala Terengganu,Kuala Terengganu,1,Mohd Zubir Bin Embong,3681,BN,25,35043
Terengganu,P.036 Kuala Terengganu,Kuala Terengganu,2,Raja Bahrin,3682,PAS,3,45828
Terengganu,P.036 Kuala Terengganu,Kuala Terengganu,3,Maimun Binti Yusuf,3341,BEBAS,1,182
Terengganu,P.037 Marang,Marang,1,Yahya Bin Khatib Mohamad,3683,BN,25,37860
Terengganu,P.037 Marang,Marang,2,Abdul Hadi Bin Awang,1712,PAS,3,42984
Terengganu,P.038 Hulu Terengganu,Hulu Terengganu,1,Kamaruzaman Bin Abdullah,3344,PAS,3,23727
Terengganu,P.038 Hulu Terengganu,Hulu Terengganu,2,Jailani Johari,3684,BN,25,31940
Terengganu,P.039 Dungun,Dungun,1,Rosli Mat Hassan,3685,BN,25,31406
Terengganu,P.039 Dungun,Dungun,2,Wan Hassan Mohd Ramli,3686,PAS,3,35348
Terengganu,P.039 Dungun,Dungun,3,Mazlan Bin Harun,3687,BEBAS,1,384
Terengganu,P.040 Kemaman,Kemaman,1,Ahmad Shabery Cheek,2986,BN,25,45525
Terengganu,P.040 Kemaman,Kemaman,2,Kamarudin Chik,3688,PKR,11,33219
Pulau Pinang,P.041 Kepala Batas,Kepala Batas,1,Reezal Merican B Naina Merican,3689,BN,25,25128
Pulau Pinang,P.041 Kepala Batas,Kepala Batas,2,Afnan Hamimi B. Taib Azamudden,3690,PAS,3,20952
Pulau Pinang,P.042 Tasek Gelugor,Tasek Gelugor,1,Mohd Shariff Bin Omar,3691,BEBAS,1,1590
Pulau Pinang,P.042 Tasek Gelugor,Tasek Gelugor,2,Shabudin Yahaya,3692,BN,25,24393
Pulau Pinang,P.042 Tasek Gelugor,Tasek Gelugor,3,Abdul Rahman Maidin,3693,PAS,3,21351
Pulau Pinang,P.043 Bagan,Bagan,1,Lim Kim Chu,3694,PCM,67,328
Pulau Pinang,P.043 Bagan,Bagan,2,David Chua Teik Siang,3695,BN,25,12307
Pulau Pinang,P.043 Bagan,Bagan,3,Lim Guan Eng,1839,DAP,18,46466
Pulau Pinang,P.044 Permatang Pauh,Permatang Pauh,1,Mazlan Ismail,3696,BN,25,25369
Pulau Pinang,P.044 Permatang Pauh,Permatang Pauh,2,Anwar Ibrahim,1426,PKR,11,37090
Pulau Pinang,P.044 Permatang Pauh,Permatang Pauh,3,Zawawi,3697,BEBAS,1,201
Pulau Pinang,P.045 Bukit Mertajam,Bukit Mertajam,1,Gui Guat Lye,3698,BN,25,12814
Pulau Pinang,P.045 Bukit Mertajam,Bukit Mertajam,2,Sim Chee Keong,3699,DAP,18,55877
Pulau Pinang,P.046 Batu Kawan,Batu Kawan,1,Gobalakrishnan A/L Narayanasamy,3700,BN,25,10674
Pulau Pinang,P.046 Batu Kawan,Batu Kawan,2,Kasthuriraani Patto,3701,DAP,18,36636
Pulau Pinang,P.046 Batu Kawan,Batu Kawan,3,Huan Cheng Guan @ Huan,3702,PCM,67,1801
Pulau Pinang,P.046 Batu Kawan,Batu Kawan,4,Mohan Apparoo,3703,BEBAS,1,305
Pulau Pinang,P.047 Nibong Tebal,Nibong Tebal,1,Zainal Abidin Osman,3356,BN,25,21405
Pulau Pinang,P.047 Nibong Tebal,Nibong Tebal,2,Teng Kok Pheng,3704,BEBAS,1,297
Pulau Pinang,P.047 Nibong Tebal,Nibong Tebal,3,Mansor Othman,3705,PKR,11,30003
Pulau Pinang,P.048 Bukit Bendera,Bukit Bendera,1,Zairil Khir Johari,3706,DAP,18,45591
