state,parlimen,area_name,ballot_order,name,candidate_uid,party,votes
Perlis,P.083 Perlis Utara,Perlis Utara,1,Othman Bin Abdullah,55,PERIKATAN,9638
Perlis,P.083 Perlis Utara,Perlis Utara,2,Abu Bakar Bin Hamzah,316,PAS,5787
Perlis,P.084 Perlis Selatan,Perlis Selatan,1,Abdul Rahman Bin Osman,317,PAS,6163
Perlis,P.084 Perlis Selatan,Perlis Selatan,2,Haji Mokhtar Bin Haji Ismail,318,PERIKATAN,8015
Selangor,P.085 Batu,Batu,1,Ng Ann Teck,319,BEBAS,8737
Selangor,P.085 Batu,Batu,2,Lim Hee Hong,320,PERIKATAN,6408
Selangor,P.086 Bungsar,Bungsar,1,Ong Yeow Kay,321,PPP,2388
Selangor,P.086 Bungsar,Bungsar,2,V. David,322,BEBAS,9734
Selangor,P.086 Bungsar,Bungsar,3,Koh Pooi Kee,323,BEBAS,6821
Selangor,P.086 Bungsar,Bungsar,4,Law Joo Kooi,324,PERIKATAN,5036
Selangor,P.087 Bukit Bintang,Bukit Bintang,1,Heng Cheng Swee,325,BEBAS,270
Selangor,P.087 Bukit Bintang,Bukit Bintang,2,Robert K. C. Hoh,326,BEBAS,5434
Selangor,P.087 Bukit Bintang,Bukit Bintang,3,Nazar Nong,327,BEBAS,4593
Selangor,P.087 Bukit Bintang,Bukit Bintang,4,Cheah Theam Swee,328,PERIKATAN,6134
Selangor,P.088 Setapak,Setapak,1,Ahmad Boestamam,329,BEBAS,6901
Selangor,P.088 Setapak,Setapak,2,Yap Kim Swee,330,BEBAS,3853
Selangor,P.088 Setapak,Setapak,3,Aisah Ghani,331,PERIKATAN,4805
Selangor,P.089 Ulu Selangor,Ulu Selangor,1,Ong Yoke Lin,46,PERIKATAN,6537
Selangor,P.089 Ulu Selangor,Ulu Selangor,2,Chai Yoke Kin,332,BEBAS,5121
Selangor,P.090 Rawang,Rawang,1,Abdul Karim Bin Haji Kasim,333,PERIKATAN,3654
Selangor,P.090 Rawang,Rawang,2,Borhan,334,BEBAS,978
Selangor,P.090 Rawang,Rawang,3,Y. P. Liu,335,BEBAS,6143
Selangor,P.091 Sabak Bernam,Sabak Bernam,1,Syed Hashim Bin Syed Ajam,336,PERIKATAN,8003
Selangor,P.091 Sabak Bernam,Sabak Bernam,2,Ustaz Haji Abd. Hakim Hilmi,337,PAS,4222
Selangor,P.092 Kuala Selangor,Kuala Selangor,1,N. Manickam,338,MP,4008
Selangor,P.092 Kuala Selangor,Kuala Selangor,2,Dahari Ali,339,PERIKATAN,6197
Selangor,P.092 Kuala Selangor,Kuala Selangor,3,Abdullah Bin Mat Junan,340,PAS,4216
Selangor,P.093 Langat,Langat,1,Haji Zakaria Bin Haji Mohd. Taib,341,PERIKATAN,6937
Selangor,P.093 Langat,Langat,2,Koh Pak Ngee,342,BEBAS,5145
Selangor,P.094 Sepang,Sepang,1,Lim Tuan Siong,343,BEBAS,3455
Selangor,P.094 Sepang,Sepang,2,K. V. Nadarajah,344,PPP,2225
Selangor,P.094 Sepang,Sepang,3,Lee Siok Yew,345,PERIKATAN,4992
Selangor,P.095 Klang,Klang,1,V. Manickavasagam,346,PERIKATAN,8394
Selangor,P.095 Klang,Klang,2,S. S. Nayagam,347,BEBAS,6253
Selangor,P.096 Kuala Langat,Kuala Langat,1,Syed Ibrahim Bin Syed Salim,348,PAS,4299
Selangor,P.096 Kuala Langat,Kuala Langat,2,Aziz Ishak,349,PERIKATAN,9492
Selangor,P.097 Kapar,Kapar,1,Hamzah Alang,350,PERIKATAN,5335
Selangor,P.097 Kapar,Kapar,2,Ibrahim Bin Haji Nordin,351,PAS,2954
Selangor,P.097 Kapar,Kapar,3,R. Madhavan,352,PPP,3208
Selangor,P.098 Damansara,Damansara,1,Lee Eng Teh,61,PERIKATAN,5653
Selangor,P.098 Damansara,Damansara,2,K. Karam Singh,353,BEBAS,9026
Terengganu,P.099 Besut,Besut,1,Burhanuddin Bin Mohd. Noor,354,PAS,9988
Terengganu,P.099 Besut,Besut,2,Husain Bin Haji Abdullah,355,PERIKATAN,4216
Terengganu,P.100 Kuala Trengganu Utara,Kuala Trengganu Utara,1,Wan Abdul Kadir Bin Ismail,356,PERIKATAN,6535
Terengganu,P.100 Kuala Trengganu Utara,Kuala Trengganu Utara,2,Ibrahim Bin Abdul Kadir,357,BEBAS,540
Terengganu,P.100 Kuala Trengganu Utara,Kuala Trengganu Utara,3,Haji Hasan Adli Bin Haji Arshad,33,PAS,7262
Terengganu,P.101 Kuala Trengganu Selatan,Kuala Trengganu Selatan,1,Engku Muhsein Bin Abdul Kadir,124,PERIKATAN,5374
Terengganu,P.101 Kuala Trengganu Selatan,Kuala Trengganu Selatan,2,Dato' Onn Bin Jaafar,81,BEBAS,7986
Terengganu,P.102 Trengganu Tengah,Trengganu Tengah,1,Ismail Bin Haji Kassim,358,PERIKATAN,4954
Terengganu,P.102 Trengganu Tengah,Trengganu Tengah,2,Engku Sayed Mohsin Bin Z' Abidin,359,BEBAS,199
Terengganu,P.102 Trengganu Tengah,Trengganu Tengah,3,Setia Bin Abu Bakar,360,BEBAS,758
Terengganu,P.102 Trengganu Tengah,Trengganu Tengah,4,Harun Bin Pilus,361,PAS,8625
Terengganu,P.103 Dungun,Dungun,1,Wan Salleh Bin Abdul Kadir,362,BEBAS,595
Terengganu,P.103 Dungun,Dungun,2,Mohamed Adib Bin Omar,363,PERIKATAN,4158
Terengganu,P.103 Dungun,Dungun,3,Khadijah Binti Mohd. Sidik,364,PAS,6249
Terengganu,P.104 Kemaman,Kemaman,1,Wan Yahya Bin Haji Wan Mohamed,126,PERIKATAN,0
