state,parlimen,area_name,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Perlis,P.001 Padang Besar,Padang Besar,33295,25854,815,1083
Perlis,P.002 Kangar,Kangar,36235,26970,0,770
Perlis,P.003 Arau,Arau,34668,26524,30,891
Kedah,P.004 Langkawi,Langkawi,21719,16532,44,959
Kedah,P.005 Jerlun,Jerlun,43877,33451,28,975
Kedah,P.006 Kubang Pasu,Kubang Pasu,44843,33196,186,1246
Kedah,P.007 Padang Tarap,Padang Tarap,27294,21297,17,811
Kedah,P.008 Pokok Sena,Pokok Sena,83901,49494,1795,1747
Kedah,P.009 Alor Setar,Alor Setar,61685,41904,290,1393
Kedah,P.010 Kuala Kedah,Kuala Kedah,57405,42612,151,1029
Kedah,P.011 Pendang,Pendang,51451,39881,41,1129
Kedah,P.012 Yan,Yan,40657,30115,74,874
Kedah,P.013 Sik,Sik,30802,24191,24,789
Kedah,P.014 Merbok,Merbok,59438,41941,0,1892
Kedah,P.015 Sungai Petani,Sungai Petani,65046,48078,678,1785
Kedah,P.016 Baling,Baling,50596,38416,60,1153
Kedah,P.017 Padang Serai,Padang Serai,60098,42412,10,2090
Kedah,P.018 Kulim-Bandar Baharu,Kulim-Bandar Baharu,45946,32438,339,1491
Kelantan,P.019 Tumpat,Tumpat,46202,34553,117,990
Kelantan,P.020 Pangkalan Chepa,Pangkalan Chepa,42263,32198,765,1486
Kelantan,P.021 Kota Bharu,Kota Bharu,60366,43050,224,902
Kelantan,P.022 Pasir Mas,Pasir Mas,48389,36991,265,1154
Kelantan,P.023 Rantau Panjang,Rantau Panjang,42754,29229,88,1078
Kelantan,P.024 Kubang Kerian,Kubang Kerian,44319,33654,104,921
Kelantan,P.025 Bachok,Bachok,49984,39090,141,1267
Kelantan,P.026 Peringat,Peringat,42248,33436,300,1621
Kelantan,P.027 Tanah Merah,Tanah Merah,40906,30984,71,1164
Kelantan,P.028 Pasir Puteh,Pasir Puteh,54146,41329,130,1177
Kelantan,P.029 Machang,Machang,39217,29921,75,889
Kelantan,P.030 Jeli,Jeli,33223,27033,71,932
Kelantan,P.031 Kuala Krai,Kuala Krai,36380,27701,82,959
Kelantan,P.032 Gua Musang,Gua Musang,28105,21671,67,3152
Terengganu,P.033 Besut,Besut,43549,35437,96,1260
Terengganu,P.034 Setiu,Setiu,39151,32415,52,1245
Terengganu,P.035 Kuala Nerus,Kuala Nerus,41868,34592,233,1291
Terengganu,P.036 Kuala Terengganu,Kuala Terengganu,62583,48141,232,1518
Terengganu,P.037 Marang,Marang,54119,44295,83,1204
Terengganu,P.038 Hulu Terengganu,Hulu Terengganu,37079,31333,47,1177
Terengganu,P.039 Dungun,Dungun,42087,33720,77,757
Terengganu,P.040 Kemaman,Kemaman,47240,37782,88,1367
Pulau Pinang,P.041 Kepala Batas,Kepala Batas,36105,28332,31,1093
Pulau Pinang,P.042 Tasek Gelugor,Tasek Gelugor,37055,28538,116,951
Pulau Pinang,P.043 Bagan,Bagan,70718,54378,142,1306
Pulau Pinang,P.044 Permatang Pauh,Permatang Pauh,47743,37385,50,889
Pulau Pinang,P.045 Bukit Mertajam,Bukit Mertajam,63255,49659,92,1315
Pulau Pinang,P.046 Nibong Tebal,Nibong Tebal,49896,38307,66,1312
Pulau Pinang,P.047 Bukit Bendera,Bukit Bendera,69242,51777,217,1112
Pulau Pinang,P.048 Tanjong,Tanjong,63350,46205,234,822
Pulau Pinang,P.049 Jelutong,Jelutong,59859,44922,74,914
Pulau Pinang,P.050 Bayan Baru,Bayan Baru,78458,59273,176,908
Pulau Pinang,P.051 Balik Pulau,Balik Pulau,59045,44928,117,1429
Perak,P.052 Gerik,Gerik,36679,25655,764,1009
Perak,P.053 Larut,Larut,35919,0,0,0
Perak,P.054 Parit Buntar,Parit Buntar,42455,30123,79,1133
Perak,P.055 Bagan Serai,Bagan Serai,41820,28251,98,1535
Perak,P.056 Bukit Gantang,Bukit Gantang,52768,36067,406,1635
Perak,P.057 Taiping,Taiping,68346,47930,1649,2130
Perak,P.058 Chenderoh,Chenderoh,34381,23141,96,872
Perak,P.059 Sungai Siput,Sungai Siput,45156,30552,91,842
Perak,P.060 Tambun,Tambun,58572,42732,1609,1314
Perak,P.061 Ipoh Timor,Ipoh Timor,73832,49233,392,875
Perak,P.062 Ipoh Barat,Ipoh Barat,66502,45693,257,1073
Perak,P.063 Batu Gajah,Batu Gajah,58445,40110,159,1220
Perak,P.064 Kuala Kangsar,Kuala Kangsar,32015,20989,116,736
Perak,P.065 Beruas,Beruas,41857,27859,58,1050
Perak,P.066 Parit,Parit,33460,21776,117,818
Perak,P.067 Gopeng,Gopeng,47169,32076,0,1316
Perak,P.068 Kampar,Kampar,62349,40715,63,1509
Perak,P.069 Tapah,Tapah,39831,25756,349,1298
Perak,P.070 Pasir Salak,Pasir Salak,42171,27822,113,1444
Perak,P.071 Lumut,Lumut,62635,43640,3487,2114
Perak,P.072 Bagan Datok,Bagan Datok,35368,21937,63,1412
Perak,P.073 Teluk Intan,Teluk Intan,51500,33180,125,1090
Perak,P.074 Tanjong Malim,Tanjong Malim,52398,31910,157,913
Pahang,P.075 Lipis,Lipis,42361,29011,251,1859
Pahang,P.076 Raub,Raub,51453,36966,469,1796
