state,parlimen,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Perlis,P.001 Perlis Utara,23379,19361,0,721
Perlis,P.002 Perlis Selatan,23112,18579,0,843
Kedah,P.003 Jitra-Padang Terap,29464,23017,0,1077
Kedah,P.004 Kubang Pasu Barat,22351,17211,0,703
Kedah,P.005 Kota Star Utara,23982,19604,0,835
Kedah,P.006 Alor Star,33758,23566,0,767
Kedah,P.007 Kuala Kedah,29872,23585,0,1014
Kedah,P.008 Kota Star Selatan,25898,21440,0,838
Kedah,P.009 Kedah Tengah,29829,22289,0,885
Kedah,P.010 Perai,28271,21788,0,701
Kedah,P.011 Baling,31820,23215,0,1255
Kedah,P.012 Sungei Patani,27156,20714,0,527
Kedah,P.013 Kulim Utara,24125,18233,0,1484
Kedah,P.014 Kulim-Bandar Bahru,30332,22809,0,887
Kelantan,P.015 Tumpat,25887,21235,0,931
Kelantan,P.016 Kelantan Hilir,25451,20172,0,955
Kelantan,P.017 Pasir Mas Hilir,24644,19244,0,507
Kelantan,P.018 Kota Bharu Hilir,30942,23316,0,802
Kelantan,P.019 Bachok,26274,21873,0,936
Kelantan,P.020 Kota Bharu Hulu,29978,24536,0,965
Kelantan,P.021 Pasir Mas Hulu,20764,16033,0,680
Kelantan,P.022 Pasir Puteh,27042,23208,0,1017
Kelantan,P.023 Tanah Merah,31250,25002,0,1135
Kelantan,P.024 Ulu Kelantan,29479,23150,0,947
Terengganu,P.025 Besut,27437,22834,0,980
Terengganu,P.026 Kuala Trengganu Utara,24739,19218,0,869
Terengganu,P.027 Kuala Trengganu Selatan,24129,17619,0,700
Terengganu,P.028 Dungun,21119,15290,0,613
Terengganu,P.029 Kemaman,22013,16556,0,742
Terengganu,P.030 Trengganu Tengah,25780,20821,0,882
Pulau Pinang,P.031 Bagan,22805,17116,0,403
Pulau Pinang,P.032 Seberang Tengah,35780,29304,0,943
Pulau Pinang,P.033 Seberang Selatan,21198,17909,0,703
Pulau Pinang,P.034 Penang Utara,39131,32650,0,667
Pulau Pinang,P.035 Penang Selatan,40291,34260,0,848
Pulau Pinang,P.036 Tanjong,34763,29165,0,672
Pulau Pinang,P.037 Datok Keramat,31327,26701,0,656
Pulau Pinang,P.038 Seberang Utara,28160,23814,0,1010
Perak,P.039 Ulu Perak,23172,19165,0,768
Perak,P.040 Larut Utara,27041,21306,0,836
Perak,P.041 Krian Laut,25605,20426,0,583
Perak,P.042 Krian Darat,24737,19349,0,1246
Perak,P.043 Larut Selatan,40909,31029,0,1124
Perak,P.044 Hilir Perak,15805,12617,0,514
Perak,P.045 Kuala Kangsar,29714,23273,0,863
Perak,P.046 Sungei Siput,17791,14416,0,639
Perak,P.047 Parit,22296,18128,0,433
Perak,P.048 Bruas,26270,20858,0,1002
Perak,P.049 Sitiawan,23877,19120,0,685
Perak,P.050 Ipoh,33261,25808,0,831
Perak,P.051 Menglembu,45994,36187,0,1117
Perak,P.052 Ulu Kinta,19729,16435,0,567
Perak,P.053 Batu Gajah,23723,19873,0,903
Perak,P.054 Kampar,34215,27846,0,1122
Perak,P.055 Tanjong Malim,20849,16320,0,856
