state,parlimen,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Perlis,P.001 Padang Besar,46096,37432,152,780
Perlis,P.002 Kangar,55938,45703,217,806
Perlis,P.003 Arau,48187,40433,143,690
Kedah,P.004 Langkawi,42697,35250,119,604
Kedah,P.005 Jerlun,54132,44822,162,723
Kedah,P.006 Kubang Pasu,73881,61452,348,770
Kedah,P.007 Padang Terap,46644,39932,155,854
Kedah,P.008 Pokok Sena,86892,71910,291,869
Kedah,P.009 Alor Setar,80272,65096,284,881
Kedah,P.010 Kuala Kedah,97753,80555,277,1111
Kedah,P.011 Pendang,74867,63371,173,952
Kedah,P.012 Jerai,79976,66920,172,1012
Kedah,P.013 Sik,50385,42772,115,729
Kedah,P.014 Merbok,87782,72708,250,1108
Kedah,P.015 Sungai Petani,112577,93847,424,889
Kedah,P.016 Baling,107213,92128,228,1388
Kedah,P.017 Padang Serai,84834,71157,246,827
Kedah,P.018 Kulim-Bandar Baharu,66587,55390,153,894
Kelantan,P.019 Tumpat,110924,88733,746,1402
Kelantan,P.020 Pengkalan Chepa,75384,60862,736,739
Kelantan,P.021 Kota Bharu,88708,68306,648,689
Kelantan,P.022 Pasir Mas,71222,55319,536,1232
Kelantan,P.023 Rantau Panjang,66115,49639,441,825
Kelantan,P.024 Kubang Kerian,82018,64867,704,735
Kelantan,P.025 Bachok,92606,75945,833,1148
Kelantan,P.026 Ketereh,65238,54404,516,781
Kelantan,P.027 Tanah Merah,73172,59598,490,986
Kelantan,P.028 Pasir Puteh,85411,69745,672,923
Kelantan,P.029 Machang,68387,56320,496,801
Kelantan,P.030 Jeli,47470,39627,466,400
Kelantan,P.031 Kuala Krai,70348,56278,430,861
Kelantan,P.032 Gua Musang,52524,41206,322,948
Terengganu,P.033 Besut,86627,72323,485,903
Terengganu,P.034 Setiu,86247,73673,451,1244
Terengganu,P.035 Kuala Nerus,83663,73211,379,727
Terengganu,P.036 Kuala Terengganu,103611,87786,436,767
Terengganu,P.037 Marang,104898,92046,336,1028
Terengganu,P.038 Hulu Terengganu,73487,63428,211,871
Terengganu,P.039 Dungun,90506,76706,406,886
Terengganu,P.040 Kemaman,107593,92007,377,1126
Pulau Pinang,P.041 Kepala Batas,60523,53127,110,715
Pulau Pinang,P.042 Tasek Gelugor,60850,52890,297,689
Pulau Pinang,P.043 Bagan,71583,60642,92,463
Pulau Pinang,P.044 Permatang Pauh,81789,70686,200,658
Pulau Pinang,P.045 Bukit Mertajam,88998,75977,177,1109
Pulau Pinang,P.046 Batu Kawan,65394,55479,99,675
Pulau Pinang,P.047 Nibong Tebal,73383,63199,160,860
Pulau Pinang,P.048 Bukit Bendera,75069,60429,211,512
Pulau Pinang,P.049 Tanjong,49586,40130,56,347
Pulau Pinang,P.050 Jelutong,76991,64584,198,720
Pulau Pinang,P.051 Bukit Gelugor,91595,76489,256,528
Pulau Pinang,P.052 Bayan Baru,90780,75884,273,762
Pulau Pinang,P.053 Balik Pulau,59086,50564,157,631
Perak,P.054 Gerik,35903,28032,126,595
Perak,P.055 Lenggong,29752,23719,109,405
Perak,P.056 Larut,49453,40470,128,722
Perak,P.057 Parit Buntar,51860,43347,91,536
Perak,P.058 Bagan Serai,59293,48381,261,865
Perak,P.059 Bukit Gantang,69873,57867,243,761
Perak,P.060 Taiping,90729,71297,462,1092
Perak,P.061 Padang Rengas,30996,25698,102,315
Perak,P.062 Sungai Siput,55002,43662,122,814
Perak,P.063 Tambun,107763,88920,1010,960
Perak,P.064 Ipoh Timor,91486,71726,462,1023
Perak,P.065 Ipoh Barat,84874,66852,472,878
Perak,P.066 Batu Gajah,81399,63804,284,733
Perak,P.067 Kuala Kangsar,36954,30701,134,511
Perak,P.068 Beruas,79794,61617,341,1009
Perak,P.069 Parit,35910,29547,132,425
Perak,P.070 Kampar,69436,53567,214,858
Perak,P.071 Gopeng,99167,80532,446,853
Perak,P.072 Tapah,47128,37113,179,760
Perak,P.073 Pasir Salak,54671,44508,168,895
Perak,P.074 Lumut,67157,55042,316,1081
Perak,P.075 Bagan Datuk,47309,37796,176,814
Perak,P.076 Teluk Intan,66487,54601,204,742
Perak,P.077 Tanjong Malim,68468,55613,265,1051
Pahang,P.078 Cameron Highlands,32048,25326,171,790
Pahang,P.079 Lipis,35294,28666,112,462
Pahang,P.080 Raub,57723,46971,180,766
Pahang,P.081 Jerantut,63609,51414,224,941
Pahang,P.082 Indera Mahkota,77208,64612,269,622
Pahang,P.083 Kuantan,62696,52167,199,798
Pahang,P.084 Paya Besar,55135,44942,171,671
Pahang,P.085 Pekan,88899,72308,301,1393
Pahang,P.086 Maran,41036,33363,156,482
Pahang,P.087 Kuala Krau,47264,39102,178,613
Pahang,P.088 Temerloh,75081,62204,289,865
Pahang,P.089 Bentong,67359,56173,284,783
Pahang,P.090 Bera,58711,48339,267,767
Pahang,P.091 Rompin,61918,50905,251,917
Selangor,P.092 Sabak Bernam,40863,34023,108,565
Selangor,P.093 Sungai Besar,48739,41878,108,564
Selangor,P.094 Hulu Selangor,100990,86798,267,1310
Selangor,P.095 Tanjong Karang,47198,41184,155,531
Selangor,P.096 Kuala Selangor,69397,60843,126,996
Selangor,P.097 Selayang,116176,99450,495,953
Selangor,P.098 Gombak,141112,120548,573,933
Selangor,P.099 Ampang,91737,77539,381,608
Selangor,P.100 Pandan,101319,86514,223,517
Selangor,P.101 Hulu Langat,102363,89577,401,929
Selangor,P.102 Bangi,178790,157933,492,1114
Selangor,P.103 Puchong,96437,84357,212,667
Selangor,P.104 Subang,146422,126883,568,610
Selangor,P.105 Petaling Jaya,140920,116597,350,968
Selangor,P.106 Damansara,164322,137639,492,867
Selangor,P.107 Sungai Buloh,90707,78874,237,686
Selangor,P.108 Shah Alam,107316,94241,334,664
