state,parlimen,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Perlis,P.001 Kangar,53634,41114,789,1450
Perlis,P.002 Arau,45463,35233,37,1094
Kedah,P.003 Jerlun-Langkawi,46489,36427,31,1281
Kedah,P.004 Kubang Pasu,52341,40659,89,1270
Kedah,P.005 Padang Terap,44957,35422,35,1482
Kedah,P.006 Kota Setar,45042,33816,0,737
Kedah,P.007 Alor Setar,59144,41824,129,1402
Kedah,P.008 Kuala Kedah,43669,32931,25,717
Kedah,P.009 Pendang,46952,38820,52,865
Kedah,P.010 Jerai,37171,27482,18,620
Kedah,P.011 Merbok,50657,37617,786,1176
Kedah,P.012 Sik,45671,35438,8,1126
Kedah,P.013 Baling,42945,33519,48,720
Kedah,P.014 Sungai Petani,52783,38462,0,1077
Kedah,P.015 Padang Serai,44102,32559,71,1314
Kedah,P.016 Kulim-Bandar Baharu,45399,33699,0,1051
Kelantan,P.017 Tumpat,50838,39015,0,1163
Kelantan,P.018 Pengkalan Chepa,49897,37901,0,706
Kelantan,P.019 Kota Bharu,56244,41379,125,1079
Kelantan,P.020 Pasir Mas,41901,31744,65,837
Kelantan,P.021 Rantau Panjang,41118,31108,35,614
Kelantan,P.022 Nilam Puri,40265,32430,49,802
Kelantan,P.023 Bachok,46416,38145,52,803
Kelantan,P.024 Pasir Puteh,35760,28856,29,590
Kelantan,P.025 Kok Lanas,37190,30134,632,957
Kelantan,P.026 Tanah Merah,39644,33201,269,806
Kelantan,P.027 Machang,31353,25186,37,707
Kelantan,P.028 Kuala Krai,34330,27471,0,634
Kelantan,P.029 Gua Musang,31064,25192,20,475
Terengganu,P.030 Besut,38144,32062,59,701
Terengganu,P.031 Setiu,34183,28829,19,657
Terengganu,P.032 Kuala Nerus,38415,32378,388,875
Terengganu,P.033 Kuala Terengganu,55261,42920,162,1628
Terengganu,P.034 Marang,42706,35875,109,679
Terengganu,P.035 Hulu Terengganu,33541,29108,22,712
Terengganu,P.036 Dungun,42362,34414,48,939
Terengganu,P.037 Kemaman,41781,33943,39,872
Pulau Pinang,P.038 Kepala Batas,31068,24958,27,732
Pulau Pinang,P.039 Tasek Gelugor,35227,28450,569,823
Pulau Pinang,P.040 Bagan,56494,43500,78,790
Pulau Pinang,P.041 Permatang Pauh,40526,31777,37,304
Pulau Pinang,P.042 Bukit Mertajam,54350,43347,417,1098
Pulau Pinang,P.043 Nibong Tebal,43221,34011,21,1160
Pulau Pinang,P.044 Bukit Bendera,57027,42386,76,813
Pulau Pinang,P.045 Tanjong,60888,45509,117,953
Pulau Pinang,P.046 Jelutong,62127,46597,82,841
Pulau Pinang,P.047 Bayan Baru,67582,50420,240,814
Pulau Pinang,P.048 Balik Pulau,50713,38985,204,1043
Perak,P.049 Gerik,34506,25966,1009,814
Perak,P.050 Larut,33470,24192,54,805
Perak,P.051 Parit Buntar,39086,29205,42,987
Perak,P.052 Bagan Serai,38834,27742,43,1053
Perak,P.053 Bukit Gantang,41775,30172,72,893
Perak,P.054 Taiping,62748,45010,368,1076
Perak,P.055 Tasek Chenderoh,32614,22698,50,635
Perak,P.056 Sungai Siput,40499,28077,49,937
Perak,P.057 Tambun,64726,48237,0,1987
Perak,P.058 Pasir Pinji,68551,46393,278,782
Perak,P.059 Ipoh,60460,40311,522,795
Perak,P.060 Batu Gajah,53465,36897,84,901
Perak,P.061 Kuala Kangsar,37659,25926,0,824
Perak,P.062 Beruas,38832,27742,24,803
Perak,P.063 Parit,36484,24897,105,952
Perak,P.064 Gopeng,36347,24728,3,794
Perak,P.065 Kampar,41773,28412,28,768
Perak,P.066 Tapah,38209,26184,318,1057
Perak,P.067 Pasir Salak,38608,27406,100,1034
Perak,P.068 Lumut,59557,43506,2763,1295
Perak,P.069 Bagan Datok,34811,24008,28,1129
Perak,P.070 Telok Intan,49732,34173,77,987
Perak,P.071 Tanjong Malim,48635,34038,82,1296
Pahang,P.072 Lipis,39027,27462,0,1144
Pahang,P.073 Raub,48189,34584,0,1692
Pahang,P.074 Jerantut,36891,28355,1,858
Pahang,P.075 Kuantan,63807,46096,641,1282
Pahang,P.076 Pekan,46823,33414,0,1357
Pahang,P.077 Maran,45819,36592,35,899
Pahang,P.078 Mentekab,38271,28493,251,1212
Pahang,P.079 Bentung,46872,34218,168,1189
Pahang,P.080 Temerluh,47490,37654,1084,1084
Pahang,P.081 Rompin,39808,29787,17,910
Selangor,P.082 Sabak Bernam,33761,23885,26,977
Selangor,P.083 Tanjong Karang,32910,23694,3,1032
Selangor,P.084 Hulu Selangor,46933,34590,284,1610
Selangor,P.085 Kuala Selangor,36695,27547,20,1055
Selangor,P.086 Kapar,53280,39360,0,1511
Selangor,P.087 Selayang,100488,73801,319,2500
Selangor,P.088 Ampang Jaya,89112,66971,204,1509
Selangor,P.089 Hulu Langat,64264,49221,267,2297
Selangor,P.090 Petaling Jaya,98383,66776,195,1161
Selangor,P.091 Puchong,98733,69678,466,1830
Selangor,P.092 Shah Alam,90248,68674,5,1773
Selangor,P.093 Klang,80860,56235,44,1172
Selangor,P.094 Kuala Langat,48369,38171,121,1511
Selangor,P.095 Sepang,48579,37462,52,1063
W.P. Kuala Lumpur,P.096 Kepong,76766,54736,57,385
W.P. Kuala Lumpur,P.097 Batu,90251,64085,922,215
W.P. Kuala Lumpur,P.098 Titiwangsa,64980,45412,1583,1542
W.P. Kuala Lumpur,P.099 Bukit Bintang,66054,41018,97,600
W.P. Kuala Lumpur,P.100 Lembah Pantai,67283,44830,337,541
W.P. Kuala Lumpur,P.101 Seputeh,81644,57213,831,500
W.P. Kuala Lumpur,P.102 Sungai Besi,80856,58315,912,532
Negeri Sembilan,P.103 Jelebu,33282,26730,93,682
Negeri Sembilan,P.104 Jempol,45061,35306,33,1032
Negeri Sembilan,P.105 Tampin,42637,33333,591,1058
Negeri Sembilan,P.106 Kuala Pilah,37480,27994,56,956
Negeri Sembilan,P.107 Seremban,75579,55652,529,1452
Negeri Sembilan,P.108 Rasah,66654,50379,182,1489
Negeri Sembilan,P.109 Telok Kemang,44775,33611,1090,1266
Melaka,P.110 Alor Gajah,36234,28131,140,771
Melaka,P.111 Selandar,37983,28789,52,898
Melaka,P.112 Batu Berendam,77505,60863,0,2369
Melaka,P.113 Kota Melaka,71608,54864,119,1227
Melaka,P.114 Jasin,41729,32591,72,1019
Johor,P.115 Segamat,52628,38845,70,1156
Johor,P.116 Ledang,51374,37641,72,1512
Johor,P.117 Pagoh,35036,26078,25,784
Johor,P.118 Labis,42252,31310,18,1097
Johor,P.119 Mersing,34517,25083,2,858
Johor,P.120 Kluang,74164,56689,747,1384
Johor,P.121 Parit Sulong,56771,42546,47,1598
Johor,P.122 Bakri,47443,35670,114,1207
Johor,P.123 Muar,36070,25819,0,976
Johor,P.124 Sri Gading,41007,30969,4,1135
Johor,P.125 Batu Pahat,59836,44143,0,1764
Johor,P.126 Sungai Bunut,50209,36378,108,2014
Johor,P.127 Senai,65703,50644,46,1775
Johor,P.128 Kota Tinggi,60530,48348,275,1613
Johor,P.129 Tebrau,79636,57613,0,2666
Johor,P.130 Johor Bahru,64933,43990,134,1132
Johor,P.131 Pulai,64590,49140,0,1702
Johor,P.132 Pontian,55472,41687,50,2297
W.P. Labuan,P.133 Labuan,16388,12489,378,165
Sabah,P.134 Marudu,27820,16327,0,146
Sabah,P.135 Bandau,22238,12978,0,151
Sabah,P.136 Kota Belud,30321,21313,0,165
Sabah,P.137 Tuaran,27406,17096,0,140
Sabah,P.138 Kinabalu,20968,14204,0,160
Sabah,P.139 Jambongan,29864,15019,27,174
Sabah,P.140 Sandakan,38761,21031,196,1377
Sabah,P.141 Kinabatangan,27228,10912,2,129
Sabah,P.142 Keningau,19617,0,0,0
Sabah,P.143 Penampang,28548,18374,404,1740
Sabah,P.144 Gaya,35387,19210,77,375
Sabah,P.145 Tanjong Aru,29787,16878,207,173
Sabah,P.146 Papar,23138,16648,35,109
Sabah,P.147 Kimanis,20130,13766,44,120
Sabah,P.148 Limbawang,18416,12711,0,139
Sabah,P.149 Padas,24129,12472,9,791
Sabah,P.150 Pensiangan,17816,9309,42,172
Sabah,P.151 Tawau,37886,23192,299,126
Sabah,P.152 Silam,32015,18860,0,180
Sabah,P.153 Semporna,32139,18623,57,160
Sarawak,P.154 Mas Gading,30110,21253,641,359
Sarawak,P.155 Santubong,18759,13324,68,224
Sarawak,P.156 Petra Jaya,25722,16054,1,287
Sarawak,P.157 Bandar Kuching,64265,45510,233,295
Sarawak,P.158 Padawan,39260,26931,239,579
Sarawak,P.159 Kota Samarahan,23599,17508,655,428
Sarawak,P.160 Serian,27663,18575,59,503
Sarawak,P.161 Batang Sadong,18727,14455,397,194
Sarawak,P.162 Batang Lupar,16145,10818,5,166
Sarawak,P.163 Sri Aman,23807,15067,68,260
Sarawak,P.164 Lubok Antu,14845,0,0,0
Sarawak,P.165 Betong,17700,12361,16,155
Sarawak,P.166 Saratok,21289,16363,189,297
Sarawak,P.167 Kuala Rajang,23498,15433,14,411
Sarawak,P.168 Sarikei,28316,20866,67,243
Sarawak,P.169 Julau,14622,11590,17,266
Sarawak,P.170 Kanowit,16154,11739,15,182
Sarawak,P.171 Lanang,39078,27220,170,213
Sarawak,P.172 Sibu,32371,22711,503,226
Sarawak,P.173 Mukah,25155,15393,71,395
Sarawak,P.174 Selangau,16971,11206,11,235
Sarawak,P.175 Kapit,17854,13935,21,186
Sarawak,P.176 Hulu Rajang,14004,9924,16,315
Sarawak,P.177 Bintulu,29673,18569,22,292
Sarawak,P.178 Miri,53111,33486,240,377
Sarawak,P.179 Baram,22722,12431,14,202
Sarawak,P.180 Bukit Mas,27641,17819,2,281
