state,parlimen,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Johor,P.001 Johore Timur,12196,9116,0,175
Johor,P.002 Johore Bahru Timor,15918,12119,0,112
Johor,P.003 Johore Bahru Barat,15899,11935,0,152
Johor,P.004 Pontian Selatan,18753,15344,0,227
Johor,P.005 Pontian Utara,22341,17641,0,234
Johor,P.006 Kluang Selatan,16880,13444,0,150
Johor,P.007 Kluang Utara,13583,10594,0,79
Johor,P.008 Batu Pahat,21090,15207,0,108
Johor,P.009 Batu Pahat Dalam,22842,17522,0,128
Johor,P.010 Muar Selatan,25706,19634,0,262
Johor,P.011 Muar Pantai,22884,17010,0,126
Johor,P.012 Muar Utara,21510,15561,0,284
Johor,P.013 Muar Dalam,20050,15513,0,237
Johor,P.014 Segamat Utara,15044,12546,0,109
Johor,P.015 Segamat Selatan,15548,12841,0,151
Johor,P.016 Johore Tenggara,10986,0,0,0
Kedah,P.017 Alor Star,22540,17375,0,144
Kedah,P.018 Kuala Kedah,25946,18818,0,244
Kedah,P.019 Kota Star Utara,20053,15412,0,191
Kedah,P.020 Kota Star Selatan,21069,16378,0,185
Kedah,P.021 Kubang Pasu Barat,19303,14218,0,200
Kedah,P.022 Jitra-Padang Terap,22576,17049,0,212
Kedah,P.023 Jerai,24280,17879,0,126
Kedah,P.024 Kedah Tengah,22762,17163,0,223
Kedah,P.025 Sungei Patani,20031,15029,0,170
Kedah,P.026 Baling,23043,17376,0,132
Kedah,P.027 Kulim Utara,19708,15124,0,310
Kedah,P.028 Kulim-Bandar Baharu,23264,16607,0,344
Kelantan,P.029 Ulu Kelantan,22839,17430,0,62
Kelantan,P.030 Tanah Merah,25793,19653,0,127
Kelantan,P.031 Pasir Puteh,26326,19031,0,117
Kelantan,P.032 Bachok,25382,17372,0,231
Kelantan,P.033 Pasir Mas Hilir,21891,15626,0,74
Kelantan,P.034 Pasir Mas Hulu,18364,13227,0,150
Kelantan,P.035 Tumpat,24383,16744,0,115
Kelantan,P.036 Kelantan Hilir,23975,16880,0,115
Kelantan,P.037 Kota Bharu Hilir,24178,15862,0,97
Kelantan,P.038 Kota Bharu Hulu,27421,18882,0,358
Melaka,P.039 Bandar Malacca,22337,17956,0,122
Melaka,P.040 Malacca Tengah,23495,18477,0,187
Melaka,P.041 Malacca Utara,22930,18594,0,183
Melaka,P.042 Malacca Selatan,24975,20317,0,188
Negeri Sembilan,P.043 Jelebu-Jempol,20910,15418,0,183
