state,parlimen,ballot_order,name,candidate_uid,party,party_uid,votes
Perlis,P.001 Kangar,1,Shaari Bin Jusoh,838,BN,25,17612
Perlis,P.001 Kangar,2,Haji Ahmad Bin Long,1094,PAS,3,8750
Perlis,P.002 Arau,1,Syed Hassan Bin Syed Mohamad,841,BN,25,13150
Perlis,P.002 Arau,2,Hussain Bin Abdul Rahman,1095,BEBAS,1,2906
Perlis,P.002 Arau,3,Haji Mahamood Bin Haji Mohd. Nor,1096,PAS,3,8223
Kedah,P.003 Jerlun-Langkawi,1,Sanusi Bin Junid,851,BN,25,13099
Kedah,P.003 Jerlun-Langkawi,2,Hassim Bin Othman,1097,PAS,3,11850
Kedah,P.004 Kubang Pasu,1,Dr Mahathir Bin Mohamad,375,BN,25,18198
Kedah,P.004 Kubang Pasu,2,Halim Bin Arshat,1098,PAS,3,9953
Kedah,P.005 Padang Terap,1,Syed Ahmad Bin Syed Mahmud Shahabudin,98,BN,25,14747
Kedah,P.005 Padang Terap,2,Datuk Mohd Asri Bin Haji Muda,1099,PAS,3,12000
Kedah,P.006 Kuala Kedah,1,Senu Bin Abdul Rahman,369,BN,25,14907
Kedah,P.006 Kuala Kedah,2,Ali @ Fadzil Bin Md. Noor,1100,PAS,3,14028
Kedah,P.006 Kuala Kedah,3,Ya'Acob @ Salleh Bin Abdullah,1101,BEBAS,1,308
Kedah,P.007 Alor Setar,1,Oo Gin Sun,847,BN,25,14620
Kedah,P.007 Alor Setar,2,Ramlee Bin Karim,1102,PAS,3,9525
Kedah,P.007 Alor Setar,3,Chang Boon Hoe,1103,BEBAS,1,6453
Kedah,P.007 Alor Setar,4,Shanmugaiah A/L Chelliah,1104,DAP,18,2828
Kedah,P.008 Kota Setar,1,Abu Bakar Umar,849,PAS,3,13626
Kedah,P.008 Kota Setar,2,Ghazali Bin Ahmad,1105,BN,25,10991
Kedah,P.008 Kota Setar,3,Kasim Bin Ahmad,573,BEBAS,1,222
Kedah,P.009 Ulu Muda,1,Hashim Bin Endut,1106,BN,25,11195
Kedah,P.009 Ulu Muda,2,Harun Bin Jusoh,1107,PAS,3,10097
Kedah,P.009 Ulu Muda,3,Mohd. Zabidi Bin Lebai Ahmad,1108,BEBAS,1,266
Kedah,P.010 Baling,1,Mohd. Napi @ Nakhai Bin Haji Ahmad,1109,PAS,3,13623
Kedah,P.010 Baling,2,Datuk Haji Shafie Bin Haji Abdullah,1110,BN,25,13332
Kedah,P.010 Baling,3,Abu Bakar Bin Haji Sarda,1111,BEBAS,1,1161
Kedah,P.011 Jerai,1,Ismail Bin Arshad,1112,BN,25,13654
Kedah,P.011 Jerai,2,Hussein Bin Abu Bakar,1113,PAS,3,10469
Kedah,P.012 Kuala Muda,1,Haji Mohamed Khir Bin Johari,852,BN,25,17761
Kedah,P.012 Kuala Muda,2,Ghazali Bin Haji Din,1114,PAS,3,8243
Kedah,P.013 Sungai Petani,1,Wan Zainab Binti M.A. Bakar,853,BN,25,24422
Kedah,P.013 Sungai Petani,2,Abdul Majib Bin Jamaludin,1115,PAS,3,9738
Kedah,P.014 Padang Serai,1,Lim Kiam Hoon @ Lim Ah Ying,1116,BN,25,14579
Kedah,P.014 Padang Serai,2,Khatib Shorbaini Bin Haji Hassan,588,PAS,3,7897
Kedah,P.015 Kulim-Bandar Baharu,1,Abdul Kadir Bin Haji Sheikh Fadzir,1117,BN,25,16360
Kedah,P.015 Kulim-Bandar Baharu,2,Abdul Aziz Bin H. Kassim,856,BN,25,6351
Kelantan,P.016 Tumpat,1,Tengku Noor Asiah Binti Tengku Ahmed,857,BN,25,14460
Kelantan,P.016 Tumpat,2,Wan Mat,1118,PAS,3,10206
Kelantan,P.017 Pengkalan Chepa,1,Ustaz Nik Aziz,859,PAS,3,11897
Kelantan,P.017 Pengkalan Chepa,2,Cikgu Muhammad Nor Haji Ali,1119,BN,25,9919
Kelantan,P.018 Pasir Mas,1,Che Gu Man,1120,BN,25,12521
Kelantan,P.018 Pasir Mas,2,Haji Zakaria Bin Ismail,1121,PAS,3,10126
Kelantan,P.019 Kota Bharu,1,Tengku Ahmad Rithauddeen Bin Tengku Ismail,592,BN,25,18136
Kelantan,P.019 Kota Bharu,2,Pak Su Haji Lah,1122,PAS,3,9454
Kelantan,P.020 Bachok,1,Che Gu Haji Mohd. Zain,1123,PAS,3,12469
Kelantan,P.020 Bachok,2,Hassan Harun,1124,BN,25,12113
Kelantan,P.021 Rantau Panjang,1,Ibrahim Muhamad,1125,BN,25,9433
Kelantan,P.021 Rantau Panjang,2,Haji Zain,1126,PAS,3,7568
Kelantan,P.022 Nilam Puri,1,Che Gu Mat Haji Ali,1127,BN,25,13031
Kelantan,P.022 Nilam Puri,2,Ustaz Mustapha Bin Ibrahim,1128,PAS,3,10874
Kelantan,P.023 Tanah Merah,1,Hussein Bin Mahmood,1129,BN,25,10448
Kelantan,P.023 Tanah Merah,2,Haji Hanafi Bin Haji Daud,1130,PAS,3,8099
Kelantan,P.024 Machang,1,Kassim Ahmed,1131,BN,25,11707
Kelantan,P.024 Machang,2,Haji Wan Ismail Bin Wan Ahmad,871,PAS,3,8465
Kelantan,P.025 Pasir Puteh,1,Wan Najib Bin Wah Mohamad,1132,BN,25,12018
Kelantan,P.025 Pasir Puteh,2,Ustaz Yahya Haji Othman,1133,PAS,3,9580
Kelantan,P.026 Kuala Kerai,1,Dr Nik Hussain,1134,BN,25,9108
Kelantan,P.026 Kuala Kerai,2,Zahari Awang,870,PAS,3,6177
Kelantan,P.027 Ulu Kelantan,1,Tengku Razaleigh Bin Mohd. Hamzah,872,BN,25,10267
Kelantan,P.027 Ulu Kelantan,2,Ustaz Khaidir,1135,PAS,3,5705
Terengganu,P.028 Besut,1,Haji Zakaria @ Ibrahim Bin Haji Abdul Rahman,1136,BN,25,12949
Terengganu,P.028 Besut,2,Mohd. Daud Bin Abdul Samad,410,PAS,3,10294
Terengganu,P.029 Ulu Nerus,1,Datuk Abdullah Bin Abdul Rahman @ Datuk Bijaya Diraja,1137,BN,25,12436
Terengganu,P.029 Ulu Nerus,2,Lukman Bin Abdul Kadir,874,PAS,3,7565
Terengganu,P.030 Ulu Trengganu,1,Alias Bin Md. Ali,1138,BN,25,12001
Terengganu,P.030 Ulu Trengganu,2,Mohd. Ghazali Bin Haji Ahmad,1139,PAS,3,7631
Terengganu,P.031 Kuala Nerus,1,Datuk Nik Hassan Bin Abdul Rahman,1140,BN,25,0
Terengganu,P.032 Kuala Trengganu,1,Haji Abdul Manan Bin Othman,1141,BN,25,13585
Terengganu,P.032 Kuala Trengganu,2,Mustafa @ Hassan Bin Ali,880,PAS,3,7827
Terengganu,P.032 Kuala Trengganu,3,Kasim Ahmad,1142,PSRM,26,4644
Terengganu,P.033 Dungun,1,Awang Jabar,1143,BN,25,10571
Terengganu,P.033 Dungun,2,Abdul Wahab Bin Yunus,607,PAS,3,8331
Terengganu,P.034 Kemaman,1,Ismail @ Mansor Bin Said,1144,BN,25,14180
Terengganu,P.034 Kemaman,2,Wan Musa Bin Omar,1145,PAS,3,7715
Pulau Pinang,P.035 Kepala Batas,1,Abdullah Bin Haji Ahmad,2655,BN,25,12645
Pulau Pinang,P.035 Kepala Batas,2,Haji Musa Bin Haji Mohd. Yatim,620,PAS,3,7616
Pulau Pinang,P.036 Mata Kuching,1,Dr Lim Liong Seek @ Dr Ling Liong Sik,1147,BN,25,23564
Pulau Pinang,P.036 Mata Kuching,2,Loh Kim Heng,1148,SDP,33,8365
Pulau Pinang,P.036 Mata Kuching,3,Abdul Hamid Bin Abdullah,232,PAS,3,4174
Pulau Pinang,P.037 Permatang Pauh,1,Haji Zabidi Bin Haji Ali,2,PAS,3,11124
Pulau Pinang,P.037 Permatang Pauh,2,Ariffin Bin Haji Daud,887,BN,25,10264
Pulau Pinang,P.038 Bukit Mertajam,1,Seow Hun Khim @ Seow Hung Chuan,1149,DAP,18,13051
Pulau Pinang,P.038 Bukit Mertajam,2,Lee Jong Ki @ Li Jong Ki,1150,BN,25,9910
Pulau Pinang,P.038 Bukit Mertajam,3,S.D. Shaik Adam,1151,PAS,3,4757
Pulau Pinang,P.038 Bukit Mertajam,4,Tan Cheng Bee,245,BEBAS,1,4082
Pulau Pinang,P.038 Bukit Mertajam,5,Mustapha Bin Hussein,611,KITA,29,350
Pulau Pinang,P.039 Nibong Tebal,1,Goh Cheng Teik,893,BN,25,11077
Pulau Pinang,P.039 Nibong Tebal,2,Khoo Soo Kheng,1152,BEBAS,1,7274
Pulau Pinang,P.039 Nibong Tebal,3,Desa Bin Saat,1153,PAS,3,2230
Pulau Pinang,P.039 Nibong Tebal,4,Shanmugam S/O Nadasan,1154,DAP,18,2137
Pulau Pinang,P.039 Nibong Tebal,5,Haji Hanafiah Bin Ahmad,1155,BEBAS,1,428
Pulau Pinang,P.040 Balik Pulau,1,Shamsuri Bin Mat Saleh,895,BN,25,19362
Pulau Pinang,P.040 Balik Pulau,2,Mohideen Abdul Kader S/O Mohd Yusof Rawther,1156,PSRM,26,10044
Pulau Pinang,P.040 Balik Pulau,3,Hussein Bin Derani,1157,PAS,3,1766
Pulau Pinang,P.041 Bukit Bendera,1,Peter Dason S/O Muthu Jaha Dason @ Peter Paul Dason,1158,DAP,18,21864
Pulau Pinang,P.041 Bukit Bendera,2,H'Ng Heong Yong @ H'Ng Hung Yong,1159,BN,25,17954
Pulau Pinang,P.041 Bukit Bendera,3,Oh Keng Seng,681,SDP,33,3022
Pulau Pinang,P.042 Tanjong,1,Wong Hoon Keat,1160,DAP,18,19260
Pulau Pinang,P.042 Tanjong,2,Ooi Oon Seng,1161,BN,25,13412
Pulau Pinang,P.042 Tanjong,3,Hoo Ke Ping @ Hoo Khi Ping,1162,BEBAS,1,7496
Pulau Pinang,P.043 Jelutong,1,Karpal Singh A/L Ram Singh,848,DAP,18,23606
Pulau Pinang,P.043 Jelutong,2,Lee Him,1163,BN,25,19985
Pulau Pinang,P.043 Jelutong,3,Yeap Gim Guan,903,SDP,33,2401
Perak,P.044 Grik,1,Mohamad Tajol Rosli Bin Mohd. Ghazali,1164,BN,25,9441
Perak,P.044 Grik,2,Mohamad Bin Haji Junid,1165,PAS,3,3599
Perak,P.044 Grik,3,Fong Cheng Wee,1166,DAP,18,2977
Perak,P.045 Larut,1,Dato Sri Haji Kamaruddin Bin Haji Mat Isa,909,BN,25,12009
Perak,P.045 Larut,2,Ustaz Abdul Wahab Bin Haji Md. Noor,269,PAS,3,4904
Perak,P.046 Parit Buntar,1,Idris Bin Abdul Rauf,1167,BN,25,12437
Perak,P.046 Parit Buntar,2,Tan Hee Pau @ Tan Kee Pow,1168,DAP,18,9985
Perak,P.046 Parit Buntar,3,Shaarani Bin Haji Mohamed,1169,BEBAS,1,1564
Perak,P.047 Bagan Serai,1,Ramli Bin Omar,446,BN,25,14442
Perak,P.047 Bagan Serai,2,Ibrahim Bin Hassan,1170,PAS,3,7295
Perak,P.047 Bagan Serai,3,Abu Samah Bin Yahya,1171,DAP,18,2643
Perak,P.048 Sungai Siput,1,S. Samy Vellu,1172,BN,25,12930
