state,parlimen,ballot_order,name,candidate_uid,party,party_uid,votes
Perlis,P.001 Padang Besar,1,Dato' Haji Azmi Bin Khalid,2289,BN,25,14386
Perlis,P.001 Padang Besar,2,Mohd Anuar Bin Mohd Tahir,2590,PKR,11,9867
Perlis,P.002 Kangar,1,Tan Sri Hamid,2591,BN,25,16529
Perlis,P.002 Kangar,2,Cik Gu Zainul Abidin Bin Yahaya,2592,PAS,3,12480
Perlis,P.003 Arau,1,Hajjah Mastika Junaidah Bt Husin,2593,BN,25,15297
Perlis,P.003 Arau,2,Dr. Abd. Aziz Bin Hanafi,2594,PAS,3,13711
Kedah,P.004 Langkawi,1,Ir. Hj. Amiruddin B. Hj. Hamzah,2595,PAS,3,5802
Kedah,P.004 Langkawi,2,Dato' Abu Bakar Bin Taib,2596,BN,25,12349
Kedah,P.005 Jerlun,1,Ismail Bin Taib,2597,BN,25,16724
Kedah,P.005 Jerlun,2,Ustaz Drs. Hj. Abu Bakar Hj Othman,2598,PAS,3,17104
Kedah,P.006 Kubang Pasu,1,Subky Abd. Latif,1988,PAS,3,12261
Kedah,P.006 Kubang Pasu,2,Dr. Mahathir Bin Mohamad,375,BN,25,22399
Kedah,P.007 Padang Terap,1,Hj Othman Bin Hj Ismail,2599,BN,25,11165
Kedah,P.007 Padang Terap,2,Zawawi Bin Hj. Ahmad,2600,PAS,3,12218
Kedah,P.008 Pokok Sena,1,Hj. Mahfuz Bin Hj. Omar,2601,PAS,3,27466
Kedah,P.008 Pokok Sena,2,Wan Hanafiah Bin Wan Mat Saman,1980,BN,25,23829
Kedah,P.009 Alor Setar,1,Chor Chee Heung,1981,BN,25,27847
Kedah,P.009 Alor Setar,2,George John A/L K.M. George,1377,DAP,18,13258
Kedah,P.010 Kuala Kedah,1,Haji Mohamad Sabu,2602,PAS,3,23548
Kedah,P.010 Kuala Kedah,2,Dr Fauzi Bin Haji Abdul Hamid,2603,BN,25,22557
Kedah,P.011 Pendang,1,Dato' Haji Othman Bin Haji Abdul,2604,BN,25,19474
Kedah,P.011 Pendang,2,Dato Haji Fadzil Noor,2605,PAS,3,22413
Kedah,P.012 Yan,1,Ustaz Nasharudin Bin Mat Isa,2606,PAS,3,16041
Kedah,P.012 Yan,2,Dato Hj. Badruddin B. Amiruldin,2607,BN,25,15859
Kedah,P.013 Sik,1,Dato' Shahnon Ahmad,2608,PAS,3,13546
Kedah,P.013 Sik,2,Dato' Paduka Dr. Hj. Abdul Hamid Othman,2609,BN,25,13211
Kedah,P.014 Merbok,1,Daim Zainuddin,1990,BN,25,30285
Kedah,P.014 Merbok,2,Mocktar Mansor,2610,PKR,11,14909
Kedah,P.015 Sungai Petani,1,Johari Bin Abdul,2611,PKR,11,19742
Kedah,P.015 Sungai Petani,2,Mahadzir Bin Mohd. Khir,2612,BN,25,31875
Kedah,P.016 Baling,1,Ustaz Taib Azamudden Bin Md. Taib,2613,PAS,3,21468
Kedah,P.016 Baling,2,Bahador Shah Bin Md. Isa,2614,BN,25,20074
Kedah,P.017 Padang Serai,1,Saifuddin Nasution Bin Ismail,2615,PKR,11,18023
Kedah,P.017 Padang Serai,2,Lim Bee Kau,2616,BN,25,27395
Kedah,P.018 Kulim-Bandar Baharu,1,Dato' Abdul Kadir B. Hj. Sheikh Fadzir,1117,BN,25,20764
Kedah,P.018 Kulim-Bandar Baharu,2,Dato' Syeikh Azmi Bin Ahmad,2617,PKR,11,12697
