date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1975-12-10,BY-ELECTION,Sabah,N.27 Kuala Kinabatangan,2,4ZQD3,Abdullah bin Hussain,Abdullah bin Hussain,M,Malay,-1,BERJAYA,034-BERJAYA,BERJAYA,0,ALONE,1853,36.62779205376557,2,lost
1975-12-10,BY-ELECTION,Sabah,N.27 Kuala Kinabatangan,3,ESZ67,Datuk Haji P. Galpam b. Pg. Indar [Pengiran],Galpam bin Indar,M,Bumi Sabah,-1,USNO,014-USNO,USNO,1,PERIKATAN,3148,62.22573631152402,1,won
1976-02-21,BY-ELECTION,Pahang,P.071 Pekan,1,A1MW6,Mohd Najib Abd Razak,Najib bin Abdul Razak,M,Malay,23,BN,001-UMNO,UMNO,3,BN,0,,1,won_uncontested
1976-05-08,BY-ELECTION,Terengganu,P.034 Kemaman,1,CBXK8,Abdul Manan Othman,Abdul Manan bin Othman,M,Malay,-1,BN,001-UMNO,UMNO,3,BN,11204,60.59491617090319,1,won
1976-05-08,BY-ELECTION,Terengganu,P.034 Kemaman,2,QY81K,Kassim Ahmad,Kassim bin Ahmad (Osman),M,Malay,43,PSRM,009-PSRM,PSRM,0,ALONE,7286,39.40508382909681,2,lost
1976-06-12,BY-ELECTION,Kedah,N.23 Lunas,1,8DDFC,Yeoh Boon Leong,Yeoh Boon Leong,M,Chinese,-1,DAP,021-DAP,DAP,0,ALONE,2221,18.405568906936274,3,lost
1976-06-12,BY-ELECTION,Kedah,N.23 Lunas,2,BV3HN,Lim Wan Ming,Lim Wan Ming,M,Chinese,-1,BN,003-MCA,MCA,3,BN,5635,46.697605038534846,1,won
1976-06-12,BY-ELECTION,Kedah,N.23 Lunas,3,32TQ0,Ariffin bin Haji Kechik,Ariffin bin Kechik,M,Malay,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,3212,26.618049225159524,2,lost
1976-06-12,BY-ELECTION,Kedah,N.23 Lunas,4,F8SKY,Ahmad bin Mahamud,Ahmad bin Mahamud,M,Malay,-1,PSRM,009-PSRM,PSRM,0,ALONE,999,8.278776829369354,4,lost_deposit
1976-07-15,BY-ELECTION,Sabah,N.15 Kiulu,1,TQN4Z,Toh Puan Hajjah Rahimah Stephens,Rahimah Stephens (Cecilia June Lutter),F,Bumi Sabah,46,BERJAYA,034-BERJAYA,BERJAYA,0,ALONE,0,,1,won_uncontested
1976-07-15,BY-ELECTION,Sabah,N.31 Papar,1,X17VX,Haji Mohammad Noor bin Hj. Mansoor,Mohd. Noor bin Mansoor,M,Bumi Sabah,33,BERJAYA,034-BERJAYA,BERJAYA,0,ALONE,0,,1,won_uncontested
1976-07-15,BY-ELECTION,Sabah,N.20 Kota Kinabalu,1,0E7Y2,Lim Guan Sing,Lim Guan Sing,M,Chinese,38,BERJAYA,034-BERJAYA,BERJAYA,0,ALONE,0,,1,won_uncontested
1976-07-31,BY-ELECTION,Sabah,N.21 Tanjong Aru,1,GEJY4,M. A. Rahman,M. A. Rahman,M,Bumi Sabah,-1,PEKEMAS,028-PEKEMAS,PEKEMAS,0,ALONE,721,12.052825142092946,2,lost_deposit
1976-07-31,BY-ELECTION,Sabah,N.21 Tanjong Aru,2,JPFP7,Matthew Gonzaga,Matthew Gonzaga,M,Bumi Sabah,-1,BERJAYA,034-BERJAYA,BERJAYA,0,ALONE,5261,87.94717485790706,1,won
1976-07-31,BY-ELECTION,Sabah,N.23 Moyog,1,G04HY,Richard E. Yapp,Richard E. Yapp,M,Chinese,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,237,5.339040324397386,2,lost_deposit
1976-07-31,BY-ELECTION,Sabah,N.23 Moyog,2,2Q4MW,Conrad Mojuntin,Conrad Jomilon Mojuntin,M,Bumi Sabah,28,BERJAYA,034-BERJAYA,BERJAYA,0,ALONE,4202,94.66095967560261,1,won
1976-08-07,BY-ELECTION,Sarawak,N.05 Semariang,1,XNVZN,Bujang b. Pulo,Bujang bin Pulo,M,Malay,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,1675,26.873094817904704,2,lost
1976-08-07,BY-ELECTION,Sarawak,N.05 Semariang,2,GHAYM,Hafsah Harun,Hafsah binti Harun,F,Bumi Sarawak,36,BN,029-PBB,PBB,3,BN,4558,73.1269051820953,1,won
1976-10-30,BY-ELECTION,Johor,N.13 Sri Lalang,1,P45RG,Khalid (Arif) bin Haji Alim,Khalid bin Alim (Arif),M,Malay,-1,DAP,021-DAP,DAP,0,ALONE,2031,21.383449147188884,2,lost
1976-10-30,BY-ELECTION,Johor,N.13 Sri Lalang,2,QDD3A,Sim Geok Peak,Sim Geok Peak,M,Chinese,41,BN,003-MCA,MCA,3,BN,7467,78.61655085281112,1,won
1977-01-29,BY-ELECTION,Sabah,P.125 Kimanis,1,C95JR,Mohd. Hussin bin Aman,Md Hussin bin Aman,M,Bumi Sabah,34,BEBAS,000-BEBAS,BEBAS,0,ALONE,87,0.7579057409181984,3,lost_deposit
1977-01-29,BY-ELECTION,Sabah,P.125 Kimanis,2,8VFGF,A. K. Aliuddin [Pengiran Aliuddin Pengiran Tahir],Pengiran Awangku Aliuddin bin Pengiran Mohd Tahir (A. K. Aliuddin),M,Bumi Sabah,33,BEBAS,000-BEBAS,BEBAS,0,ALONE,7077,61.65171182158725,1,won
1977-01-29,BY-ELECTION,Sabah,P.125 Kimanis,3,6R2TN,Haji Karim Ghani,Abdul Karim bin Abdul Ghani,M,Bumi Sabah,37,BN,014-USNO,USNO,3,BN,4315,37.590382437494554,2,lost
1977-02-05,BY-ELECTION,Johor,N.25 Bandar Penggaram,1,M3FWY,Othman bin Ludin,Othman bin Ludin,M,Malay,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,1661,10.798335717071902,3,lost_deposit
1977-02-05,BY-ELECTION,Johor,N.25 Bandar Penggaram,2,0HNYP,Lim Tong Keng,Lim Tong Keng,M,Chinese,38,BN,003-MCA,MCA,3,BN,11764,76.47900143024314,1,won
1977-02-05,BY-ELECTION,Johor,N.25 Bandar Penggaram,3,SHVTS,Quek Swee Siang,Quek Swee Siang,M,Chinese,-1,DAP,021-DAP,DAP,0,ALONE,1957,12.722662852684957,2,lost
1977-02-24,BY-ELECTION,Johor,P.108 Panti,1,WZHX2,Saadun Muhammad Noh,Saadun bin Muhammad Noh,M,Malay,-1,BN,001-UMNO,UMNO,3,BN,0,,1,won_uncontested
1977-06-11,BY-ELECTION,Sarawak,N.31 Balingian,1,0B529,Lingie ak Balong,Linggie anak Balong,M,Bumi Sarawak,25,BEBAS,000-BEBAS,BEBAS,0,ALONE,1964,39.14690053817022,2,lost
1977-06-11,BY-ELECTION,Sarawak,N.31 Balingian,2,HMR9V,Wan Habib Syed Mahmud,Wan Habib bin Syed Mahmud,M,Bumi Sarawak,41,BN,029-PBB,PBB,3,BN,3053,60.85309946182977,1,won
1977-06-16,BY-ELECTION,Pulau Pinang,N.02 Bertam,1,GRX00,Abdul Rahman Abbas,Abdul Rahman bin Abbas,M,Malay,39,BN,001-UMNO,UMNO,3,BN,0,,1,won_uncontested
1977-07-30,BY-ELECTION,Sabah,P.127 Keningau,1,0D7ZB,Bittie Basingau,Bittie anak Basingau,F,Bumi Sabah,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,2451,22.566982782432557,2,lost
1977-07-30,BY-ELECTION,Sabah,P.127 Keningau,2,S3QD6,Harris Salleh,Harris bin Mohd Salleh,M,Bumi Sabah,47,BN,034-BERJAYA,BERJAYA,3,BN,8410,77.43301721756744,1,won
1977-11-05,BY-ELECTION,Johor,N.16 Parit Jawa,1,3TY1M,Haji Ahmad bin Abd. Rahman,Ahmad bin Abdul Rahman,M,Malay,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,3066,27.62908894295756,2,lost
1977-11-05,BY-ELECTION,Johor,N.16 Parit Jawa,2,545CE,Shahadan bin Sabtu,Shahadan bin Sabtu,M,Malay,-1,BN,001-UMNO,UMNO,3,BN,8031,72.37091105704245,1,won
1977-11-19,BY-ELECTION,Perak,N.02 Kenering,1,ZS8NF,Mohd. Tajul Rosli bin Ghazali,Mohd Tajol Rosli bin Mohd Ghazali,M,Malay,31,BN,001-UMNO,UMNO,3,BN,5172,65.76805696846388,1,won
1977-11-19,BY-ELECTION,Perak,N.02 Kenering,2,RSDBA,Ibrahim bin Singgeh,Ibrahim bin Singgeh,M,Malay,59,DAP,021-DAP,DAP,0,ALONE,1977,25.139877924720246,2,lost
1977-11-19,BY-ELECTION,Perak,N.02 Kenering,3,78M3X,A. Yusop b. A. Mat Husin,A. Yusop bin A. Mat Husin,M,Malay,-1,PEKEMAS,028-PEKEMAS,PEKEMAS,0,ALONE,715,9.09206510681587,3,lost_deposit
1977-12-20,BY-ELECTION,Sabah,N.04 Matunggong,1,APA66,Amil bin Matinggi,Amil bin Matinggi,M,Bumi Sabah,-1,BN,034-BERJAYA,BERJAYA,3,BN,0,,1,won_uncontested
1977-12-31,BY-ELECTION,Negeri Sembilan,N.04 Jempol,1,HR6AF,Jaafar bin Harun,Jaafar bin Harun,M,Malay,-1,BN,001-UMNO,UMNO,3,BN,3008,84.39955106621774,1,won
1977-12-31,BY-ELECTION,Negeri Sembilan,N.04 Jempol,2,VVDBF,Yusof Bador,Yusof bin Bador,M,Malay,46,DAP,021-DAP,DAP,0,ALONE,556,15.600448933782268,2,lost
1978-01-28,BY-ELECTION,Johor,P.112 Pontian,1,RWVZ2,Osman bin Sapian,Osman bin Sapian,M,Malay,27,PSRM,009-PSRM,PSRM,0,ALONE,3032,11.280181554373303,2,lost_deposit
1978-01-28,BY-ELECTION,Johor,P.112 Pontian,2,T0KW0,Ikhwan bin Nasir,Ikhwan bin Nasir,M,Malay,-1,BN,001-UMNO,UMNO,3,BN,21811,81.145131887347,1,won
1978-01-28,BY-ELECTION,Johor,P.112 Pontian,3,0G9MW,Ah Thiam,Yeo Lin Thiam (Ah Thiam),M,Chinese,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,2036,7.574686558279698,3,lost_deposit
1978-05-06,BY-ELECTION,Selangor,N.30 Morib,1,E408F,Er Chue Chin,Er Chue Chin,M,Malay,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,538,8.2680190564008,3,lost_deposit
1978-05-06,BY-ELECTION,Selangor,N.30 Morib,2,PANR7,Ismail bin Sekak,Ismail bin Sekak,M,Malay,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,2229,34.25541724296911,2,lost
