date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1959-05-20,SE-01,Perak,N.11 Sungei Manik,1,6F4FF,Yahya Shubban Bin Haji Harun,Yahya Shubban bin Harun,M,Malay,-1,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2178,54.32776253429783,1,won
1959-05-20,SE-01,Perak,N.11 Sungei Manik,2,9WTHR,Haji Rais Kadri,Rais bin Kadri,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,1831,45.67223746570217,2,lost
1959-05-20,SE-01,Perak,N.12 Bandar,1,DAGM1,Hajii Ahmad Razali Bin Hj. Mohamed,Ahmad Razali bin Mohamed,M,Malay,41,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3151,63.96670726755988,1,won
1959-05-20,SE-01,Perak,N.12 Bandar,2,GR6PA,Haji Ahmad Bin Haji Mohd. Ali,Ahmad bin Mohd Ali,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,1775,36.03329273244012,2,lost
1959-05-20,SE-01,Perak,N.13 Senggang,1,M5WRK,Shaari Bin Piai,Shaari bin Piai,M,Malay,-1,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,5169,54.59442332065906,1,won
1959-05-20,SE-01,Perak,N.13 Senggang,2,QKJTW,Abdul Mutalib Bin Haji Mohd.,Abdul Mutalib bin Mohd. Tahir,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,2359,24.915504858470637,2,lost
1959-05-20,SE-01,Perak,N.13 Senggang,3,V18X5,Saedah Binti Mohd. Hashim,Saedah binti Mohd. Hashim,F,Malay,-1,SF,009-PR,PR,2,SF,1940,20.490071820870302,3,lost
1959-05-20,SE-01,Perak,N.14 Padang Rengas,1,YEYZE,Abas Bin Mohd. Adam,Abas bin Mohd. Adam,M,Malay,-1,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,4931,56.9268067420919,1,won
1959-05-20,SE-01,Perak,N.14 Padang Rengas,2,1WN1Q,Abdul Rashid Bin Abdul Karim,Abdul Rashid bin Abdul Karim,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,2181,25.178942507504043,2,lost
1959-05-20,SE-01,Perak,N.14 Padang Rengas,3,5AB40,Talib Bin Hussain,Talib bin Hussain,M,Malay,-1,SF,009-PR,PR,2,SF,1550,17.894250750404066,3,lost
