date,election,state,seat,voters_total,ballots_issued,ballots_not_returned,votes_rejected,votes_valid,majority,voter_turnout,majority_perc,votes_rejected_perc,ballots_not_returned_perc
1987-04-15,SE-05,Sarawak,N.43 Subis,18754,12756,0,222,12534,718,68.01748960221819,5.728418701132918,1.7403574788334901,0.0
1987-04-15,SE-05,Sarawak,N.44 Miri,31786,20585,0,154,20431,8273,64.76121562952243,40.492389016690325,0.7481175613310663,0.0
1987-04-15,SE-05,Sarawak,N.45 Marudi,12438,7633,0,97,7536,1054,61.368387200514555,13.98619957537155,1.2707978514345604,0.0
1987-04-15,SE-05,Sarawak,N.46 Telang Usan,9449,5601,0,79,5522,234,59.27611387448407,4.2375950742484605,1.4104624174254599,0.0
1987-04-15,SE-05,Sarawak,N.47 Limbang,13738,9213,0,130,9083,387,67.0621633425535,4.260706814928988,1.4110496038206883,0.0
1987-04-15,SE-05,Sarawak,N.48 Lawas,9940,7179,0,50,7129,810,72.22334004024145,11.362042362182635,0.6964758322886195,0.0
1991-09-27,SE-06,Sarawak,N.01 Tanjung Datu,13167,10233,353,97,9783,794,77.71701982228298,8.11611979965246,0.9817813765182186,3.4496237662464577
1991-09-27,SE-06,Sarawak,N.02 Tasik Biru,16943,12634,242,153,12239,4167,74.56766806350706,34.04689925647521,1.2346675274370562,1.9154662023112237
1991-09-27,SE-06,Sarawak,N.03 Pantai Damai,11011,0,0,0,0,0,,,,
1991-09-27,SE-06,Sarawak,N.04 Sejingkat,7748,5741,0,85,5656,3346,74.09654104284978,59.15841584158416,1.4805782964640306,0.0
1991-09-27,SE-06,Sarawak,N.05 Tupong,14730,10275,137,156,9982,5761,69.75560081466395,57.713884992987374,1.5387650424146775,1.3333333333333335
1991-09-27,SE-06,Sarawak,N.06 Satok,10992,6870,196,96,6578,4522,62.5,68.74429917908179,1.438417740485466,2.8529839883551675
1991-09-27,SE-06,Sarawak,N.07 Padungan,19101,13574,25,67,13482,4190,71.06434218103765,31.07847500370865,0.49450143922060674,0.1841756298806542
