date,election,state,seat,area_name,voters_total,ballots_issued,ballots_not_returned,votes_rejected,votes_valid,majority,voter_turnout,majority_perc,votes_rejected_perc,ballots_not_returned_perc
2008-08-26,BY-ELECTION,Pulau Pinang,P.044 Permatang Pauh,Permatang Pauh,58459,47268,10,447,46811,879,80.85666877640739,1.8777637734720471,0.94587159845952,0.021155961750021154
2009-01-17,BY-ELECTION,Terengganu,P.036 Kuala Terengganu,Kuala Terengganu,80229,64102,109,665,63328,35486,79.89878971444242,56.03524507326932,1.0391761598924882,0.17004149636516802
2009-04-07,BY-ELECTION,Kedah,N.25 Bukit Selambau,Bukit Selambau,35140,24611,9,415,24187,2403,70.03699487763232,9.935089097449042,1.6868547272579464,0.03656901385559303
2009-04-07,BY-ELECTION,Perak,P.059 Bukit Gantang,Bukit Gantang,55562,41467,18,456,40993,2789,74.63194269464742,6.803600614739101,1.1001471688098627,0.04340801118962066
2009-04-07,BY-ELECTION,Sarawak,N.29 Batang Air,Batang Air,8006,6030,11,59,5960,1854,75.3185111166625,31.107382550335572,0.9802292739657751,0.1824212271973466
2009-05-31,BY-ELECTION,Pulau Pinang,N.12 Penanti,Penanti,15384,7102,1,107,6994,5558,46.16484659386376,79.46811552759509,1.50683002394029,0.014080540692762602
2009-07-14,BY-ELECTION,Kelantan,N.41 Manek Urai,Manek Urai,12293,10754,6,117,10631,65,87.4806800618238,0.6114194337315398,1.0885746185336806,0.055793193230425885
2009-08-25,BY-ELECTION,Pulau Pinang,N.11 Permatang Pasir,Permatang Pasir,20290,14769,1,83,14685,4551,72.78955150320355,30.990806945863124,0.5620260021668473,0.0067709391292572274
2009-10-11,BY-ELECTION,Negeri Sembilan,N.31 Bagan Pinang,Bagan Pinang,13664,11170,356,223,10591,5435,81.7476580796253,51.317156075913516,2.062141668207879,3.1871083258728734
2010-04-25,BY-ELECTION,Selangor,P.094 Hulu Selangor,Hulu Selangor,64500,49067,67,731,48269,1725,76.07286821705426,3.5737222648076403,1.4918367346938775,0.13654798540770782
2010-05-16,BY-ELECTION,Sarawak,P.212 Sibu,Sibu,54695,38111,192,395,37524,398,69.67912971935277,1.060654514444089,1.0416941375036262,0.5037915562436042
2010-11-04,BY-ELECTION,Kelantan,N.45 Galas,Galas,11553,9593,3,132,9458,1190,83.03470959923828,12.581941213787271,1.3764337851929094,0.03127280308558324
2010-11-04,BY-ELECTION,Sabah,P.185 Batu Sapi,Batu Sapi,25582,15613,23,372,15218,6359,61.031193808146355,41.78604284400053,2.386144964720975,0.1473131364888234
2011-01-30,BY-ELECTION,Johor,N.05 Tenang,Tenang,14676,9833,3,139,9691,3707,67.00054510765877,38.25198637911464,1.4140386571719228,0.03050950879690837
2011-03-06,BY-ELECTION,Pahang,N.28 Kerdau,Kerdau,8999,7487,1,90,7396,2724,83.19813312590287,36.83071930773391,1.2022441891530857,0.013356484573260316
2011-03-06,BY-ELECTION,Melaka,N.27 Merlimau,Merlimau,10679,8417,1,135,8281,3643,78.81824140837156,43.99227146479894,1.6040874524714828,0.011880717595342758
