date,election,state,seat,area_name,ballot_order,name,candidate_uid,party,party_uid,votes,votes_perc,result
1955-07-25,GE-00,Perak,P.015 Kinta Utara,Kinta Utara,3,K. R. R. Choudhary,40,LPOM,6,357,3.465010191206445,lost_deposit
1955-07-25,GE-00,Perak,P.015 Kinta Utara,Kinta Utara,4,Mohamed Ramly Bin Abdullah,41,PML,7,214,2.077064932543919,lost_deposit
1955-07-25,GE-00,Perak,P.016 Kinta Selatan,Kinta Selatan,1,Too Joon Hing,42,PERIKATAN,2,11611,83.09002433090025,won
1955-07-25,GE-00,Perak,P.016 Kinta Selatan,Kinta Selatan,2,Mohd Baki Bin Haji Daud,43,NAP,5,1689,12.086732503220267,lost_deposit
1955-07-25,GE-00,Perak,P.016 Kinta Selatan,Kinta Selatan,3,Mohamed Idrid Bin Hakim,44,BEBAS,1,401,2.8696149992843853,lost_deposit
1955-07-25,GE-00,Perak,P.016 Kinta Selatan,Kinta Selatan,4,Zaharie Bin Hassan,45,PPP,4,273,1.953628166595105,lost_deposit
1955-07-25,GE-00,Selangor,P.017 Kuala Lumpur Barat,Kuala Lumpur Barat,1,Ong Yoke Lin,46,PERIKATAN,2,4667,66.14229024943312,won
1955-07-25,GE-00,Selangor,P.017 Kuala Lumpur Barat,Kuala Lumpur Barat,2,Abdullah Bin Ibrahim,47,BEBAS,1,1371,19.43027210884354,lost
1955-07-25,GE-00,Selangor,P.017 Kuala Lumpur Barat,Kuala Lumpur Barat,3,Tan Tuan Boon,48,LPOM,6,1018,14.427437641723357,lost
1955-07-25,GE-00,Selangor,P.018 Kuala Lumpur Timor,Kuala Lumpur Timor,1,Cheah Ewe Keat,49,PERIKATAN,2,6790,66.41236306729265,won
1955-07-25,GE-00,Selangor,P.018 Kuala Lumpur Timor,Kuala Lumpur Timor,2,Mohd. Salleh Bin Hakim,50,BEBAS,1,2431,23.77738654147105,lost
1955-07-25,GE-00,Selangor,P.018 Kuala Lumpur Timor,Kuala Lumpur Timor,3,Abdul Wahab Bin Abdul Majid,51,BEBAS,1,1003,9.810250391236307,lost_deposit
