date,election,state,seat,area_name,ballot_order,name,candidate_uid,party,party_uid,votes,votes_perc,result
2018-05-09,SE-14,Perlis,N.05 Santan,Santan,1,Cikgu Mazlina Che Yob,21398,PKR,11,2122,29.144348303804424,lost
2018-05-09,SE-14,Perlis,N.05 Santan,Santan,2,Azizan Bin Sulaiman,21399,BN,25,3071,42.17827221535504,won
2018-05-09,SE-14,Perlis,N.05 Santan,Santan,3,Baharuddin Ahmad,3632,PAS,3,2088,28.677379480840543,lost
2018-05-09,SE-14,Perlis,N.06 Bintong,Bintong,1,Dato' Seri Azlan Man,21401,BN,25,3986,40.59063136456212,won
2018-05-09,SE-14,Perlis,N.06 Bintong,Bintong,2,Meri @ Mokhtar Che Kassim,21402,PKR,11,3139,31.965376782077392,lost
2018-05-09,SE-14,Perlis,N.06 Bintong,Bintong,3,Abd Jamil,21403,PAS,3,2695,27.44399185336049,lost
2018-05-09,SE-14,Perlis,N.07 Sena,Sena,1,Asrul Nizan Bin Abd Jalil,21404,PKR,11,4177,42.07292506043513,won
2018-05-09,SE-14,Perlis,N.07 Sena,Sena,2,Ustaz Fakhrul Anwar,21405,PAS,3,1888,19.016921837228043,lost
2018-05-09,SE-14,Perlis,N.07 Sena,Sena,3,Azihani Binti Ali,21406,BN,25,3863,38.91015310233683,lost
2018-05-09,SE-14,Perlis,N.08 Indera Kayangan,Indera Kayangan,1,Gan Ay Ling,21407,PKR,11,5023,57.709099264705884,won
2018-05-09,SE-14,Perlis,N.08 Indera Kayangan,Indera Kayangan,2,Cikgu Wan Hassan,21408,PAS,3,1835,21.082261029411764,lost
2018-05-09,SE-14,Perlis,N.08 Indera Kayangan,Indera Kayangan,3,Chuah Tian Hee,21409,BN,25,1846,21.208639705882355,lost
2018-05-09,SE-14,Perlis,N.09 Kuala Perlis,Kuala Perlis,1,Cikgu Azam,21410,BN,25,2999,36.05433998557345,lost
2018-05-09,SE-14,Perlis,N.09 Kuala Perlis,Kuala Perlis,2,Azam Karap,21411,PKR,11,4253,51.130079345996634,won
2018-05-09,SE-14,Perlis,N.09 Kuala Perlis,Kuala Perlis,3,Mohamad Fuat,21412,PAS,3,1066,12.81558066842991,lost
2018-05-09,SE-14,Perlis,N.10 Kayang,Kayang,1,Hamizan Bin Hassan,21413,BN,25,3275,41.09159347553325,won
2018-05-09,SE-14,Perlis,N.10 Kayang,Kayang,2,Hj. Radzi Hassan,21414,PAS,3,1855,23.27478042659975,lost
2018-05-09,SE-14,Perlis,N.10 Kayang,Kayang,3,Abdul Hannaan Bin Khairy,21415,PKR,11,2840,35.633626097867,lost
2018-05-09,SE-14,Perlis,N.11 Pauh,Pauh,1,Ameir Lawyer,21416,PKR,11,3421,37.71775082690188,lost
2018-05-09,SE-14,Perlis,N.11 Pauh,Pauh,2,Ustaz Idris,21417,PAS,3,2085,22.98787210584344,lost
2018-05-09,SE-14,Perlis,N.11 Pauh,Pauh,3,Rozieana Binti Ahmad,21418,BN,25,3564,39.294377067254686,won
2018-05-09,SE-14,Perlis,N.12 Tambun Tulang,Tambun Tulang,1,Ismail Kasim (Chu),3285,BN,25,4005,45.82379862700229,won
2018-05-09,SE-14,Perlis,N.12 Tambun Tulang,Tambun Tulang,2,Maton Bin Din,21420,PKR,11,2825,32.32265446224256,lost
2018-05-09,SE-14,Perlis,N.12 Tambun Tulang,Tambun Tulang,3,Dr. Abu Bakar,21421,PAS,3,1910,21.85354691075515,lost
2018-05-09,SE-14,Perlis,N.13 Guar Sanji,Guar Sanji,1,Ustaz Mohd Ridzuan,21422,PAS,3,3199,42.19203376417832,won
2018-05-09,SE-14,Perlis,N.13 Guar Sanji,Guar Sanji,2,Kak Ida,21423,PKR,11,1512,19.941967818517544,lost
2018-05-09,SE-14,Perlis,N.13 Guar Sanji,Guar Sanji,3,Afifi Bin Osman,21424,BN,25,2871,37.86599841730414,lost
2018-05-09,SE-14,Perlis,N.14 Simpang Empat,Simpang Empat,1,Russele Eizan,19844,PAS,3,2446,35.275454283242,lost
2018-05-09,SE-14,Perlis,N.14 Simpang Empat,Simpang Empat,2,Nurulhisham Bin Yaakob,19845,BN,25,2528,36.458032881453704,won
2018-05-09,SE-14,Perlis,N.14 Simpang Empat,Simpang Empat,3,Dr. Hakim,21427,PKR,11,1960,28.266512835304297,lost
2018-05-09,SE-14,Perlis,N.15 Sanglang,Sanglang,1,Ustaz Zolkharnain Abidin,4624,PKR,11,1379,18.944910015111965,lost
2018-05-09,SE-14,Perlis,N.15 Sanglang,Sanglang,2,Cikgu Shukri,19848,PAS,3,2971,40.816046160186836,won
2018-05-09,SE-14,Perlis,N.15 Sanglang,Sanglang,3,Che Zaidi Bin Saidin,21430,BN,25,2929,40.23904382470119,lost
2022-11-19,SE-15,Perlis,N.01 Titi Tinggi,Titi Tinggi,1,Khaw Hock Kong,19815,WARISAN,74,81,0.8448941274642746,lost_deposit
2022-11-19,SE-15,Perlis,N.01 Titi Tinggi,Titi Tinggi,2,Teh Seng Chuan,19816,PH,73,1512,15.771357045999792,lost
2022-11-19,SE-15,Perlis,N.01 Titi Tinggi,Titi Tinggi,3,Izizam Bin Ibrahim (Adi),22881,PN,12,5601,58.422864295400025,won
2022-11-19,SE-15,Perlis,N.01 Titi Tinggi,Titi Tinggi,4,Zahidi Bin Zainul Abidin,3630,BEBAS,1,425,4.433086471263168,lost_deposit
2022-11-19,SE-15,Perlis,N.01 Titi Tinggi,Titi Tinggi,5,Shahril (Caen),22883,PEJUANG,93,152,1.585480337957651,lost_deposit
2022-11-19,SE-15,Perlis,N.01 Titi Tinggi,Titi Tinggi,6,Teh Chai Aan,21387,BN,25,1816,18.942317721915096,lost
2022-11-19,SE-15,Perlis,N.02 Beseri,Beseri,1,Cikgu Mat Safar,22885,PH,73,1684,19.108135708612277,lost
2022-11-19,SE-15,Perlis,N.02 Beseri,Beseri,2,Haziq Asyraf Dun,22886,PN,12,4040,45.8413707023715,won
2022-11-19,SE-15,Perlis,N.02 Beseri,Beseri,3,Ruzaini Bin Rais,21390,BN,25,2993,33.96119369113809,lost
2022-11-19,SE-15,Perlis,N.02 Beseri,Beseri,4,Shamim Nordin,22888,WARISAN,74,96,1.0892998978781345,lost_deposit
2022-11-19,SE-15,Perlis,N.03 Chuping,Chuping,1,Natthavuth Seng,22889,PH,73,1602,14.659590043923865,lost
2022-11-19,SE-15,Perlis,N.03 Chuping,Chuping,2,Hj Saad Bin Seman,22890,PN,12,5873,53.74267935578331,won
2022-11-19,SE-15,Perlis,N.03 Chuping,Chuping,3,Asmaiza Binti Ahmad,19820,BN,25,3453,31.597730600292827,lost
2022-11-19,SE-15,Perlis,N.04 Mata Ayer,Mata Ayer,1,Wan Badariah Binti Wan Saad,22892,PN,12,4419,58.060701616081985,won
2022-11-19,SE-15,Perlis,N.04 Mata Ayer,Mata Ayer,2,Amran Bin Kamarudin,22893,PH,73,794,10.432269084220207,lost_deposit
2022-11-19,SE-15,Perlis,N.04 Mata Ayer,Mata Ayer,3,Siti Berenee,22894,BN,25,2398,31.50702929969781,lost
2022-11-19,SE-15,Perlis,N.05 Santan,Santan,1,Cikgu Mazlina,22895,PH,73,1030,12.224068359838595,lost_deposit
2022-11-19,SE-15,Perlis,N.05 Santan,Santan,2,Ustaz Azmir,22896,PN,12,4752,56.39686684073107,won
2022-11-19,SE-15,Perlis,N.05 Santan,Santan,3,Azizan Sulaiman,22897,BN,25,2644,31.379064799430335,lost
2022-11-19,SE-15,Perlis,N.06 Bintong,Bintong,1,Shazwan Bin Suban,22898,PEJUANG,93,157,1.2341797028535493,lost_deposit
2022-11-19,SE-15,Perlis,N.06 Bintong,Bintong,2,Azlan Man,22899,BN,25,2996,23.551607578020594,lost
2022-11-19,SE-15,Perlis,N.06 Bintong,Bintong,3,Cikgu Azhari,20496,PH,73,2029,15.950003930508608,lost
2022-11-19,SE-15,Perlis,N.06 Bintong,Bintong,4,Datuk Hashim Suboh,22901,BEBAS,1,157,1.2341797028535493,lost_deposit
2022-11-19,SE-15,Perlis,N.06 Bintong,Bintong,5,Mohamad Khair Bin Mohd Noor,4141,WARISAN,74,57,0.448077981290779,lost_deposit
2022-11-19,SE-15,Perlis,N.06 Bintong,Bintong,6,Fakhrul Anwar Bin Ismail,22903,PN,12,7325,57.581951104472914,won
2022-11-19,SE-15,Perlis,N.07 Sena,Sena,1,Saiful Daniel Mohd Yusof,22904,BN,25,2619,22.28367225389262,lost
2022-11-19,SE-15,Perlis,N.07 Sena,Sena,2,Asrul Nizan Hj Abd Jalil,22905,PH,73,3356,28.554411639581385,lost
2022-11-19,SE-15,Perlis,N.07 Sena,Sena,3,Marzita Binti Mansor,22906,PN,12,5556,47.273036671488136,won
2022-11-19,SE-15,Perlis,N.07 Sena,Sena,4,Mohd Faizal Bin Yunus,22907,PEJUANG,93,222,1.8888794350378626,lost_deposit
2022-11-19,SE-15,Perlis,N.08 Indera Kayangan,Indera Kayangan,1,Gan Ay Ling,21407,PH,73,4830,46.41999038923594,won
2022-11-19,SE-15,Perlis,N.08 Indera Kayangan,Indera Kayangan,2,Lim Weng Khee,22909,BN,25,1882,18.087457952907258,lost
2022-11-19,SE-15,Perlis,N.08 Indera Kayangan,Indera Kayangan,3,Pramoot A/L Puan,22910,PN,12,2957,28.419029312830368,lost
2022-11-19,SE-15,Perlis,N.08 Indera Kayangan,Indera Kayangan,4,Atan Bin Jasin,3809,WARISAN,74,736,7.07352234502643,lost_deposit
2022-11-19,SE-15,Perlis,N.09 Kuala Perlis,Kuala Perlis,1,Azahar Bin Ahmad,22912,BEBAS,1,2197,20.590440487347703,lost
2022-11-19,SE-15,Perlis,N.09 Kuala Perlis,Kuala Perlis,2,Abu Bakar Bin Hamzah,316,PN,12,3207,30.056232427366446,won
2022-11-19,SE-15,Perlis,N.09 Kuala Perlis,Kuala Perlis,3,Muhamad Hairi Bin Noordin,22914,WARISAN,74,68,0.6373008434864105,lost_deposit
2022-11-19,SE-15,Perlis,N.09 Kuala Perlis,Kuala Perlis,4,Kamarudin Bin Malek,22915,BN,25,2145,20.103092783505154,lost
2022-11-19,SE-15,Perlis,N.09 Kuala Perlis,Kuala Perlis,5,Azam Karap,21411,PH,73,3053,28.612933458294282,lost
2022-11-19,SE-15,Perlis,N.10 Kayang,Kayang,1,Ustaz Asrul Aimran,22917,PN,12,6178,58.305020762551905,won
2022-11-19,SE-15,Perlis,N.10 Kayang,Kayang,2,Hamizan Bin Hassan,21413,BN,25,2917,27.52925632314081,lost
2022-11-19,SE-15,Perlis,N.10 Kayang,Kayang,3,Wan Kharizal,18204,PH,73,1400,13.21253303133258,lost
2022-11-19,SE-15,Perlis,N.10 Kayang,Kayang,4,Khairuddin Bin Abdullah,14011,WARISAN,74,101,0.9531898829747074,lost_deposit
2022-11-19,SE-15,Perlis,N.11 Pauh,Pauh,1,Cikgu Megat Hashirat,22921,PN,12,4924,44.18124719605204,won
2022-11-19,SE-15,Perlis,N.11 Pauh,Pauh,2,Azhar Bin Ameir,19841,PH,73,2369,21.2561686855092,lost
2022-11-19,SE-15,Perlis,N.11 Pauh,Pauh,3,Syed Atif,22923,BN,25,2695,24.18124719605204,lost
2022-11-19,SE-15,Perlis,N.11 Pauh,Pauh,4,Mohd Khalid Ahmad,22924,WARISAN,74,1157,10.381336922386721,lost_deposit
2022-11-19,SE-15,Perlis,N.12 Tambun Tulang,Tambun Tulang,1,Zikri,22925,PN,12,5456,53.684935550526426,won
2022-11-19,SE-15,Perlis,N.12 Tambun Tulang,Tambun Tulang,2,Ismail Bin Kasim (Chu),3285,BN,25,2971,29.233494047033354,lost
2022-11-19,SE-15,Perlis,N.12 Tambun Tulang,Tambun Tulang,3,Syahmi Suhaimi,22927,PH,73,1554,15.290760602184395,lost
2022-11-19,SE-15,Perlis,N.12 Tambun Tulang,Tambun Tulang,4,Maton Bin Din,21420,PEJUANG,93,182,1.79080980025583,lost_deposit
2022-11-19,SE-15,Perlis,N.13 Guar Sanji,Guar Sanji,1,Hasparizal Bin Hassan,22929,PH,73,601,6.638683309400199,lost_deposit
2022-11-19,SE-15,Perlis,N.13 Guar Sanji,Guar Sanji,2,Ustaz Ridzuan Bin Hashim,20026,PN,12,6717,74.1963989837623,won
2022-11-19,SE-15,Perlis,N.13 Guar Sanji,Guar Sanji,3,Abdul Malik Bin Abdullah,10057,PEJUANG,93,119,1.314481387385397,lost_deposit
2022-11-19,SE-15,Perlis,N.13 Guar Sanji,Guar Sanji,4,Rozieana Binti Ahmad,21418,BN,25,1616,17.850436319452115,lost
2022-11-19,SE-15,Perlis,N.14 Simpang Empat,Simpang Empat,1,Nurulhisham,22933,BN,25,1380,17.005545286506468,lost
2022-11-19,SE-15,Perlis,N.14 Simpang Empat,Simpang Empat,2,Amran Bin Darus,22934,PH,73,1111,13.690696241528036,lost
2022-11-19,SE-15,Perlis,N.14 Simpang Empat,Simpang Empat,3,Izhar Sudin,22935,PEJUANG,93,73,0.8995686999383858,lost_deposit
2022-11-19,SE-15,Perlis,N.14 Simpang Empat,Simpang Empat,4,Dr. Hakim Saad,22936,WARISAN,74,35,0.43130006161429446,lost_deposit
2022-11-19,SE-15,Perlis,N.14 Simpang Empat,Simpang Empat,5,Haji Razali Saad,22937,PN,12,5388,66.39556377079484,won
2022-11-19,SE-15,Perlis,N.14 Simpang Empat,Simpang Empat,6,Ammar Bin Hassan,9725,BEBAS,1,128,1.5773259396179913,lost_deposit
2022-11-19,SE-15,Perlis,N.15 Sanglang,Sanglang,1,Zainudin Bin Yom,3634,WARISAN,74,408,4.9598832968636035,lost_deposit
2022-11-19,SE-15,Perlis,N.15 Sanglang,Sanglang,2,Dr. Ahmad Fadhzil Mohamad,22940,PH,73,931,11.317772915147096,lost_deposit
2022-11-19,SE-15,Perlis,N.15 Sanglang,Sanglang,3,Budin,22941,BN,25,1776,21.590080233406272,lost
2022-11-19,SE-15,Perlis,N.15 Sanglang,Sanglang,4,Cikgu Shukri,19848,PN,12,5111,62.132263554583034,won
1959-05-20,SE-01,Kedah,N.01 Alor Star Pekan,Alor Star Pekan,1,Ng Hore Jin,5299,SF,8,843,9.951599575020659,lost_deposit
1959-05-20,SE-01,Kedah,N.01 Alor Star Pekan,Alor Star Pekan,2,Shaik Osman Bin Ibrahim,5300,BEBAS,1,296,3.4942745838743945,lost_deposit
1959-05-20,SE-01,Kedah,N.01 Alor Star Pekan,Alor Star Pekan,3,Haji Laidin Bin Haji Abd. Manan,100,NEG,9,141,1.664502420021249,lost_deposit
1959-05-20,SE-01,Kedah,N.01 Alor Star Pekan,Alor Star Pekan,4,Jais Bin Haji Anuar,604,PAS,3,559,6.598984771573605,lost_deposit
1959-05-20,SE-01,Kedah,N.01 Alor Star Pekan,Alor Star Pekan,5,Dr. Cheah Toon Lok,5303,PERIKATAN,2,6632,78.29063864951009,won
1959-05-20,SE-01,Kedah,N.02 Alor Star Luar,Alor Star Luar,1,K. Karunakaran Nair,5304,PERIKATAN,2,6195,70.34976152623211,won
1959-05-20,SE-01,Kedah,N.02 Alor Star Luar,Alor Star Luar,2,Tunku Burhanudin Bin Tunku Yahya,5305,PAS,3,2611,29.650238473767885,lost
1959-05-20,SE-01,Kedah,N.03 Langkawi,Langkawi,1,Lebai Abdullah Bin Jusoh,5306,PAS,3,2095,20.437030533606475,lost
1959-05-20,SE-01,Kedah,N.03 Langkawi,Langkawi,2,Hanafi Bin Ahmad,5307,NEG,9,403,3.9313237732904107,lost_deposit
1959-05-20,SE-01,Kedah,N.03 Langkawi,Langkawi,3,Haji Ismail Bin Ibrahim,5308,PERIKATAN,2,7753,75.63164569310311,won
1959-05-20,SE-01,Kedah,N.04 Kota Star Barat,Kota Star Barat,1,Haji Mohd. Isa Bin Mohamed,5309,NEG,9,2541,31.29695775341791,lost
1959-05-20,SE-01,Kedah,N.04 Kota Star Barat,Kota Star Barat,2,Mak Guan Pin,5310,PERIKATAN,2,5578,68.70304224658209,won
1959-05-20,SE-01,Kedah,N.05 Langgar-Limbong,Langgar-Limbong,1,Haji Omar Bin Haji Ahmad,5311,PAS,3,4780,61.43958868894601,won
1959-05-20,SE-01,Kedah,N.05 Langgar-Limbong,Langgar-Limbong,2,Abu Bakar Bin Omar,370,PERIKATAN,2,3000,38.56041131105398,lost
1959-05-20,SE-01,Kedah,N.06 Pokok Sena,Pokok Sena,1,Johari Bin Haji Salleh,5313,PERIKATAN,2,3858,62.80319062347387,won
1959-05-20,SE-01,Kedah,N.06 Pokok Sena,Pokok Sena,2,Abd. Majid Bin Abd. Rahman,5314,PAS,3,2285,37.19680937652613,lost
1959-05-20,SE-01,Kedah,N.07 Kangkong-Bukit Raya,Kangkong-Bukit Raya,1,Ismail Bin Ya'Acob,5315,BEBAS,1,216,2.6219956300072833,lost_deposit
1959-05-20,SE-01,Kedah,N.07 Kangkong-Bukit Raya,Kangkong-Bukit Raya,2,Haji Mahmud Bin Haji Abdullah,5316,PAS,3,3102,37.65477057538237,lost
1959-05-20,SE-01,Kedah,N.07 Kangkong-Bukit Raya,Kangkong-Bukit Raya,3,Haji Ali Bin Haji Ismail,5216,PERIKATAN,2,4339,52.670551104637056,won
1959-05-20,SE-01,Kedah,N.07 Kangkong-Bukit Raya,Kangkong-Bukit Raya,4,Haji Rejab Bin Darus,5318,NEG,9,581,7.052682689973294,lost_deposit
1959-05-20,SE-01,Kedah,N.08 Padang,Padang,1,Hashim Bin Abdullah,5319,PAS,3,3299,42.143587123147675,lost
1959-05-20,SE-01,Kedah,N.08 Padang,Padang,2,Syed Ibrahim Bin Syed Kechik,5320,PERIKATAN,2,4529,57.856412876852325,won
1959-05-20,SE-01,Kedah,N.09 Jerlun-Kodiang,Jerlun-Kodiang,1,Haji Shaari Bin Lebai Hamzah,5321,PAS,3,2073,28.883934791695694,lost
1959-05-20,SE-01,Kedah,N.09 Jerlun-Kodiang,Jerlun-Kodiang,2,Yahaya Bin Haji Abd. Jalil,5322,PERIKATAN,2,5104,71.1160652083043,won
1959-05-20,SE-01,Kedah,N.10 Tunjang,Tunjang,1,Lebai Ahmad Bin Osman,5323,PAS,3,2435,36.28912071535023,lost
1959-05-20,SE-01,Kedah,N.10 Tunjang,Tunjang,2,Mustafa Bin Ahmad,404,PERIKATAN,2,4275,63.71087928464978,won
1959-05-20,SE-01,Kedah,N.11 Jitra,Jitra,1,Lebai Isa Bin Haji Muhammad,5325,PAS,3,1714,21.476005513093597,lost
1959-05-20,SE-01,Kedah,N.11 Jitra,Jitra,2,Haji Omar Bin Haji Salleh,5326,PERIKATAN,2,6267,78.5239944869064,won
1959-05-20,SE-01,Kedah,N.12 Padang Terap,Padang Terap,1,Syed Ahmad Bin Syed Mahmud Shahbudin,5327,PERIKATAN,2,5953,67.87139436780298,won
1959-05-20,SE-01,Kedah,N.12 Padang Terap,Padang Terap,2,Haji Ibrahim Bin Haji Hashim,5328,PAS,3,2818,32.12860563219701,lost
1959-05-20,SE-01,Kedah,N.13 Sala,Sala,1,Abd. Hamid Bin Haji Ibrahim,5329,PAS,3,4106,45.97984322508399,lost
1959-05-20,SE-01,Kedah,N.13 Sala,Sala,2,Arshad Bin Ismail,5330,PERIKATAN,2,4824,54.02015677491602,won
1959-05-20,SE-01,Kedah,N.14 Yan-Merbok,Yan-Merbok,1,Haji Nyak Gam Bin Nyak Abdullah,5331,PERIKATAN,2,6717,79.04212755942575,won
1959-05-20,SE-01,Kedah,N.14 Yan-Merbok,Yan-Merbok,2,Haji Nawawi Bin Haji Abd. Rahman,5332,PAS,3,1781,20.957872440574253,lost
1959-05-20,SE-01,Kedah,N.15 Sik-Gurun,Sik-Gurun,1,Azizan Bin Johari,5333,SF,8,787,10.116981617174444,lost_deposit
1959-05-20,SE-01,Kedah,N.15 Sik-Gurun,Sik-Gurun,2,Haji Yahaya Bin Junid,5334,PAS,3,1667,21.429489651626174,lost
1959-05-20,SE-01,Kedah,N.15 Sik-Gurun,Sik-Gurun,3,Hamidah Binti Omar,5335,PERIKATAN,2,5325,68.45352873119938,won
1959-05-20,SE-01,Kedah,N.16 Kota,Kota,1,Mohamed Zahir Bin Ismail,383,PERIKATAN,2,6842,75.73610803630729,won
1959-05-20,SE-01,Kedah,N.16 Kota,Kota,2,Abu Hashim Bin Abdullah,5337,PAS,3,2192,24.263891963692714,lost
1959-05-20,SE-01,Kedah,N.17 Pekan Sungei Patani,Pekan Sungei Patani,1,Osman Bin Darus,1387,PAS,3,374,5.598802395209581,lost_deposit
1959-05-20,SE-01,Kedah,N.17 Pekan Sungei Patani,Pekan Sungei Patani,2,Chin Chin Cheang,5339,PERIKATAN,2,4280,64.07185628742515,won
1959-05-20,SE-01,Kedah,N.17 Pekan Sungei Patani,Pekan Sungei Patani,3,Mansor Tobing,181,SF,8,2026,30.329341317365273,lost
1959-05-20,SE-01,Kedah,N.18 Sungei Patani Luar,Sungei Patani Luar,1,Azahari Bin Md. Taib,584,PERIKATAN,2,6571,78.91197309955567,won
1959-05-20,SE-01,Kedah,N.18 Sungei Patani Luar,Sungei Patani Luar,2,Syed Jan Aljeffri,104,PAS,3,1081,12.981866218325926,lost
1959-05-20,SE-01,Kedah,N.18 Sungei Patani Luar,Sungei Patani Luar,3,C. A. D'Cruz,5343,SF,8,675,8.10616068211841,lost_deposit
1959-05-20,SE-01,Kedah,N.19 Baling Timor,Baling Timor,1,Shafie Bin Haji Abdullah,5344,PERIKATAN,2,8369,85.82709465695825,won
1959-05-20,SE-01,Kedah,N.19 Baling Timor,Baling Timor,2,Haji Hassan Bin Haji Abdul Rasheed,5345,PAS,3,1382,14.172905343041739,lost
1959-05-20,SE-01,Kedah,N.20 Baling Barat,Baling Barat,1,Syed Omar Bin Syed Abdullah Shahabudin,5346,PERIKATAN,2,5456,71.26436781609196,won
1959-05-20,SE-01,Kedah,N.20 Baling Barat,Baling Barat,2,Haji Ahmad Bin Haji Abdul Rahman,1279,PAS,3,2200,28.735632183908045,lost
1959-05-20,SE-01,Kedah,N.21 Sidam,Sidam,1,Haji Yasin Bin Ibrahim,5348,PERIKATAN,2,6074,86.18047673098751,won
1959-05-20,SE-01,Kedah,N.21 Sidam,Sidam,2,Harun Bin Rased,5349,PAS,3,974,13.819523269012485,lost
1959-05-20,SE-01,Kedah,N.22 Lunas,Lunas,1,Mohd. Romli Bin Abdullah,9350,PAS,3,1449,19.792378090424805,lost
1959-05-20,SE-01,Kedah,N.22 Lunas,Lunas,2,Soon Cheng Leong,5351,PERIKATAN,2,5872,80.2076219095752,won
1959-05-20,SE-01,Kedah,N.23 Kulim,Kulim,1,Khatib Shorbaini Bin Haji Hassan,588,PAS,3,811,9.346548346202605,lost_deposit
1959-05-20,SE-01,Kedah,N.23 Kulim,Kulim,2,Tai Kuan Yang,388,PERIKATAN,2,6151,70.88855595251815,won
1959-05-20,SE-01,Kedah,N.23 Kulim,Kulim,3,Choong An Fong,187,SF,8,1715,19.764895701279244,lost
1959-05-20,SE-01,Kedah,N.24 Bandar Bahru,Bandar Bahru,1,Zainuddin Bin Haji Din,5355,PERIKATAN,2,6780,77.47685978745287,won
1959-05-20,SE-01,Kedah,N.24 Bandar Bahru,Bandar Bahru,2,Ghazali Bin Haji Mohamad,5356,PAS,3,1971,22.523140212547137,lost
1964-04-25,SE-02,Kedah,N.01 Jitra,Jitra,1,Haji Omar Haji Salleh,5326,PERIKATAN,2,7974,75.40425531914894,won
1964-04-25,SE-02,Kedah,N.01 Jitra,Jitra,2,Abdul Rahim Bin Hassan,6405,PAS,3,2601,24.595744680851066,lost
1964-04-25,SE-02,Kedah,N.02 Padang Terap,Padang Terap,1,Syed Ahmad Shahabudin,6406,PERIKATAN,2,7594,69.22515952597993,won
1964-04-25,SE-02,Kedah,N.02 Padang Terap,Padang Terap,2,Mohd. Taha Che Wan,6407,PAS,3,3376,30.774840474020053,lost
1964-04-25,SE-02,Kedah,N.03 Jerlun-Kodiang,Jerlun-Kodiang,1,Muhamad Bin Haji Ismail,6408,PAS,3,3378,41.15998537833557,lost
1964-04-25,SE-02,Kedah,N.03 Jerlun-Kodiang,Jerlun-Kodiang,2,Yahaya Bin Haji Jalil,6409,PERIKATAN,2,4829,58.84001462166444,won
1964-04-25,SE-02,Kedah,N.04 Tunjang,Tunjang,1,Mustafa Bin Ahmad,404,PERIKATAN,2,4920,60.66584463625154,won
1964-04-25,SE-02,Kedah,N.04 Tunjang,Tunjang,2,Haji Shafie Bin Mohd. Arof,6411,PAS,3,3190,39.33415536374846,lost
1964-04-25,SE-02,Kedah,N.05 Langgar-Limbong,Langgar-Limbong,1,Abu Bakar Umar,849,PAS,3,3930,42.43144029367307,lost
1964-04-25,SE-02,Kedah,N.05 Langgar-Limbong,Langgar-Limbong,2,Haji Omar Bin Haji Ahmad,5311,PERIKATAN,2,5332,57.56855970632693,won
1964-04-25,SE-02,Kedah,N.06 Pokok Sena,Pokok Sena,1,Ahmad Bin Hassan,4322,PAS,3,3052,33.64939360529217,lost
1964-04-25,SE-02,Kedah,N.06 Pokok Sena,Pokok Sena,2,Hamidah Binti Omar,5335,PERIKATAN,2,6018,66.35060639470782,won
1964-04-25,SE-02,Kedah,N.07 Alor Star Pekan,Alor Star Pekan,1,Tan Hai Loon,6416,PERIKATAN,2,7267,65.23339317773788,won
1964-04-25,SE-02,Kedah,N.07 Alor Star Pekan,Alor Star Pekan,2,Lim Chin Ghee,6417,SF,8,1536,13.788150807899461,lost
1964-04-25,SE-02,Kedah,N.07 Alor Star Pekan,Alor Star Pekan,3,Ong Ah Yong @ Ong Chow Song,6418,PDB,13,2337,20.978456014362656,lost
1964-04-25,SE-02,Kedah,N.08 Alor Star Luar,Alor Star Luar,1,Wan Said Bin Wan Saad,6419,PAS,3,3013,26.457674745345976,lost
1964-04-25,SE-02,Kedah,N.08 Alor Star Luar,Alor Star Luar,2,Abdul Majid Bin Ariffin,18,PDB,13,676,5.93607305936073,lost_deposit
1964-04-25,SE-02,Kedah,N.08 Alor Star Luar,Alor Star Luar,3,Syed Noh Bin Syed Zain,6421,SF,8,354,3.108535300316122,lost_deposit
1964-04-25,SE-02,Kedah,N.08 Alor Star Luar,Alor Star Luar,4,K. Nair,6422,PERIKATAN,2,7345,64.49771689497716,won
1964-04-25,SE-02,Kedah,N.09 Langkawi,Langkawi,1,Omar Bin S. Mohamad,6423,PERIKATAN,2,9848,77.7269139700079,won
1964-04-25,SE-02,Kedah,N.09 Langkawi,Langkawi,2,Wan Basor Ali,6424,PAS,3,2822,22.273086029992108,lost
1964-04-25,SE-02,Kedah,N.10 Kota Star Barat,Kota Star Barat,1,Ooi Eng Hong,6425,PERIKATAN,2,6454,66.96410043577505,won
1964-04-25,SE-02,Kedah,N.10 Kota Star Barat,Kota Star Barat,2,Haron Bin Omar,577,PAS,3,3184,33.03589956422494,lost
1964-04-25,SE-02,Kedah,N.11 Kangkong-Bukit Raya,Kangkong-Bukit Raya,1,Haji Ali Bin Haji Ismail,5216,PERIKATAN,2,5318,53.54409987917841,won
1964-04-25,SE-02,Kedah,N.11 Kangkong-Bukit Raya,Kangkong-Bukit Raya,2,Ismail Bin Kassim,6428,PAS,3,4614,46.45590012082159,lost
1964-04-25,SE-02,Kedah,N.12 Padang,Padang,1,Syed Ibrahim Bin Syed Kechik,5320,PERIKATAN,2,6567,63.77585704574148,won
1964-04-25,SE-02,Kedah,N.12 Padang,Padang,2,Haji Awang @ Haji Ramli Bin Haji Senik,6430,PAS,3,3730,36.22414295425852,lost
1964-04-25,SE-02,Kedah,N.13 Sik-Gurun,Sik-Gurun,1,Sudin Bin Wahab,6431,PAS,3,4131,36.528428685118044,lost
1964-04-25,SE-02,Kedah,N.13 Sik-Gurun,Sik-Gurun,2,Sharimah Binti Mahamud,6432,PERIKATAN,2,7178,63.47157131488195,won
