state,dun,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Pahang,N.01 Tanah Rata,19505,15017,59,305
Pahang,N.02 Jelai,12543,10310,103,471
Pahang,N.03 Padang Tengku,14057,11667,53,173
Pahang,N.04 Cheka,12585,9943,33,232
Pahang,N.05 Benta,8652,7058,32,105
Pahang,N.06 Batu Talam,15188,12362,50,347
Pahang,N.07 Tras,28912,23267,118,276
Pahang,N.08 Dong,13623,11362,54,210
Pahang,N.09 Tahan,15197,12424,45,227
Pahang,N.10 Damak,25164,20306,77,402
Pahang,N.11 Pulau Tawar,23248,18679,106,295
Pahang,N.12 Beserah,38721,32384,148,331
Pahang,N.13 Semambu,38487,32215,114,307
Pahang,N.14 Teruntum,24746,20207,276,163
Pahang,N.15 Tanjung Lumpur,25120,21097,102,316
Pahang,N.16 Inderapura,12830,11053,51,225
Pahang,N.17 Sungai Lembing,14729,11842,70,181
Pahang,N.18 Lepar,17582,14063,35,238
Pahang,N.19 Panching,22824,19041,103,255
Pahang,N.20 Pulau Manis,20389,16709,69,309
Pahang,N.21 Peramu Jaya,32291,26834,103,403
Pahang,N.22 Bebar,14968,11970,49,329
Pahang,N.23 Chini,21251,16798,69,232
Pahang,N.24 Luit,12284,9975,32,157
Pahang,N.25 Kuala Sentul,13360,10564,44,178
Pahang,N.26 Chenor,15392,12823,71,199
Pahang,N.27 Jenderak,10569,8610,41,234
Pahang,N.28 Kerdau,11974,10058,36,148
Pahang,N.29 Jengka,24721,20443,82,230
Pahang,N.30 Mentakab,25431,21118,99,250
Pahang,N.31 Lanchang,23706,19348,81,428
Pahang,N.32 Kuala Semantan,25944,21742,115,246
Pahang,N.33 Bilut,19101,16049,47,201
Pahang,N.34 Ketari,23506,19706,174,236
Pahang,N.35 Sabai,11971,9891,19,166
Pahang,N.36 Pelangai,12781,10542,59,158
Pahang,N.37 Guai,19353,15904,89,269
Pahang,N.38 Triang,20083,16414,55,369
Pahang,N.39 Kemayan,19275,15978,84,387
Pahang,N.40 Bukit Ibam,22806,18944,90,310
Pahang,N.41 Muadzam Shah,20206,16521,80,338
Pahang,N.42 Tioman,18906,15442,82,229
