state,dun,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Perlis,N.01 Titi Tinggi,0,0,0,0
Perlis,N.02 Chuping,6715,5208,0,319
Perlis,N.03 Bintong,5726,4618,0,281
Perlis,N.04 Bandar Kangar,7406,5491,0,245
Perlis,N.05 Paya,6683,5237,0,248
Perlis,N.06 Oran,0,0,0,0
Perlis,N.07 Kuala Perlis,5307,4146,0,245
Perlis,N.08 Kayang,5416,4124,0,209
Perlis,N.09 Utan Aji,5228,4223,0,193
Perlis,N.10 Bandar Arau,5681,4265,0,200
Perlis,N.11 Kurong Anai,5929,4558,0,283
Perlis,N.12 Sanglang,5386,4215,0,320
