state,dun,area_name,ballot_order,name,candidate_uid,party,votes
Selangor,N.01 Sungai Air Tawar,Sungai Air Tawar,1,Abd. Jalil Bin Bajuri,15591,PAS,2814
Selangor,N.01 Sungai Air Tawar,Sungai Air Tawar,2,May Yasir Bin Ikhsan,15592,BN,3989
Selangor,N.02 Sabak,Sabak,1,Dato' Raja Ideris Bin Raja Ahmad,15593,BN,3679
Selangor,N.02 Sabak,Sabak,2,Ustaz Hj. Mohamad B. Hj. Yunos,15594,PAS,3064
Selangor,N.03 Sungai Besar,Sungai Besar,1,Dato' Hj Ramli Bin Hj Norani,15595,BN,4510
Selangor,N.03 Sungai Besar,Sungai Besar,2,Ustaz Sallehen Bin Mukhyi,15596,PAS,4666
Selangor,N.04 Sungai Panjang,Sungai Panjang,1,Ustaz Hj. Mohd Fadzin Bin Taslimin,15597,PAS,4078
Selangor,N.04 Sungai Panjang,Sungai Panjang,2,Dr. Mohamad Khir Bin Toyo,15598,BN,4243
Selangor,N.05 Sekincan,Sekincan,1,Chia Kim Lem,14433,BN,5772
Selangor,N.05 Sekincan,Sekincan,2,Saari Bin Kiban,15600,BEBAS,492
Selangor,N.05 Sekincan,Sekincan,3,Ng Suee Lim,15601,DAP,3728
Selangor,N.06 Sungai Burung,Sungai Burung,1,Dato' Dr. Hasan Bin Mohamed,15602,PAS,5591
Selangor,N.06 Sungai Burung,Sungai Burung,2,Dato' Md Aini Taib,15603,BN,5500
Selangor,N.07 Hulu Bernam,Hulu Bernam,1,Dato' Mohamed Idris Abu Bakar,15604,BN,7856
Selangor,N.07 Hulu Bernam,Hulu Bernam,2,Cikgu Mazalan Bin Hussin,15605,PAS,3536
Selangor,N.08 Kuala Kubu Baharu,Kuala Kubu Baharu,1,Ch'Ng Toh Eng,3448,BN,7907
Selangor,N.08 Kuala Kubu Baharu,Kuala Kubu Baharu,2,K. C. Cheah,986,DAP,3090
Selangor,N.09 Batang Kali,Batang Kali,1,Dato' Hj. Zainal Abidin Btn Hj. Sakom,15608,BN,9048
Selangor,N.09 Batang Kali,Batang Kali,2,Shariffuddin Bin Budin,1824,PKR,4141
Selangor,N.10 Permatang,Permatang,1,Mohd. Yahya Bin Mat Sahri,15610,PKR,5665
Selangor,N.10 Permatang,Permatang,2,Dato' Sri (Dr) Hj. Abu Hassan Omar,15611,BN,8621
Selangor,N.11 Ijuk,Ijuk,1,Krishnan A/L Veeriah,15612,DAP,3401
Selangor,N.11 Ijuk,Ijuk,2,Hj. Mohd Yusof Bin Ab. Rahim,15613,BEBAS,1245
Selangor,N.11 Ijuk,Ijuk,3,Dato K. Sivalingam,15614,BN,6567
Selangor,N.12 Jeram,Jeram,1,Ust. Hj. Abd Muhaimin Mohammad Shahar,15615,PAS,4274
Selangor,N.12 Jeram,Jeram,2,Mesrah Bt Selamat,14445,BN,7225
Selangor,N.13 Rawang,Rawang,1,Dato' Tang See Hang,15617,BN,11518
Selangor,N.13 Rawang,Rawang,2,Surder Singh,15618,BEBAS,114
Selangor,N.13 Rawang,Rawang,3,Lim Ching How,15619,DAP,6880
Selangor,N.14 Selayang Baharu,Selayang Baharu,1,Idrus Wan Chik,15620,PKR,9784
Selangor,N.14 Selayang Baharu,Selayang Baharu,2,Dato' Ahmad Bhari Abd Rahman,15621,BN,12629
Selangor,N.15 Paya Jaras,Paya Jaras,1,Abdul Majid Hasan,15622,PAS,8499
Selangor,N.15 Paya Jaras,Paya Jaras,2,Dato' Hj Sulaiman Samat,15623,BN,11626
Selangor,N.16 Sungai Tua,Sungai Tua,1,V. Jagarasah,15624,BN,7950
Selangor,N.16 Sungai Tua,Sungai Tua,2,Razali Ramli,15625,PKR,7501
Selangor,N.17 Gombak Setia,Gombak Setia,1,Abdul Ghani Bin Mohd Yatim,15626,BN,10868
Selangor,N.17 Gombak Setia,Gombak Setia,2,Ustaz Dato' Hj. Ismail Bin Kamus,15627,PAS,11821
Selangor,N.18 Hulu Kelang,Hulu Kelang,1,Dato' Haji Fuad Bin Dato' Hassan,15628,BN,8039
Selangor,N.18 Hulu Kelang,Hulu Kelang,2,Azmin Ali,3428,PKR,9185
Selangor,N.19 Ampang,Ampang,1,Yap Kok Heng,12173,DAP,9650
Selangor,N.19 Ampang,Ampang,2,Dato' Hj Mufti B. Suib,13294,BN,10776
Selangor,N.20 Pandan,Pandan,1,Hj. Mad Aris Bin Haji Mad Yusof,15632,BN,14367
Selangor,N.20 Pandan,Pandan,2,Abdullah Sani B. Abdul Hamid,15633,PKR,12333
Selangor,N.21 Lembah Jaya,Lembah Jaya,1,Iskandar Abdul Samad,3080,PAS,12013
Selangor,N.21 Lembah Jaya,Lembah Jaya,2,Hj. Ismail Bin Kijo,15635,BN,14267
Selangor,N.22 Dusun Tua,Dusun Tua,1,Md. Fadzil Bin Hj. Hassan,15636,PAS,5930
Selangor,N.22 Dusun Tua,Dusun Tua,2,Dato' Dr. Zainal Abidin Bin Ahmad,15637,BN,9518
Selangor,N.23 Kajang,Kajang,1,Choong Tow Chong,14465,BN,10885
Selangor,N.23 Kajang,Kajang,2,Dr. Shafie Bin Abu Bakar,15639,PAS,10922
Selangor,N.24 Beranang,Beranang,1,Ahamad Kuris B Mohd Nor,15640,BN,8760
Selangor,N.24 Beranang,Beranang,2,Zainudin Bin Lapoh,15641,PAS,6108
Selangor,N.25 Damansara Utama,Damansara Utama,1,Ahmad Nor,2054,DAP,12531
Selangor,N.25 Damansara Utama,Damansara Utama,2,Lim Choon Kin,15643,BN,16378
Selangor,N.26 Kampung Tunku,Kampung Tunku,1,Dr. Wong Sai Hou,15644,BN,11658
Selangor,N.26 Kampung Tunku,Kampung Tunku,2,T. Kannan,15645,DAP,8922
Selangor,N.27 Bukit Gasing,Bukit Gasing,1,Hew Kuan Yau,15646,DAP,10750
Selangor,N.27 Bukit Gasing,Bukit Gasing,2,Dr. Lim Thuang Seng,15647,BN,11771
Selangor,N.28 Taman Medan,Taman Medan,1,Supian Bin Md Nordin,12181,PAS,10135
Selangor,N.28 Taman Medan,Taman Medan,2,Norkhaila Binti Jamaluddin,15649,BN,13258
Selangor,N.29 Pucung,Pucung,1,Dato' Haji Salim B. Diman,15650,BN,17861
