state,dun,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Negeri Sembilan,N.01 Chennah,12119,10051,3,166
Negeri Sembilan,N.02 Pertang,10400,8392,37,176
Negeri Sembilan,N.03 Sungai Lui,15739,12783,87,236
Negeri Sembilan,N.04 Klawang,10264,8531,74,97
Negeri Sembilan,N.05 Serting,22146,18063,106,324
Negeri Sembilan,N.06 Palong,18170,14807,86,246
Negeri Sembilan,N.07 Jeram Padang,12337,9844,24,391
Negeri Sembilan,N.08 Bahau,19469,15831,40,200
Negeri Sembilan,N.09 Lenggeng,18636,15850,76,236
Negeri Sembilan,N.10 Nilai,24657,21025,53,208
Negeri Sembilan,N.11 Lobak,19101,15795,39,152
Negeri Sembilan,N.12 Temiang,11184,9234,20,120
Negeri Sembilan,N.13 Sikamat,20799,17858,125,136
Negeri Sembilan,N.14 Ampangan,15791,13443,52,166
Negeri Sembilan,N.15 Juasseh,10091,8388,29,135
Negeri Sembilan,N.16 Seri Menanti,8154,6800,23,113
Negeri Sembilan,N.17 Senaling,8076,6678,33,107
Negeri Sembilan,N.18 Pilah,13589,11141,54,194
Negeri Sembilan,N.19 Johol,9891,8150,2,230
Negeri Sembilan,N.20 Labu,17808,15006,59,266
Negeri Sembilan,N.21 Bukit Kepayang,26610,22685,77,196
Negeri Sembilan,N.22 Rahang,17084,13821,15,264
Negeri Sembilan,N.23 Mambau,20771,17752,62,156
Negeri Sembilan,N.24 Seremban Jaya,20565,17376,96,168
Negeri Sembilan,N.25 Paroi,36213,31180,173,273
Negeri Sembilan,N.26 Chembong,18116,15330,98,213
Negeri Sembilan,N.27 Rantau,0,0,0,0
Negeri Sembilan,N.28 Kota,13564,11316,71,169
Negeri Sembilan,N.29 Chuah,12083,10305,19,165
Negeri Sembilan,N.30 Lukut,17298,14689,29,167
Negeri Sembilan,N.31 Bagan Pinang,15821,12767,143,267
Negeri Sembilan,N.32 Linggi,15588,12858,47,298
Negeri Sembilan,N.33 Sri Tanjung,14422,11952,30,159
Negeri Sembilan,N.34 Gemas,22318,17920,91,283
Negeri Sembilan,N.35 Gemencheh,18705,15017,71,249
Negeri Sembilan,N.36 Repah,19742,16580,56,189
