state,dun,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Perak,N.01 Pengkalan Hulu,13298,9684,476,347
Perak,N.02 Temengor,12055,8608,368,257
Perak,N.03 Kenering,11326,7740,4,206
Perak,N.04 Selama,17781,12120,49,258
Perak,N.05 Batu Kurau,18138,12328,50,239
Perak,N.06 Titi Serong,21771,15373,56,374
Perak,N.07 Kuala Kurau,20684,14750,25,395
Perak,N.08 Alor Pongsu,18776,12471,94,505
Perak,N.09 Gunong Semanggol,23044,15858,81,560
Perak,N.10 Kuala Sapetang,19043,13155,15,579
Perak,N.11 Changkat Jering,18802,12883,56,371
Perak,N.12 Trong,14923,9716,19,303
Perak,N.13 Kamunting,16795,11798,0,250
Perak,N.14 Pokok Assam,26065,17289,42,461
Perak,N.15 Aulong,25486,18704,1475,749
Perak,N.16 Lenggong,16196,10699,47,277
Perak,N.17 Lubok Merbau,18185,12191,69,315
Perak,N.18 Lintang,20074,13552,44,415
Perak,N.19 Jalong,25082,16996,66,488
Perak,N.20 Manjoi,30710,21412,88,624
Perak,N.21 Hulu Kinta,27862,20997,1251,497
Perak,N.22 Taman Canning,27772,19305,251,331
Perak,N.23 Tebing Tinggi,21303,13009,42,214
Perak,N.24 Pasir Pinji,24757,16919,51,275
Perak,N.25 Bercham,33442,23501,227,573
Perak,N.26 Buntong,33060,22359,89,435
Perak,N.27 Menglembu,28790,20607,36,621
Perak,N.28 Lahat,29655,19846,121,641
Perak,N.29 Bukit Chandan,16599,10689,72,256
Perak,N.30 Manong,15416,10300,45,301
Perak,N.31 Pengkalan Baharu,16724,10876,28,383
Perak,N.32 Pantai Remis,25583,16997,47,390
Perak,N.33 Belanja,16684,11055,29,310
Perak,N.34 Bota,16776,10721,84,345
Perak,N.35 Rapat Setia,24850,17243,0,518
Perak,N.36 Teja,22319,14839,0,428
Perak,N.37 Tualang Sekah,17237,11272,26,467
Perak,N.38 Kuala Dipang,20354,13104,23,290
Perak,N.39 Malim Nawar,24758,16336,20,471
Perak,N.40 Chenderiang,18921,11809,169,619
Perak,N.41 Ayer Kuning,20910,13949,186,573
Perak,N.42 Sungai Manik,20590,13877,54,494
Perak,N.43 Kampong Gajah,21581,13945,56,573
Perak,N.44 Pangkor,20173,15844,3212,358
Perak,N.45 Pasir Panjang,21021,13729,330,547
Perak,N.46 Sitiawan,21441,14344,537,405
Perak,N.47 Rungkup,15353,9710,24,482
Perak,N.48 Hutan Melintang,220015,12223,28,599
Perak,N.49 Pasir Bedamar,29059,18881,50,486
Perak,N.50 Changkat Jong,22441,14292,75,606
Perak,N.51 Sungkai,21577,13582,36,626
Perak,N.52 Slim,30821,20704,136,666
