state,dun,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Selangor,N.01 Sungai Air Tawar,9527,6765,5,382
Selangor,N.02 Sabak,11019,7554,6,385
Selangor,N.03 Sungai Besar,13215,9576,26,465
Selangor,N.04 Sungai Panjang,10956,7923,7,524
Selangor,N.05 Sekinchan,11610,8440,6,370
Selangor,N.06 Sungai Burong,10344,7342,0,392
Selangor,N.07 Kalumpang,16167,11839,22,451
Selangor,N.08 Kuala Kubu Baharu,14304,10195,278,683
Selangor,N.09 Batang Kali,16462,12510,28,522
Selangor,N.10 Sungai Tinggi,9780,7378,5,341
Selangor,N.11 Permatang,13343,10025,10,484
Selangor,N.12 Seri Cahaya,13572,10144,6,443
Selangor,N.13 Jeram,14392,11007,0,641
Selangor,N.14 Sementa,15818,12288,0,493
Selangor,N.15 Selat Klang,23070,16155,0,533
Selangor,N.16 Rawang,25853,19187,55,793
Selangor,N.17 Gombak Setia,28449,20630,102,546
Selangor,N.18 Paya Jaras,46186,33990,160,1133
Selangor,N.19 Hulu Kelang,22928,17013,122,229
Selangor,N.20 Keramat,27311,19800,55,447
Selangor,N.21 Pandan,38873,30197,144,723
Selangor,N.22 Dusun Tua,20017,15666,51,779
Selangor,N.23 Semenyih,22065,16710,123,556
Selangor,N.24 Kajang,22182,16856,64,427
Selangor,N.25 Damansara Utama,37146,25827,93,364
Selangor,N.26 Taman Aman,22683,15117,33,146
Selangor,N.27 Kelana Jaya,38554,25837,64,541
Selangor,N.28 Bukit Gasing,29726,19687,87,301
Selangor,N.29 Lindongan,36021,24893,36,561
Selangor,N.30 Serdang,32986,25089,409,717
Selangor,N.31 Subang,21000,16903,546,575
Selangor,N.32 Batu Tiga,38172,28650,108,693
Selangor,N.33 Shahbandar Raya,31076,23734,0,977
Selangor,N.34 Klang Bandar,27809,20455,34,329
Selangor,N.35 Telok Gadong,22777,15961,9,355
Selangor,N.36 Pandamaran,30274,19830,13,462
Selangor,N.37 Panglima Garang,15430,12384,0,552
Selangor,N.38 Morib,14509,11215,123,527
Selangor,N.39 Banting,18430,14500,14,690
Selangor,N.40 Dengkil,18760,14466,27,447
Selangor,N.41 Sungai Pelik,15317,11512,22,482
Selangor,N.42 Batu Laut,14502,11482,5,363
