state,dun,area_name,ballot_order,name,candidate_uid,party,votes
Selangor,N.25 Damansara Utama,Damansara Utama,3,Wong Sai Hou,1795,SDP,1374
Selangor,N.26 Taman Aman,Taman Aman,1,Lee Chu Kob,12169,BN,4176
Selangor,N.26 Taman Aman,Taman Aman,2,Oon Hong Geok,12170,DAP,9944
Selangor,N.26 Taman Aman,Taman Aman,3,Gan Lee Beng,12171,SDP,329
Selangor,N.27 Kelana Jaya,Kelana Jaya,1,Megat Najmuddin Bin Haji Megat Khas,12172,BN,10402
Selangor,N.27 Kelana Jaya,Kelana Jaya,2,Yap Kok Heng,12173,DAP,7141
Selangor,N.27 Kelana Jaya,Kelana Jaya,3,Yusof Bin Hj. Abd. Ghani,12174,PAS,919
Selangor,N.27 Kelana Jaya,Kelana Jaya,4,Ahmad Bin Nor,1820,SDP,800
Selangor,N.27 Kelana Jaya,Kelana Jaya,5,Radhakrishnan S/O Kunnikrishna Pillai,12176,NASMA,170
Selangor,N.28 Bukit Gasing,Bukit Gasing,1,Tan Sin Piau @ Tai Sim Piyu,11063,DAP,12255
Selangor,N.28 Bukit Gasing,Bukit Gasing,2,Soong @ Soong Siew Hoong,11064,BN,7663
Selangor,N.28 Bukit Gasing,Bukit Gasing,3,Au Keng Wah,667,SDP,327
Selangor,N.29 Lindungan,Lindungan,1,Chia Kwai Loy,12180,DAP,5208
Selangor,N.29 Lindungan,Lindungan,2,Supian Bin Md. Nordin,12181,PAS,951
Selangor,N.29 Lindungan,Lindungan,3,Mazlan Bin Dato' Harun,12182,BN,9046
Selangor,N.30 Serdang,Serdang,1,Yap Pian Hon,2429,BN,11367
Selangor,N.30 Serdang,Serdang,2,Pan Su Peng @ Pan Soo Pin,1498,DAP,7184
Selangor,N.31 Subang,Subang,1,Sumairi Bin Awab,9978,PAS,2535
Selangor,N.31 Subang,Subang,2,Abu Sujak Bin Haji Mahmud,12186,BN,8918
Selangor,N.32 Batu Tiga,Batu Tiga,1,Mustafar Bin Ab. Kadir,1801,PAS,2917
Selangor,N.32 Batu Tiga,Batu Tiga,2,M. Zin Bin Suliman,11062,BN,10540
Selangor,N.33 Shahbandar Raya,Shahbandar Raya,1,Mohd. Ismath Bin Habib Mohamad,11061,PAS,3846
Selangor,N.33 Shahbandar Raya,Shahbandar Raya,2,Sanggilly @ Sellathevan A/L Muthusamy,12190,BN,11959
Selangor,N.34 Klang Bandar,Klang Bandar,1,Goon Swee Fook,12191,BN,6942
Selangor,N.34 Klang Bandar,Klang Bandar,2,Yeoh Lai Seng,12192,NASMA,927
Selangor,N.34 Klang Bandar,Klang Bandar,3,Tan Seng Giaw @ Tan Chun Tin,1238,DAP,13223
Selangor,N.34 Klang Bandar,Klang Bandar,4,Yeoh Poh San @ Yang Po San,1511,SDP,314
Selangor,N.35 Teluk Gadung,Teluk Gadung,1,Tong Yoke Seng,12195,BN,7711
Selangor,N.35 Teluk Gadung,Teluk Gadung,2,Chua Kaw @ Chua Kow Eng,12196,DAP,6770
Selangor,N.36 Pandamaran,Pandamaran,1,Ng Boon Thong @ Ng Thian Hock,11053,BN,10197
Selangor,N.36 Pandamaran,Pandamaran,2,Pakiyanathan A/L Anamaly,12198,DAP,5537
Selangor,N.37 Panglima Garang,Panglima Garang,1,Eng Hoi Choo,12199,BN,6069
Selangor,N.37 Panglima Garang,Panglima Garang,2,Khalil Bin Muhammad Saleh,12200,PAS,2278
Selangor,N.37 Panglima Garang,Panglima Garang,3,Mohamed Khaidzer Bin Ibrahim,12201,BEBAS,1457
Selangor,N.38 Morib,Morib,1,Abu Bakar Bin Abdul Hamid,11077,BN,7379
Selangor,N.38 Morib,Morib,2,Mohd. Khaile Bin Tusiman,12203,NASMA,1544
Selangor,N.39 Banting,Banting,1,Siti Fatimah Bt. Dullah Sukimi @ Fatimah Bt. Suhaimi,12204,BN,8258
Selangor,N.39 Banting,Banting,2,Amat Bin Suliman,12205,PAS,2801
Selangor,N.40 Dengkil,Dengkil,1,Maruthathurai @ Munusamy S/O Thangiah,12206,BN,6326
Selangor,N.40 Dengkil,Dengkil,2,Abdul Halim Bin Mohd. Amin,12207,PAS,3074
Selangor,N.41 Sungai Pelik,Sungai Pelik,1,Ng Ah Hock @ Ng Soon Pon,11084,BN,6540
Selangor,N.41 Sungai Pelik,Sungai Pelik,2,Ean Yong Tin Sin,9613,DAP,2997
Selangor,N.42 Batu Laut,Batu Laut,1,Paujan Bin Hj. Siraj,11087,PAS,488
Selangor,N.42 Batu Laut,Batu Laut,2,Samiran @ Sairon Bin Haji Abdul Hamid,12211,BN,6993
Selangor,N.42 Batu Laut,Batu Laut,3,Tai Siew Siong,1807,SDP,266
Selangor,N.42 Batu Laut,Batu Laut,4,Abd. Jabar Bin Mohd. Yusof @ Jabar Bin Yusof,1515,NASMA,2009
