state,dun,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Kelantan,N.01 Geting,16860,12411,0,382
Kelantan,N.02 Sungai Pinang,15632,12176,0,397
Kelantan,N.03 Wakaf Baharu,18346,14425,0,337
Kelantan,N.04 Semut Api,16191,12341,0,326
Kelantan,N.05 Kemumin,18671,14533,0,323
Kelantan,N.06 Banggol,15035,11027,0,225
Kelantan,N.07 Padang Garong,20708,14582,134,349
Kelantan,N.08 Bunut Payong,17822,13226,31,299
Kelantan,N.09 Lundang,17714,13575,35,493
Kelantan,N.10 Tendong,13507,10786,18,322
Kelantan,N.11 Pengkalan Pasir,14958,11177,37,231
Kelantan,N.12 Meranti,13436,10261,0,316
Kelantan,N.13 Gual Periok,14350,10763,12,277
Kelantan,N.14 Bukit Tuku,14358,10812,11,222
Kelantan,N.15 Chetok,12230,9529,5,320
Kelantan,N.16 Salor,13584,11093,0,334
Kelantan,N.17 Mulong,11226,9070,0,234
Kelantan,N.18 Peringat,15455,12223,0,377
Kelantan,N.19 Tawang,15511,12792,0,358
Kelantan,N.20 Perupok,14488,11742,23,319
Kelantan,N.21 Jelawat,16417,13552,28,339
Kelantan,N.22 Cherang Ruku,10798,9042,12,211
Kelantan,N.23 Limbongan,13946,10840,0,249
Kelantan,N.24 Gaal,11016,9026,79,224
Kelantan,N.25 Selising,12964,10233,0,335
Kelantan,N.26 Ketereh,14439,12072,639,416
Kelantan,N.27 Pulai Chondong,9787,7816,8,232
Kelantan,N.28 Bukit Panau,15031,12332,1,357
Kelantan,N.29 Panglima Bayu,12684,10679,1,268
Kelantan,N.30 Jeli,11929,10059,121,279
Kelantan,N.31 Gual Ipoh,9092,7463,3,239
Kelantan,N.32 Labok,11546,9086,22,313
Kelantan,N.33 Banggol Judah,10715,8632,15,254
Kelantan,N.34 Temangan,10777,8902,4,251
Kelantan,N.35 Guchil,12546,9925,23,304
Kelantan,N.36 Manek Urai,11007,8692,4,245
Kelantan,N.37 Dabong,8907,7406,10,123
Kelantan,N.38 Paloh,13420,11358,3,210
Kelantan,N.39 Galas,8737,6429,5,199
