state,dun,area_name,ballot_order,name,candidate_uid,party,party_uid,votes
Sarawak,N.37 Katibas,Katibas,2,Gera A/K Jugah Bullek,8076,BEBAS,1,1119
Sarawak,N.38 Pelagus,Pelagus,1,Jonathan Sabai A/K Ajing,7164,BN,25,2863
Sarawak,N.38 Pelagus,Pelagus,2,Kumbong A/K P. Gerinang,8078,DAP,18,1548
Sarawak,N.39 Baleh,Baleh,1,Tuan A/K Antau,8079,UMAT,40,238
Sarawak,N.39 Baleh,Baleh,2,Nyewak Anak Sibat,8080,BEBAS,1,864
Sarawak,N.39 Baleh,Baleh,3,Peter Gani Anak Kiai,8081,BN,25,3723
Sarawak,N.40 Belaga,Belaga,1,Nyipa Bato,7168,BN,25,1206
Sarawak,N.40 Belaga,Belaga,2,Tajang Laing,6282,BEBAS,1,1966
Sarawak,N.41 Tatau,Tatau,1,Lim Cheng Huei,8084,SAPO,38,725
Sarawak,N.41 Tatau,Tatau,2,Joseph Mamat Samuel,8085,BN,25,3218
Sarawak,N.42 Kemena,Kemena,1,Celestine Ujang A/K Jilan,8086,BN,25,6001
Sarawak,N.42 Kemena,Kemena,2,Mohamad Bin Nawi,8087,PAJAR,35,854
Sarawak,N.43 Subis,Subis,1,Antalai A/K Sawing,8088,SAPO,38,2273
Sarawak,N.43 Subis,Subis,2,Haji Salem Bin Gapar,8089,BEBAS,1,52
Sarawak,N.43 Subis,Subis,3,Simat Bin Dollah,8090,PAJAR,35,196
Sarawak,N.43 Subis,Subis,4,Anthony Sia,8091,BEBAS,1,1313
Sarawak,N.43 Subis,Subis,5,Mumin Bin Kader,7175,BN,25,5760
Sarawak,N.44 Miri,Miri,1,Szetu Mei Thong,1366,SAPO,38,7500
Sarawak,N.44 Miri,Miri,2,Datuk Chia Chin Shin,1367,BN,25,9036
Sarawak,N.45 Marudi,Marudi,1,Limau A/K Dali,8095,SAPO,38,1609
Sarawak,N.45 Marudi,Marudi,2,Edward Jeli A/K Blayong,6305,BN,25,4834
Sarawak,N.46 Telang Usan,Telang Usan,1,Joseph Balan Seling,8097,BN,25,3667
Sarawak,N.46 Telang Usan,Telang Usan,2,Paul Kalang,8098,SAPO,38,994
Sarawak,N.46 Telang Usan,Telang Usan,3,Kho Thien Seng,1661,BEBAS,1,231
Sarawak,N.47 Limbang,Limbang,1,Datuk James Wong Kim Min,6313,BN,25,5021
Sarawak,N.47 Limbang,Limbang,2,Lim Cheong Heng,8101,BEBAS,1,743
Sarawak,N.47 Limbang,Limbang,3,Hasbollah Bin Majid,8102,BEBAS,1,623
Sarawak,N.47 Limbang,Limbang,4,Francis Mabong A/K Jeruka,8103,BEBAS,1,442
Sarawak,N.48 Lawas,Lawas,1,Datuk Haji Noor Bin Haji Tahir,8104,BN,25,3246
Sarawak,N.48 Lawas,Lawas,2,Loh Teng Kong,8105,BEBAS,1,537
Sarawak,N.48 Lawas,Lawas,3,Mansor Bin Osman,1253,PAJAR,35,93
Sarawak,N.48 Lawas,Lawas,4,Panai Siger,8107,BEBAS,1,1087
Sarawak,N.48 Lawas,Lawas,5,Yusup A/K Buaya,8108,BEBAS,1,137
