state,dun,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Terengganu,N.01 Kuala Besut,10386,8609,92,152
Terengganu,N.02 Kampung Raja,11613,9648,1,159
Terengganu,N.03 Jertih,11492,9030,64,214
Terengganu,N.04 Hulu Besut,10996,8903,45,218
Terengganu,N.05 Jabi,10946,8743,11,200
Terengganu,N.06 Permaisuri,12225,10168,10,249
Terengganu,N.07 Langkap,9712,7954,3,262
Terengganu,N.08 Batu Rakit,9376,7809,16,218
Terengganu,N.09 Tepuh,13575,11118,22,249
Terengganu,N.10 Teluk Pasu,12502,10668,81,231
Terengganu,N.11 Seberang Takir,9265,7996,338,197
Terengganu,N.12 Bukit Tunggal,9190,7507,15,176
Terengganu,N.13 Wakaf Mempelam,15773,12496,36,258
Terengganu,N.14 Bandar,18083,13452,53,211
Terengganu,N.15 Ladang,13270,10094,124,194
Terengganu,N.16 Batu Buruk,17349,13747,38,265
Terengganu,N.17 Alur Limbat,14772,12203,48,280
Terengganu,N.18 Bukit Payung,13188,11249,12,221
Terengganu,N.19 Ru Rendang,14937,12125,18,188
Terengganu,N.20 Pengkalan Berangan,15662,13026,12,361
Terengganu,N.21 Telemung,8508,7425,0,243
Terengganu,N.22 Manir,10391,8725,15,212
Terengganu,N.23 Kuala Berang,9738,8313,17,204
Terengganu,N.24 Ajil,10409,8809,0,308
Terengganu,N.25 Bukit Besi,8160,6848,20,179
Terengganu,N.26 Rantau Abang,10730,8877,0,220
Terengganu,N.27 Sura,13200,10300,0,187
Terengganu,N.28 Paka,12953,10949,1,222
Terengganu,N.29 Kemasik,10051,8202,5,135
Terengganu,N.30 Kijal,10515,8833,49,198
Terengganu,N.31 Cukai,16618,12905,11,202
Terengganu,N.32 Air Putih,13432,10939,8,288
