state,dun,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Johor,N.01 Sepinang,26972,20253,12,813
Johor,N.02 Jementah,25656,18621,56,463
Johor,N.03 Tangkak,24561,18022,19,871
Johor,N.04 Serom,26813,19604,43,998
Johor,N.05 Bukit Serampang,15609,11917,6,411
Johor,N.06 Jorak,19427,14262,116,647
Johor,N.07 Tenang,20240,15908,1,805
Johor,N.08 Bekok,22012,15511,9,516
Johor,N.09 Endau,15158,10352,0,488
Johor,N.10 Tenggaroh,19359,14732,0,771
Johor,N.11 Paloh,38602,28937,531,818
Johor,N.12 Gunung Lambak,35562,27631,126,671
Johor,N.13 Sri Medan,26223,19782,25,1277
Johor,N.14 Semerah,30548,22741,24,1004
Johor,N.15 Bukit Naning,26203,20314,78,849
Johor,N.16 Maharani,21240,15357,19,348
Johor,N.17 Parit Bakar,19380,13422,0,529
Johor,N.18 Parit Jawa,16690,12395,0,714
Johor,N.19 Parit Yaani,20042,14939,1,770
Johor,N.20 Parit Raja,20965,16024,4,864
Johor,N.21 Penggaram,37072,27737,0,1523
Johor,N.22 Rengit,22764,16400,0,982
Johor,N.23 Simpang Renggam,29076,21194,84,1454
Johor,N.24 Benut,21133,15181,27,1127
Johor,N.25 Kulai,37367,27855,25,787
Johor,N.26 Bandar Tenggara,28336,22678,20,1023
Johor,N.27 Sedili,27895,21561,251,1078
Johor,N.28 Pengerang,32635,26797,18,1031
Johor,N.29 Tiram,33957,24697,0,1408
Johor,N.30 Pasir Gudang,45679,32905,0,2229
Johor,N.31 Tanjong Puteri,37798,26591,126,970
Johor,N.32 Gertak Merah,27135,17402,47,451
Johor,N.33 Tambatan,27283,20275,0,597
Johor,N.34 Gelang Patah,37307,28860,0,1276
Johor,N.35 Pulai Sebatang,30704,22937,30,1241
Johor,N.36 Kukup,24768,18607,19,1031
