state,dun,area_name,ballot_order,name,candidate_uid,party,votes
Melaka,N.01 Tanjong Kling,Tanjong Kling,1,Haji Ahmad Bin Haji Manap,6885,PERIKATAN,2779
Melaka,N.01 Tanjong Kling,Tanjong Kling,2,Mohamed @ Mohd. Nor Bin Noordin,7372,PAS,1536
Melaka,N.01 Tanjong Kling,Tanjong Kling,3,Haji Md. Zain Bin Lambak,7373,PR,803
Melaka,N.02 Bukit Rambai,Bukit Rambai,1,Lim Yak Tye,7374,DAP,1578
Melaka,N.02 Bukit Rambai,Bukit Rambai,2,Haji Ayub Bin Haji Marof,7375,PERIKATAN,1465
Melaka,N.02 Bukit Rambai,Bukit Rambai,3,Haron Bin Ali,7376,PAS,883
Melaka,N.02 Bukit Rambai,Bukit Rambai,4,Che Mat Bin Bakar,7377,PR,671
Melaka,N.03 Batu Berendam,Batu Berendam,1,Mohd. Bin Haji Ab. Rahman,5490,PERIKATAN,2441
Melaka,N.03 Batu Berendam,Batu Berendam,2,Bong Geok Cheng,7379,PR,2139
Melaka,N.03 Batu Berendam,Batu Berendam,3,Haji Md. Said Bin Abu Bakar,7380,PAS,673
Melaka,N.04 Semabok,Semabok,1,Ng Chong Chee,6536,PERIKATAN,2779
Melaka,N.04 Semabok,Semabok,2,Mohd. Lani Bin Kasim,7382,PR,1482
Melaka,N.04 Semabok,Semabok,3,Abdul Jalil Bin Haji Ahmad,7383,PAS,753
Melaka,N.04 Semabok,Semabok,4,Haji Borhan Bin Haji Saban,7384,BEBAS,597
Melaka,N.05 Kandang,Kandang,1,Ab. Hadi Bin Abas,6533,PERIKATAN,3293
Melaka,N.05 Kandang,Kandang,2,Mohamed Taha Bin Kallu,218,PAS,1759
Melaka,N.05 Kandang,Kandang,3,Sidek Bin Ahmad,7387,PR,414
Melaka,N.06 Kota Selatan,Kota Selatan,1,Tan Giap Seng,7388,GERAKAN,4591
Melaka,N.06 Kota Selatan,Kota Selatan,2,Wee Choon Teck,7389,PERIKATAN,1490
Melaka,N.06 Kota Selatan,Kota Selatan,3,Mah Khye Boh,6544,PR,745
Melaka,N.07 Kota Tengah,Kota Tengah,1,Michael Khong Chye Huat,7391,DAP,2881
Melaka,N.07 Kota Tengah,Kota Tengah,2,Lee Kim Sun,7392,PERIKATAN,1454
Melaka,N.07 Kota Tengah,Kota Tengah,3,Low Kye Chye,7393,PR,1007
Melaka,N.08 Kota Barat,Kota Barat,1,Ho Mong Yew,7394,DAP,2065
Melaka,N.08 Kota Barat,Kota Barat,2,Hasnul Bin Abdul Hadi,535,PR,1651
Melaka,N.08 Kota Barat,Kota Barat,3,Yoong Yong Pow,6542,PERIKATAN,1642
Melaka,N.09 Kota Utara,Kota Utara,1,Tan Cheng Swee,5480,PERIKATAN,2611
Melaka,N.09 Kota Utara,Kota Utara,2,Tay Chor,7398,DAP,2247
Melaka,N.09 Kota Utara,Kota Utara,3,Abbas Bin Haji Jalil,7399,PR,750
Melaka,N.10 Kota Timor,Kota Timor,1,Bernard Sta Maria,7400,DAP,4394
Melaka,N.10 Kota Timor,Kota Timor,2,Chunilai Seth,7401,PERIKATAN,1761
Melaka,N.10 Kota Timor,Kota Timor,3,Eric Theseira,7402,PR,774
Melaka,N.11 Sungei Bahru,Sungei Bahru,1,Abdullah Bin Samad,7403,PERIKATAN,4029
Melaka,N.11 Sungei Bahru,Sungei Bahru,2,Ali Bin Md. Salleh,700,PAS,1976
Melaka,N.12 Ramuan China,Ramuan China,1,Abd. Ghani Bin Mohd. Ali,6553,PERIKATAN,2166
Melaka,N.12 Ramuan China,Ramuan China,2,Ab. Ghani Bin Long,7406,BEBAS,727
Melaka,N.12 Ramuan China,Ramuan China,3,Ab. Rahim Bin Haji Basir,6554,PR,725
Melaka,N.12 Ramuan China,Ramuan China,4,Ab. Latiff Bin Md. Yassin,6552,PAS,596
Melaka,N.13 Masjid Tanah,Masjid Tanah,1,Abdul Ghani Bin Ishak,540,PERIKATAN,2850
Melaka,N.13 Masjid Tanah,Masjid Tanah,2,Haji Mohd. Yusoff Bin Haji Sulong,539,PAS,1856
Melaka,N.14 Alor Gajah,Alor Gajah,1,Dato' Haji Talib Bin Haji Karim,7411,PERIKATAN,3079
Melaka,N.14 Alor Gajah,Alor Gajah,2,Mohd. Yasin Bin Said,7412,PAS,1549
Melaka,N.15 Pulau Sebang,Pulau Sebang,1,Yeow Kay,5504,PERIKATAN,0
Melaka,N.16 Batang Melaka,Batang Melaka,1,Haji Ahmad Bin Haji Joned,7414,PERIKATAN,4037
Melaka,N.16 Batang Melaka,Batang Melaka,2,Mamat Bin Bentong,5506,PR,1736
Melaka,N.16 Batang Melaka,Batang Melaka,3,Abdullah Bin Taib,7416,PAS,1271
Melaka,N.17 Rim,Rim,1,Mohamed Juddi Bin Abdullah,7417,PERIKATAN,3127
Melaka,N.17 Rim,Rim,2,Alias Bin Sijak,7418,PAS,1180
Melaka,N.17 Rim,Rim,3,Minhad Bin Maludin,7419,PR,728
