state,dun,ballot_order,name,candidate_uid,party,party_uid,votes
Sarawak,N.17 Engkilili-Skrang,2,Chang Shui Foh,6172,SUPP,20,976
Sarawak,N.17 Engkilili-Skrang,3,Pengeran Ak Bliang,6173,SNAP,19,946
Sarawak,N.17 Engkilili-Skrang,4,Legan Ak Penghulu Narok,6174,BEBAS,1,225
Sarawak,N.18 Ulu Ai,1,David Ak Jemut,2888,SNAP,19,934
Sarawak,N.18 Ulu Ai,2,Tutong Ak Ningkan,1063,PESAKA,22,889
Sarawak,N.18 Ulu Ai,3,Rabit Ak Nanang,6177,SUPP,20,531
Sarawak,N.18 Ulu Ai,4,Penghulu Manau,6178,BEBAS,1,351
Sarawak,N.18 Ulu Ai,5,Ebai Ak Inyang,6179,BEBAS,1,86
Sarawak,N.18 Ulu Ai,6,Ahmad Bin Ibrahim @ Leek,6180,PERIKATAN,2,80
Sarawak,N.19 Saribas,1,Kihok Bin Amat,6181,PERIKATAN,2,1849
Sarawak,N.19 Saribas,2,Jocelyn Beduru Ak Makap,6182,SNAP,19,1312
Sarawak,N.19 Saribas,3,Haji Hamzawi Bin Haji Omar,6183,PESAKA,22,747
Sarawak,N.19 Saribas,4,Denis Luat,6184,BEBAS,1,252
Sarawak,N.19 Saribas,5,Cr Laili,6185,BEBAS,1,181
Sarawak,N.20 Layar,1,Dato' Stephen Kalong Ningkan,1065,SNAP,19,2546
Sarawak,N.20 Layar,2,Charles H. Ingka,6187,BEBAS,1,1157
Sarawak,N.20 Layar,3,Edmund Derom,6188,PESAKA,22,713
Sarawak,N.20 Layar,4,Juing Insoll,6189,BEBAS,1,209
Sarawak,N.21 Kalaka,1,Wan Alwi Bin Tuanku Ibrahim,6190,PESAKA,22,1963
Sarawak,N.21 Kalaka,2,Al-Ustaz Haji Abg. Kadir Hassan,6191,PERIKATAN,2,1407
Sarawak,N.21 Kalaka,3,Willian Ak Lampas,6192,SNAP,19,1164
Sarawak,N.21 Kalaka,4,Haji Jais Bin Sejin,6193,BEBAS,1,83
Sarawak,N.22 Krian,1,Dunstan Endawi Ak Enchana,1635,SNAP,19,2933
Sarawak,N.22 Krian,2,Meling Ak Jan,6195,PESAKA,22,872
Sarawak,N.22 Krian,3,Robinson Jelemin,6196,SUPP,20,824
Sarawak,N.23 Kuala Rajang,1,Dato' Haji Abdul Rahman Ya'Kub,789,PERIKATAN,2,2161
Sarawak,N.23 Kuala Rajang,2,Drahman Bin Karia,6198,SUPP,20,831
Sarawak,N.23 Kuala Rajang,3,Ainie Bin Dhoby,6199,SNAP,19,743
Sarawak,N.23 Kuala Rajang,4,Then Kwan Long (Mok),787,BEBAS,1,656
Sarawak,N.23 Kuala Rajang,5,Biliang Ak Tinggi,6201,PESAKA,22,371
Sarawak,N.23 Kuala Rajang,6,Majidi Bin Suhaili,6202,BEBAS,1,103
Sarawak,N.24 Repok,1,Khoo Peng Loong,793,SUPP,20,2399
Sarawak,N.24 Repok,2,Chen Ko Ming,784,PERIKATAN,2,1787
Sarawak,N.24 Repok,3,Ngo King Huong,6205,SNAP,19,844
Sarawak,N.24 Repok,4,Ching Ting Chick,788,BEBAS,1,58
Sarawak,N.25 Matu-Daro,1,Awang Hipni Bin Pengiran Anu,6207,PERIKATAN,2,3360
Sarawak,N.25 Matu-Daro,2,Awang Mashor Bin Awg. Laga,6208,PESAKA,22,565
Sarawak,N.25 Matu-Daro,3,George Bin Haji Drahman,6209,SUPP,20,506
Sarawak,N.25 Matu-Daro,4,Waini Bin Haji Sahari,6210,BEBAS,1,429
Sarawak,N.25 Matu-Daro,5,Sia Siong Yung,6211,BEBAS,1,136
Sarawak,N.25 Matu-Daro,6,Abang Haji Abdul Razak,6212,SNAP,19,124
Sarawak,N.25 Matu-Daro,7,Haji Rosli Bin Kiok,6213,BEBAS,1,46
Sarawak,N.26 Binatang,1,Anthony Teo Tiao Gin,6214,SUPP,20,3048
Sarawak,N.26 Binatang,2,Luk Tai Lik,6215,PERIKATAN,2,2130
Sarawak,N.26 Binatang,3,Sandom Ak Nyuak,6216,PESAKA,22,1077
Sarawak,N.26 Binatang,4,Teng Tun Hsin,6217,SNAP,19,849
Sarawak,N.27 Sibu Tengah,1,Chew Kim Poon,6218,SUPP,20,4470
Sarawak,N.27 Sibu Tengah,2,Chieng Hie Kwong,1354,PERIKATAN,2,2098
Sarawak,N.27 Sibu Tengah,3,Yap Siew Hoe,6220,SNAP,19,493
Sarawak,N.27 Sibu Tengah,4,Lim Ung Chiew,796,BEBAS,1,380
Sarawak,N.28 Sibu Luar,1,Wong Kah Sing,6222,SUPP,20,2969
Sarawak,N.28 Sibu Luar,2,Tai Sing Chii,6223,PERIKATAN,2,2261
Sarawak,N.28 Sibu Luar,3,Joseph C. C. Tang,795,SNAP,19,562
Sarawak,N.28 Sibu Luar,4,Peter Hwang,797,BEBAS,1,135
Sarawak,N.28 Sibu Luar,5,Jamal Bin Haji Dris,6226,BEBAS,1,92
Sarawak,N.28 Sibu Luar,6,Ngu Teck Sing,6227,BEBAS,1,75
Sarawak,N.29 Igan,1,Lim Beng Siong,6228,PERIKATAN,2,3264
Sarawak,N.29 Igan,2,Wong Tuong Kwang,6229,SUPP,20,2495
Sarawak,N.29 Igan,3,Gelanggang Ak Mujan,6230,SNAP,19,213
Sarawak,N.29 Igan,4,Ampi Ak Matari,6231,BEBAS,1,75
Sarawak,N.29 Igan,5,Jawi Ak Sureng,6232,BEBAS,1,46
Sarawak,N.29 Igan,6,Penghulu Pengabang Ak Impak,6233,BEBAS,1,35
Sarawak,N.30 Dudong,1,Kong Chung Siew,6234,SUPP,20,1675
Sarawak,N.30 Dudong,2,Jonathan Bangau,6235,PESAKA,22,1434
Sarawak,N.30 Dudong,3,Sandah Ak Penghulu Jarrow,6236,SNAP,19,1138
Sarawak,N.30 Dudong,4,Galau Ak Kumbang,6237,BEBAS,1,195
Sarawak,N.30 Dudong,5,Langgai Ak Abol,6238,BEBAS,1,119
Sarawak,N.31 Balingian,1,Mohd. Pauzi Bin Hamdani,6239,PERIKATAN,2,1555
Sarawak,N.31 Balingian,2,Ho Thian Ting,6240,SUPP,20,856
Sarawak,N.31 Balingian,3,Jang Ak Kandawang,6241,SNAP,19,827
Sarawak,N.31 Balingian,4,Mohd. Noh Bin Hamdan,6242,BEBAS,1,606
Sarawak,N.31 Balingian,5,Sipuk Bin Ani,6243,PESAKA,22,523
Sarawak,N.31 Balingian,6,Tampang Ak Basek,6244,PESAKA,22,267
Sarawak,N.31 Balingian,7,Tan Yong Bee,6245,BEBAS,1,231
Sarawak,N.32 Oya,1,Vincent Ferrer Suyong,6246,PERIKATAN,2,1510
Sarawak,N.32 Oya,2,Sim Boon Liang,1077,SNAP,19,1339
Sarawak,N.32 Oya,3,Aleh Ak Jueng,6248,PESAKA,22,702
Sarawak,N.32 Oya,4,Augustine Druce Bin Dawan,6249,PESAKA,22,618
Sarawak,N.32 Oya,5,Ting Ung Pang,6250,SUPP,20,468
Sarawak,N.32 Oya,6,Ibrahim Bin Takong,6251,BEBAS,1,396
Sarawak,N.32 Oya,7,Song Ing Huo,6252,BEBAS,1,200
Sarawak,N.33 Pakan,1,Mandi Ak Sanar,6253,PESAKA,22,748
Sarawak,N.33 Pakan,2,Lau Mee Ee,6254,BEBAS,1,677
Sarawak,N.33 Pakan,3,Dundang Ak Ibi,6255,SNAP,19,667
Sarawak,N.33 Pakan,4,Laiyan Ak Boleng,6256,BEBAS,1,305
Sarawak,N.34 Meluan,1,Gramong Ak Jelian,6257,SNAP,19,880
Sarawak,N.34 Meluan,2,Philip Nyadang Ak Janting,6258,PESAKA,22,810
Sarawak,N.34 Meluan,3,Empaling,6259,BEBAS,1,381
Sarawak,N.34 Meluan,4,Tedong Ak Entalai,6260,BEBAS,1,234
Sarawak,N.35 Machan,1,Thomas Kana,1081,PESAKA,22,2459
Sarawak,N.35 Machan,2,Kong Foh Kim,6262,SUPP,20,1589
Sarawak,N.35 Machan,3,Stephen Mapang Anak Sanggau,6263,SNAP,19,327
Sarawak,N.36 Ngemah,1,Lias Ak Kana,6264,BEBAS,1,796
Sarawak,N.36 Ngemah,2,Penghulu Francis Umpau Ak Empam,6265,PESAKA,22,660
Sarawak,N.36 Ngemah,3,Jarrau Ak Serit,6266,SNAP,19,603
Sarawak,N.36 Ngemah,4,Guntol Ak Bana,6267,BEBAS,1,539
Sarawak,N.36 Ngemah,5,Ansi Ak Anyau,6268,SUPP,20,428
Sarawak,N.36 Ngemah,6,Ungai Ak Sumpon,6269,BEBAS,1,47
Sarawak,N.36 Ngemah,7,Penghulu Ujok Ak Andeng,6270,BEBAS,1,33
Sarawak,N.37 Song,1,Ngelambong Bangau,6271,SNAP,19,1614
Sarawak,N.37 Song,2,Mangai Ak Lajang,6272,PESAKA,22,1294
Sarawak,N.37 Song,3,Dingai Ak Ujom,6273,SUPP,20,1204
Sarawak,N.38 Pelagus,1,Bennet Jarrow,6274,PESAKA,22,1389
Sarawak,N.38 Pelagus,2,Jugah Ak Lasah,6275,SUPP,20,1069
Sarawak,N.38 Pelagus,3,Francis Ak Nyuak,6276,SNAP,19,716
Sarawak,N.39 Baleh,1,Kanyan Ak Temenggong Koh,6277,PESAKA,22,1953
Sarawak,N.39 Baleh,2,Wesley Ajan Ak Nabau,6278,SNAP,19,1528
Sarawak,N.39 Baleh,3,Kulleh Ak Semada,6279,SUPP,20,806
Sarawak,N.39 Baleh,4,Pengarah Sibat Ak Semada,6280,BEBAS,1,492
Sarawak,N.40 Belaga,1,Nyipa Kilah,6281,SUPP,20,772
Sarawak,N.40 Belaga,2,Tajang Laing,6282,PESAKA,22,688
Sarawak,N.40 Belaga,3,Penghulu Matu Puso,6283,BEBAS,1,606
Sarawak,N.40 Belaga,4,Lisut Tinggang,6284,SNAP,19,67
Sarawak,N.41 Tatau,1,Awg. Ismail Bin Pg. Zainuddin,6285,PERIKATAN,2,1340
Sarawak,N.41 Tatau,2,Nanang Ak Entigai,6286,SNAP,19,1191
Sarawak,N.41 Tatau,3,Goh Ngiap Joon,6287,SUPP,20,827
Sarawak,N.41 Tatau,4,Julaihi Hanaffie,6288,BEBAS,1,571
Sarawak,N.41 Tatau,5,Penghulu Angkalom Ak Latib,6289,PESAKA,22,415
Sarawak,N.41 Tatau,6,Meng Cheng,6290,BEBAS,1,125
Sarawak,N.42 Kemena,1,Abok Ak Jalin,6291,PESAKA,22,1366
Sarawak,N.42 Kemena,2,Asghar Khan,6292,PERIKATAN,2,1155
Sarawak,N.42 Kemena,3,Ting Lian Tung,6293,SNAP,19,884
Sarawak,N.42 Kemena,4,Png Tai Yok,6294,SUPP,20,733
Sarawak,N.42 Kemena,5,Medan Ak Suhang,6295,BEBAS,1,212
Sarawak,N.43 Subis,1,Francis Loke,6296,SNAP,19,1728
Sarawak,N.43 Subis,2,Lee Foung Chew,6297,SUPP,20,1420
Sarawak,N.43 Subis,3,Hashim Bin Haji Ladis,6298,BEBAS,1,1387
Sarawak,N.43 Subis,4,Jackie Yong,6299,PESAKA,22,832
Sarawak,N.44 Miri,1,Chia Chin Shin,6300,PERIKATAN,2,2876
Sarawak,N.44 Miri,2,Yang Siew Siang,1088,SUPP,20,2511
Sarawak,N.44 Miri,3,John Leong Chee Yun,6302,SNAP,19,1256
Sarawak,N.44 Miri,4,Kepol Samat,6303,BEBAS,1,166
Sarawak,N.44 Miri,5,Lau Siu Wai,6304,BEBAS,1,142
Sarawak,N.45 Marudi,1,Edward Jeli Ak Blayong,6305,SNAP,19,3134
Sarawak,N.45 Marudi,2,Tama Weng Tinggang Wan,833,SUPP,20,958
Sarawak,N.45 Marudi,3,Baya Malang,6307,PESAKA,22,910
Sarawak,N.45 Marudi,4,Penghulu Arin,6308,BEBAS,1,110
Sarawak,N.46 Telang Usan,1,Balan Seling,6309,SNAP,19,1718
Sarawak,N.46 Telang Usan,2,Lee Kian Bian,6310,BEBAS,1,868
Sarawak,N.46 Telang Usan,3,Abeng Nawan Lawai,6311,PESAKA,22,750
Sarawak,N.46 Telang Usan,4,Penghulu Balan Lejau,6312,BEBAS,1,226
Sarawak,N.47 Limbang,1,Dato' James Wong Kim Min,6313,SNAP,19,2935
Sarawak,N.47 Limbang,2,Haji Abu Bakar Bin Abdullah,6314,PERIKATAN,2,1068
Sarawak,N.47 Limbang,3,Pugi Ak Yabai,6315,BEBAS,1,385
Sarawak,N.47 Limbang,4,Tahir Bin Hassan,6316,BEBAS,1,220
Sarawak,N.48 Lawas,1,Awang Daud Bin Awang Metusin,6317,PERIKATAN,2,1698
Sarawak,N.48 Lawas,2,Chegu Pudun Rangat,6318,SNAP,19,1472
Sarawak,N.48 Lawas,3,Racha Umong,1091,PESAKA,22,1053
Sarawak,N.48 Lawas,4,Ling Tung Kiet,6320,BEBAS,1,82
Sarawak,N.48 Lawas,5,Mah Chuan Sin,6321,BEBAS,1,48
