state,dun,area_name,ballot_order,name,candidate_uid,party,votes
Melaka,N.16 Ayer Keroh,Ayer Keroh,3,Yong Fun Juan,19366,BN,3835
Melaka,N.17 Bukit Katil,Bukit Katil,1,Datuk Wira Haji Hasnoor Bin Sdg Husin,22468,BN,5748
Melaka,N.17 Bukit Katil,Bukit Katil,2,Abdul Hamid,22469,BEBAS,109
Melaka,N.17 Bukit Katil,Bukit Katil,3,Adly Zahari,4941,PH,6805
Melaka,N.17 Bukit Katil,Bukit Katil,4,Muhammad Al Afiz Bin Yahya,22471,PN,3715
Melaka,N.18 Ayer Molek,Ayer Molek,1,Datuk Rahmad Bin Mariman,22472,BN,6348
Melaka,N.18 Ayer Molek,Ayer Molek,2,Ahmad Muaz,22473,BEBAS,90
Melaka,N.18 Ayer Molek,Ayer Molek,3,Mohd Fadly Samin,22474,PN,3546
Melaka,N.18 Ayer Molek,Ayer Molek,4,Cikgu Rafee,22475,PH,2446
Melaka,N.19 Kesidang,Kesidang,1,Seah Shoo Chin (Allex Seah),20799,PH,14769
Melaka,N.19 Kesidang,Kesidang,2,Patrick Ng Chin Kae,22477,PN,3124
Melaka,N.19 Kesidang,Kesidang,3,Leong Hui Ying,22478,BN,4532
Melaka,N.20 Kota Laksamana,Kota Laksamana,1,Fong Khai Ling,22479,PN,1190
Melaka,N.20 Kota Laksamana,Kota Laksamana,2,Benjamin Low Chin Hong,22480,BN,2014
Melaka,N.20 Kota Laksamana,Kota Laksamana,3,Low Chee Leong,20800,PH,13508
Melaka,N.21 Duyong,Duyong,1,Gan Tian Soh,22482,BEBAS,60
Melaka,N.21 Duyong,Duyong,2,Mohd Faizal Bin Amzah,22483,PUTRA,52
Melaka,N.21 Duyong,Duyong,3,Mohd Noor Helmy,22484,BN,4684
Melaka,N.21 Duyong,Duyong,4,Damian Baba Yeo,3842,PH,4484
Melaka,N.21 Duyong,Duyong,5,Datuk Kamarudin Bin Hj. Sidek,22486,PN,2874
Melaka,N.21 Duyong,Duyong,6,Muhamad Hafiz Ishak,22487,BEBAS,57
Melaka,N.22 Bandar Hilir,Bandar Hilir,1,Mak Chee Kin,22488,BEBAS,159
Melaka,N.22 Bandar Hilir,Bandar Hilir,2,Leng Chau Yen,22489,PH,9091
Melaka,N.22 Bandar Hilir,Bandar Hilir,3,Lee Kah Sean,22490,BN,1313
Melaka,N.22 Bandar Hilir,Bandar Hilir,4,Clarice Chan Ming Wang,22491,PN,634
Melaka,N.23 Telok Mas,Telok Mas,1,Datuk Wira Mohd Rafiq Naizamohideen,22492,PN,3976
Melaka,N.23 Telok Mas,Telok Mas,2,Ariff Adly,22493,BEBAS,153
Melaka,N.23 Telok Mas,Telok Mas,3,Datuk Ashraf Minghat,22494,PH,3891
Melaka,N.23 Telok Mas,Telok Mas,4,Abdul Razak Bin Abdul Rahman,20810,BN,6052
Melaka,N.24 Bemban,Bemban,1,Dr Mohd Yadzil Bin Yaakub,22496,PN,4211
Melaka,N.24 Bemban,Bemban,2,Azmi Kamis,22497,BEBAS,130
Melaka,N.24 Bemban,Bemban,3,Ng Choon Koon,19382,BEBAS,850
Melaka,N.24 Bemban,Bemban,4,Tey Kok Kiew,17822,PH,3095
Melaka,N.24 Bemban,Bemban,5,Datuk Koh Chin Han,20814,BN,3883
Melaka,N.25 Rim,Rim,1,Azalina Abdul Rahman,20825,PN,2710
Melaka,N.25 Rim,Rim,2,Prasanth Kumar Brakasam,22502,PH,2163
Melaka,N.25 Rim,Rim,3,Khaidhirah Binti Abu Zahar,22503,BN,4037
Melaka,N.26 Serkam,Serkam,1,Dato' Dr Azlan,22504,BEBAS,99
Melaka,N.26 Serkam,Serkam,2,Ustaz Haji Ahmad Bilal,22505,PN,4959
Melaka,N.26 Serkam,Serkam,3,Ustaz Muhammad,22506,PH,1535
Melaka,N.26 Serkam,Serkam,4,Zaidi Attan,22507,BN,5038
Melaka,N.27 Merlimau,Merlimau,1,Cikgu Azrin Bin Ab Majid,22508,PH,2385
Melaka,N.27 Merlimau,Merlimau,2,Dr Akmal Saleh,22509,BN,5633
Melaka,N.27 Merlimau,Merlimau,3,Abd Alim Bin Shapie,22510,PN,1622
Melaka,N.28 Sungai Rambai,Sungai Rambai,1,Muhammad Jefri Bin Safry,22511,PN,2664
Melaka,N.28 Sungai Rambai,Sungai Rambai,2,Farzana Hayani Nasir,22512,PH,1356
Melaka,N.28 Sungai Rambai,Sungai Rambai,3,Nazatul Asyraf Bin Md.Dom,22513,PUTRA,84
Melaka,N.28 Sungai Rambai,Sungai Rambai,4,Siti Faizah Binti Abdul Azis,22514,BN,3801
