state,dun,area_name,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Melaka,N.01 Kuala Linggi,Kuala Linggi,8535,6749,11,209
Melaka,N.02 Ramuan China,Ramuan China,7817,6066,12,158
Melaka,N.03 Melekek,Melekek,8121,6145,0,157
Melaka,N.04 Masjid Tanah,Masjid Tanah,11037,8355,85,245
Melaka,N.05 Sungai Udang,Sungai Udang,15793,14604,4197,181
Melaka,N.06 Pulau Sebang,Pulau Sebang,9297,5970,7,166
Melaka,N.07 Bukit Sedanan,Bukit Sedanan,10189,7537,13,218
Melaka,N.08 Bukit Asahan,Bukit Asahan,12190,9097,25,249
Melaka,N.09 Durian Tunggal,Durian Tunggal,8394,6713,4,274
Melaka,N.10 Rembia,Rembia,9488,7208,22,251
Melaka,N.11 Tangga Batu,Tangga Batu,17847,13801,13,305
Melaka,N.12 Paya Rumput,Paya Rumput,18850,14803,7,408
Melaka,N.13 Ayer Keroh,Ayer Keroh,17528,14019,44,370
Melaka,N.14 Bachang,Bachang,17254,13453,15,313
Melaka,N.15 Ayer Molek,Ayer Molek,16807,13511,19,257
Melaka,N.16 Tengkera,Tengkera,17271,13511,20,239
Melaka,N.17 Durian Daun,Durian Daun,15708,11605,3,211
Melaka,N.18 Bandar Hilir,Bandar Hilir,15873,11855,49,200
Melaka,N.19 Duyong,Duyong,13314,10345,19,223
Melaka,N.20 Alai,Alai,14198,11456,8,248
Melaka,N.21 Ayer Panas,Ayer Panas,10200,7757,36,183
Melaka,N.22 Rim,Rim,7296,6146,5,147
Melaka,N.23 Merlimau,Merlimau,8567,6468,14,178
Melaka,N.24 Serkam,Serkam,12611,10187,10,262
Melaka,N.25 Sungai Rambai,Sungai Rambai,8861,6909,10,171
