state,dun,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Sarawak,N.01 Lundu,8827,7030,0,105
Sarawak,N.02 Tasik Biru,12838,10047,0,184
Sarawak,N.03 Padungan,20941,16110,0,98
Sarawak,N.04 Stampin,20145,15363,0,173
Sarawak,N.05 Petra Jaya,10255,7915,0,89
Sarawak,N.06 Satok,18862,13736,0,197
Sarawak,N.07 Sebandi,6537,4794,0,125
Sarawak,N.08 Muara Tuang,6614,5104,0,72
Sarawak,N.09 Batu Kawah,12858,9552,0,298
Sarawak,N.10 Bengoh,9740,8283,0,115
Sarawak,N.11 Tarat,10626,7645,0,322
Sarawak,N.12 Tebakang,12150,8164,0,471
Sarawak,N.13 Semera,7321,5886,0,78
Sarawak,N.14 Gedong,6617,4956,0,90
Sarawak,N.15 Lingga,10143,7276,0,77
Sarawak,N.16 Sri Aman,11795,8534,0,171
Sarawak,N.17 Engkilili,5951,4381,0,124
Sarawak,N.18 Batang Ai,0,0,0,0
Sarawak,N.19 Saribas,8628,5950,0,107
Sarawak,N.20 Layar,0,0,0,0
Sarawak,N.21 Kalaka,7341,5813,0,81
Sarawak,N.22 Krian,7871,5784,0,191
Sarawak,N.23 Kuala Rajang,6003,4937,0,66
Sarawak,N.24 Matu-Daro,10235,7531,0,162
Sarawak,N.25 Repok,11166,8927,0,64
Sarawak,N.26 Meradong,10526,7889,0,102
Sarawak,N.27 Maling,23096,18051,0,103
Sarawak,N.28 Seduan,11646,8368,0,69
Sarawak,N.29 Igan,7589,5214,0,177
Sarawak,N.30 Dudong,11062,7802,0,203
Sarawak,N.31 Balingian,0,0,0,0
Sarawak,N.32 Oya,7638,4773,0,170
Sarawak,N.33 Pakan,4805,3408,0,78
Sarawak,N.34 Meluan,0,0,0,0
Sarawak,N.35 Machan,6888,4753,0,81
Sarawak,N.36 Ngemah,5732,4058,0,110
Sarawak,N.37 Katibas,6686,3429,0,195
Sarawak,N.38 Pelagus,7259,4586,0,175
Sarawak,N.39 Baleh,8054,4997,0,172
Sarawak,N.40 Belaga,4056,3256,0,84
Sarawak,N.41 Tatau,6786,4062,0,119
Sarawak,N.42 Kemena,11896,7195,0,340
Sarawak,N.43 Subis,13979,9908,0,314
Sarawak,N.44 Miri,23000,16713,0,177
Sarawak,N.45 Marudi,10161,6783,0,340
Sarawak,N.46 Telang Usan,7758,4990,0,98
Sarawak,N.47 Limbang,9492,7034,0,205
Sarawak,N.48 Lawas,6826,5215,0,115
