state,dun,area_name,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Negeri Sembilan,N.01 Kuala Klawang,Kuala Klawang,5010,4279,0,78
Negeri Sembilan,N.02 Pertang,Pertang,3217,2714,0,61
Negeri Sembilan,N.03 Bahau,Bahau,3751,3157,0,99
Negeri Sembilan,N.04 Rompin,Rompin,4555,3414,0,111
Negeri Sembilan,N.05 Jempol,Jempol,4377,3272,0,61
Negeri Sembilan,N.06 Sri Menanti,Sri Menanti,6123,4950,0,84
Negeri Sembilan,N.07 Johol,Johol,5398,4231,0,175
Negeri Sembilan,N.08 Ulu Muar,Ulu Muar,5760,4751,0,111
Negeri Sembilan,N.09 Pilah,Pilah,5392,4346,0,59
Negeri Sembilan,N.10 Jimah,Jimah,3227,2723,0,34
Negeri Sembilan,N.11 Lukut,Lukut,1573,1374,0,40
Negeri Sembilan,N.12 Si Rusa,Si Rusa,4535,3547,0,100
Negeri Sembilan,N.13 Pasir Panjang,Pasir Panjang,3811,3221,0,81
Negeri Sembilan,N.14 Linggi,Linggi,2617,2186,0,55
Negeri Sembilan,N.15 Terentang,Terentang,4506,3661,0,76
Negeri Sembilan,N.16 Kota,Kota,5321,4450,0,75
Negeri Sembilan,N.17 Tampin,Tampin,4760,3952,0,76
Negeri Sembilan,N.18 Gemas,Gemas,3984,3297,0,69
Negeri Sembilan,N.19 Lenggeng,Lenggeng,5838,4697,0,215
Negeri Sembilan,N.20 Labu,Labu,4067,3455,0,83
Negeri Sembilan,N.21 Bukit Nanas,Bukit Nanas,4836,3750,0,52
Negeri Sembilan,N.22 Rantau,Rantau,4885,3949,0,83
Negeri Sembilan,N.23 Sungei Ujong,Sungei Ujong,6924,4899,0,94
Negeri Sembilan,N.24 Rahang,Rahang,6869,4451,0,51
