state,dun,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Selangor,N.01 Tanjong Karang,13252,8236,0,871
Selangor,N.02 Kuala Selangor Pekan,11630,9218,0,514
Selangor,N.03 Kepong,20311,15663,0,691
Selangor,N.04 Penchala,11986,7693,0,325
Selangor,N.05 Jeram,10882,8263,0,524
Selangor,N.06 Sementa,11848,9661,0,381
Selangor,N.07 Serendah,10874,8255,0,395
Selangor,N.08 Kuang,9077,7198,0,362
Selangor,N.09 Kajang,11534,9154,0,673
Selangor,N.10 Semenyih,7869,6432,0,512
Selangor,N.11 Ampang,19178,13362,0,777
Selangor,N.12 Sentul,17856,11834,0,370
Selangor,N.13 Pantai,23038,15725,0,373
Selangor,N.14 Salak,35223,23614,0,1138
Selangor,N.15 Bukit Nanas,22480,14924,0,475
Selangor,N.16 Kampong Bahru,11156,7207,0,333
Selangor,N.17 Serdang,19021,14049,0,593
Selangor,N.18 Bukit Raja,11035,7817,0,388
Selangor,N.19 Port Swettenham,14807,10973,0,601
Selangor,N.20 Kampong Jawa,15351,11996,0,653
Selangor,N.21 Telok Datoh,10926,8706,0,630
Selangor,N.22 Morib,10179,8205,0,622
Selangor,N.23 Dengkil,9751,7937,0,484
Selangor,N.24 Sungei Rawang,8830,7512,0,371
Selangor,N.25 Sabak,11152,8527,0,703
Selangor,N.26 Sungei Besar,11215,8020,0,801
Selangor,N.27 Ulu Bernam,9098,7130,0,483
Selangor,N.28 Kuala Kubu,8652,7206,0,459
