state,dun,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Kedah,N.01 Jitra,17690,13719,0,899
Kedah,N.02 Padang Terap,18007,14190,0,1026
Kedah,N.03 Jerlun-Kodiang,13814,10501,0,450
Kedah,N.04 Tunjang,13461,10151,0,607
Kedah,N.05 Langgar-Limbong,14330,11487,0,525
Kedah,N.06 Pokok Sena,15316,11956,0,1001
Kedah,N.07 Alor Star Pekan,17591,11568,0,353
Kedah,N.08 Alor Star Luar,21040,13846,0,525
Kedah,N.09 Langkawi,19437,15505,0,1052
Kedah,N.10 Kota Star Barat,17437,12877,0,870
Kedah,N.11 Kangkong Bukit Raya,14837,11911,0,563
Kedah,N.12 Padang,17158,13774,0,362
Kedah,N.13 Sik-Gurun,20961,14808,0,1013
Kedah,N.14 Kota,14341,11819,0,967
Kedah,N.15 Sala,16978,12958,0,555
Kedah,N.16 Yen-Merbok,14851,11365,0,696
Kedah,N.17 Baling Timor,18245,14453,0,1111
Kedah,N.18 Baling Barat,17965,13531,0,845
Kedah,N.19 Pekan Sungei Patani,15565,10685,0,373
Kedah,N.20 Sungei Patani Luar,13030,10280,0,478
Kedah,N.21 Sidam,11666,9142,0,1260
Kedah,N.22 Lunas,14173,10103,0,963
Kedah,N.23 Kulim,16494,11320,0,1019
Kedah,N.24 Bandar Bahru,13780,10915,0,886
